# Time-averaged data for fix myat1
# TimeStep v_vcm_fluid
1000 0.000141928
2000 0.000401295
3000 0.000348014
4000 0.00025416
5000 0.000574679
6000 0.000484426
7000 0.00058159
8000 0.000572983
9000 0.000231657
10000 -3.21992e-06
11000 -1.06094e-05
12000 0.000277679
13000 0.000513795
14000 0.000307503
15000 3.67864e-05
16000 7.209e-05
17000 0.000174861
18000 0.000132272
19000 0.000120914
20000 0.000180277
21000 0.000104879
22000 0.000204596
23000 0.000323995
24000 4.68673e-05
25000 0.00024139
26000 0.000330063
27000 0.000138729
28000 0.000212984
29000 0.000144287
30000 0.00010088
31000 -3.69947e-06
32000 -1.57441e-05
33000 0.000384191
34000 0.000727617
35000 0.000431821
36000 0.00016881
37000 0.000368226
38000 0.000397605
39000 0.000268283
40000 0.000325131
41000 0.000602216
42000 0.000861078
43000 0.000398669
44000 0.000160802
45000 0.000151138
46000 0.00031228
47000 0.00038158
48000 0.000322079
49000 0.000389096
50000 0.000311732
51000 0.000173941
52000 0.000259018
53000 0.000352649
54000 0.000436059
55000 0.000360834
56000 9.7327e-05
57000 0.000359339
58000 0.00025576
59000 2.727e-06
60000 6.10686e-05
61000 0.000344134
62000 0.000396939
63000 0.000301233
64000 0.000314525
65000 0.000179242
66000 0.000259142
67000 0.000283037
68000 0.00011735
69000 -1.57904e-05
70000 0.000325663
71000 8.36025e-05
72000 0.000108892
73000 0.000400823
74000 0.000208786
75000 -0.000120414
76000 -8.85296e-05
77000 9.42023e-05
78000 -6.01143e-05
79000 0.000112538
80000 0.000513504
81000 0.000343602
82000 0.000278417
83000 0.000262239
84000 0.00012323
85000 9.39491e-05
86000 0.000191095
87000 0.000200603
88000 0.000119005
89000 0.00035077
90000 0.000190135
91000 -9.08846e-05
92000 9.94263e-05
93000 0.000310757
94000 0.000314955
95000 6.12238e-05
96000 7.34027e-05
97000 3.29334e-05
98000 -1.12632e-05
99000 1.12874e-05
100000 0.0001874
101000 0.000275612
102000 0.000173126
103000 -7.60836e-07
104000 8.58302e-05
105000 0.000156582
106000 0.000109788
107000 6.01278e-05
108000 6.19615e-05
109000 0.000187144
110000 0.000335053
111000 0.000211391
112000 7.36974e-05
113000 9.04206e-06
114000 1.11655e-05
115000 -4.84925e-05
116000 -0.000139138
117000 0.000232965
118000 0.000277833
119000 0.000116484
120000 -2.16108e-05
121000 0.000275153
122000 0.000205386
123000 0.000327262
124000 0.000235422
125000 0.000144017
126000 4.87721e-05
127000 0.000210202
128000 0.000352556
129000 0.000115655
130000 -6.37905e-05
131000 0.000194184
132000 0.000642372
133000 0.000341729
134000 0.000284171
135000 0.000301426
136000 0.000358913
137000 0.000306315
138000 7.69472e-05
139000 0.000155734
140000 0.000311095
141000 0.000427338
142000 0.000315521
143000 0.000179653
144000 0.000255452
145000 0.000149337
146000 0.000192485
147000 0.000408744
148000 0.000375538
149000 0.000169553
150000 0.000214311
151000 0.000107878
152000 0.000319786
153000 0.000253337
154000 -0.000235711
155000 -5.06861e-05
156000 -2.46452e-05
157000 0.000124524
158000 -7.07437e-05
159000 -0.000207387
160000 -0.000160221
161000 0.000171098
162000 0.000343342
163000 3.40915e-05
164000 -4.03105e-05
165000 0.000311707
166000 0.000231338
167000 -5.16707e-05
168000 -2.48725e-05
169000 0.000337041
170000 0.000297876
171000 0.000333826
172000 0.000256552
173000 7.81527e-05
174000 -5.19663e-05
175000 0.000130114
176000 0.00031539
177000 6.42546e-05
178000 0.000216207
179000 0.000417139
180000 0.000123576
181000 3.31511e-05
182000 7.60576e-05
183000 0.000375711
184000 0.000370953
185000 0.000307304
186000 0.000139764
187000 -1.95262e-05
188000 0.000277154
189000 2.5739e-05
190000 -4.26563e-05
191000 2.54583e-05
192000 0.000165871
193000 -2.6059e-06
194000 -3.65541e-05
195000 9.2467e-05
196000 0.000169973
197000 6.9104e-05
198000 3.02799e-05
199000 0.000166905
200000 -0.000117457
201000 0.000104423
202000 0.000228394
203000 0.000199483
204000 -3.85198e-05
205000 -1.77327e-05
206000 5.90138e-05
207000 0.000177524
208000 0.000273038
209000 -0.000220373
210000 8.5958e-05
211000 0.000355616
212000 9.40864e-05
213000 1.54738e-05
214000 0.000202685
215000 0.000252536
216000 0.00017893
217000 8.47986e-05
218000 0.00031899
219000 0.000389999
220000 2.77837e-05
221000 8.18361e-05
222000 1.9167e-05
223000 -2.08325e-05
224000 -1.26989e-05
225000 0.00021335
226000 0.000539597
227000 0.000109833
228000 -4.64509e-05
229000 1.18432e-05
230000 0.000193121
231000 0.000443644
232000 0.000132069
233000 7.25511e-05
234000 7.28674e-05
235000 0.000280775
236000 0.000393623
237000 0.000400616
238000 7.54509e-05
239000 6.39112e-05
240000 0.000226731
