# Time-averaged data for fix myat2
# TimeStep Number-of-rows
# Row c_myRDF_PEG_H2O[1] c_myRDF_PEG_H2O[2] c_myRDF_PEG_H2O[3] c_myRDF_PEG_H2O[4] c_myRDF_PEG_H2O[5]
50000 200
1 0.025 0 0 0 0
2 0.075 0 0 0 0
3 0.125 0 0 0 0
4 0.175 0 0 0 0
5 0.225 0 0 0 0
6 0.275 0 0 0 0
7 0.325 0 0 0 0
8 0.375 0 0 0 0
9 0.425 0 0 0 0
10 0.475 0 0 0 0
11 0.525 0 0 0 0
12 0.575 0 0 0 0
13 0.625 0 0 0 0
14 0.675 0 0 0 0
15 0.725 0 0 0 0
16 0.775 0 0 0 0
17 0.825 0 0 0 0
18 0.875 0 0 0 0
19 0.925 0 0 0 0
20 0.975 0 0 0 0
21 1.025 0 0 0 0
22 1.075 0 0 0 0
23 1.125 0 0 0 0
24 1.175 0 0 0 0
25 1.225 0 0 0 0
26 1.275 0 0 0 0
27 1.325 0 0 0 0
28 1.375 0 0 0 0
29 1.425 0 0 0 0
30 1.475 0 0 0 0
31 1.525 0 0 0 0
32 1.575 0 0 0 0
33 1.625 0 0 0 0
34 1.675 0 0 0 0
35 1.725 0 0 0 0
36 1.775 0 0 0 0
37 1.825 0 0 0 0
38 1.875 0 0 0 0
39 1.925 0 0 0 0
40 1.975 0 0 0 0
41 2.025 0 0 0 0
42 2.075 0 0 0 0
43 2.125 0 0 0 0
44 2.175 0 0 0 0
45 2.225 0 0 0 0
46 2.275 0 0 0 0
47 2.325 0 0 0 0
48 2.375 0 0 0 0
49 2.425 0 0 0 0
50 2.475 0 0 0 0
51 2.525 0 0 0 0
52 2.575 0.000386567 3.84615e-05 0 0
53 2.625 0.00706765 0.000769231 0 0
54 2.675 0.024358 0.00338462 0 0
55 2.725 0.0576454 0.00980769 0 0
56 2.775 0.10435 0.0218654 0 0
57 2.825 0.145975 0.0393462 0 0
58 2.875 0.186372 0.0624615 0 0
59 2.925 0.239225 0.0931731 0.000524287 6.73077e-05
60 2.975 0.269914 0.129019 0.00246166 0.000394231
61 3.025 0.279973 0.167462 0.00532214 0.001125
62 3.075 0.293441 0.209096 0.0109786 0.00268269
63 3.125 0.301975 0.253346 0.0218509 0.00588462
64 3.175 0.307032 0.299788 0.0425268 0.0123173
65 3.225 0.320382 0.349788 0.0750434 0.0240288
66 3.275 0.306851 0.399173 0.111425 0.0419615
67 3.325 0.325977 0.45325 0.163626 0.0691058
68 3.375 0.342381 0.511769 0.226773 0.107865
69 3.425 0.339122 0.571462 0.292416 0.159337
70 3.475 0.331026 0.631442 0.372046 0.22675
71 3.525 0.342433 0.695288 0.437995 0.308413
72 3.575 0.346159 0.761673 0.500586 0.404413
73 3.625 0.344185 0.829538 0.549146 0.512692
74 3.675 0.357658 0.902019 0.590482 0.632356
75 3.725 0.366594 0.978346 0.624152 0.762308
76 3.775 0.373585 1.05823 0.649907 0.901279
77 3.825 0.394892 1.14492 0.670563 1.04849
78 3.875 0.409092 1.2371 0.693912 1.20484
79 3.925 0.413711 1.33273 0.696145 1.36576
80 3.975 0.417969 1.43183 0.712688 1.53473
81 4.025 0.425844 1.53535 0.709608 1.70723
82 4.075 0.444169 1.64602 0.709898 1.88412
83 4.125 0.473311 1.76687 0.712678 2.06608
84 4.175 0.4916 1.89544 0.699129 2.24893
85 4.225 0.496187 2.02835 0.686485 2.43281
86 4.275 0.52918 2.17346 0.689525 2.62189
87 4.325 0.538392 2.32458 0.685048 2.81417
88 4.375 0.554814 2.48392 0.67718 3.00866
89 4.425 0.575597 2.65304 0.676199 3.20734
90 4.475 0.605174 2.83488 0.670869 3.40892
91 4.525 0.627239 3.0276 0.669051 3.61448
92 4.575 0.657997 3.23425 0.672968 3.82584
93 4.625 0.687705 3.45498 0.671587 4.04139
94 4.675 0.701396 3.685 0.668089 4.26049
95 4.725 0.717572 3.92538 0.668433 4.48441
96 4.775 0.757484 4.18454 0.667605 4.71282
97 4.825 0.760639 4.45025 0.664025 4.94478
98 4.875 0.749862 4.71765 0.668054 5.18301
99 4.925 0.748557 4.9901 0.665602 5.42526
100 4.975 0.74094 5.26527 0.663941 5.67184
101 5.025 0.751646 5.55006 0.659346 5.92165
102 5.075 0.751439 5.84046 0.654704 6.17467
103 5.125 0.742947 6.13327 0.648603 6.4303
104 5.175 0.745841 6.43298 0.65343 6.69288
105 5.225 0.740085 6.73615 0.655326 6.96133
106 5.275 0.745006 7.04721 0.655444 7.23499
107 5.325 0.723668 7.35512 0.653882 7.5132
108 5.375 0.737949 7.67502 0.644103 7.79242
109 5.425 0.733554 7.99896 0.6477 8.07845
110 5.475 0.732744 8.32854 0.646228 8.36912
111 5.525 0.743012 8.66887 0.665423 8.6739
112 5.575 0.728218 9.00848 0.65587 8.97978
113 5.625 0.724362 9.35238 0.653315 9.28995
114 5.675 0.718818 9.69975 0.650629 9.60437
115 5.725 0.721958 10.0548 0.655307 9.92664
116 5.775 0.725459 10.4178 0.661513 10.2577
117 5.825 0.727374 10.7882 0.669016 10.5983
118 5.875 0.733834 11.1682 0.663544 10.942
119 5.925 0.724641 11.5499 0.671321 11.2956
120 5.975 0.718056 11.9346 0.679716 11.6597
121 6.025 0.715367 12.3242 0.679726 12.0299
122 6.075 0.712322 12.7187 0.686919 12.4103
123 6.125 0.718163 13.123 0.690218 12.7989
124 6.175 0.705706 13.5267 0.699605 13.1991
125 6.225 0.703609 13.9359 0.697921 13.605
126 6.275 0.718545 14.3604 0.706746 14.0225
127 6.325 0.714117 14.7891 0.707454 14.4472
128 6.375 0.713114 15.2239 0.721834 14.8874
129 6.425 0.726833 15.6742 0.732313 15.341
130 6.475 0.727421 16.1318 0.737188 15.8047
131 6.525 0.722878 16.5936 0.751339 16.2847
132 6.575 0.722153 17.062 0.764933 16.7809
133 6.625 0.715557 17.5333 0.768352 17.2869
134 6.675 0.721964 18.0159 0.770619 17.8021
135 6.725 0.729178 18.5108 0.774987 18.3281
136 6.775 0.739927 19.0204 0.781949 18.8666
137 6.825 0.73958 19.5373 0.791844 19.4201
138 6.875 0.748087 20.0679 0.807483 19.9927
139 6.925 0.752637 20.6094 0.814452 20.5788
140 6.975 0.754609 21.1603 0.816213 21.1746
141 7.025 0.763565 21.7257 0.816608 21.7793
142 7.075 0.767097 22.3019 0.817563 22.3934
143 7.125 0.774748 22.892 0.828547 23.0245
144 7.175 0.779074 23.4938 0.824371 23.6613
145 7.225 0.797521 24.1185 0.827646 24.3096
146 7.275 0.803305 24.7565 0.82091 24.9615
147 7.325 0.817528 25.4147 0.830976 25.6305
148 7.375 0.816778 26.0812 0.835746 26.3126
149 7.425 0.817136 26.7572 0.839953 27.0075
150 7.475 0.836426 27.4585 0.832504 27.7054
151 7.525 0.833337 28.1665 0.840421 28.4195
152 7.575 0.845333 28.8944 0.847064 29.1488
153 7.625 0.843498 29.6302 0.859667 29.8988
154 7.675 0.854888 30.3858 0.852299 30.6521
155 7.725 0.859793 31.1557 0.859192 31.4215
156 7.775 0.85829 31.9342 0.862148 32.2035
157 7.825 0.868203 32.7319 0.861265 32.9948
158 7.875 0.882178 33.5528 0.867195 33.8018
159 7.925 0.886183 34.388 0.874949 34.6263
160 7.975 0.883085 35.2307 0.878703 35.4649
161 8.025 0.894186 36.0948 0.883141 36.3183
162 8.075 0.894468 36.9699 0.880906 37.1802
163 8.125 0.910867 37.8722 0.893501 38.0652
164 8.175 0.907583 38.7823 0.894322 38.962
165 8.225 0.90541 39.7014 0.895881 39.8715
166 8.275 0.922128 40.6489 0.89511 40.7912
167 8.325 0.922124 41.6078 0.89801 41.725
168 8.375 0.917615 42.5736 0.905391 42.6779
169 8.425 0.920497 43.5539 0.907379 43.6443
170 8.475 0.919392 44.5448 0.91271 44.628
171 8.525 0.917792 45.5457 0.914855 45.6256
172 8.575 0.920401 46.5612 0.922685 46.6436
173 8.625 0.927816 47.5968 0.922088 47.6729
174 8.675 0.938184 48.6562 0.920754 48.7126
175 8.725 0.938153 49.7278 0.926208 49.7706
176 8.775 0.934766 50.8078 0.921392 50.8352
177 8.825 0.939442 51.9057 0.935575 51.9285
178 8.875 0.939837 53.0164 0.932296 53.0303
179 8.925 0.9415 54.1418 0.92788 54.1394
180 8.975 0.942909 55.2814 0.932225 55.2661
181 9.025 0.949673 56.4421 0.927494 56.3996
182 9.075 0.943407 57.6079 0.92527 57.543
183 9.125 0.93753 58.7792 0.937007 58.7137
184 9.175 0.937799 59.9638 0.931907 59.8908
185 9.225 0.941637 61.1662 0.942239 61.094
186 9.275 0.946067 62.3874 0.941948 62.3099
187 9.325 0.94323 63.6181 0.948219 63.5471
188 9.375 0.945663 64.8652 0.943614 64.7915
189 9.425 0.944097 66.1236 0.945013 66.0511
190 9.475 0.949834 67.4031 0.9475 67.3275
191 9.525 0.941583 68.6849 0.950221 68.6211
192 9.575 0.949291 69.9908 0.947481 69.9245
193 9.625 0.94146 71.2995 0.950252 71.2454
194 9.675 0.938874 72.6182 0.953997 72.5853
195 9.725 0.95403 73.972 0.951672 73.9358
196 9.775 0.951874 75.3368 0.956555 75.3073
197 9.825 0.947561 76.7092 0.966201 76.7068
198 9.875 0.953406 78.1043 0.969624 78.1255
199 9.925 0.95193 79.5113 0.973501 79.5644
200 9.975 0.952663 80.9336 0.970265 81.013
