# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 -3465.23
200 -3629.24
300 -3439.14
400 -3725.69
500 -3952.04
600 -3612.22
700 -3096.15
800 -3105.49
900 -2854.78
1000 -2660.66
1100 -2918.61
1200 -2744.46
1300 -2886.24
1400 -3009.96
1500 -2987.78
1600 -3578.57
1700 -3592.78
1800 -2977.53
1900 -2994.31
2000 -3565.82
2100 -3804.17
2200 -4089.6
2300 -4075.99
2400 -3447.8
2500 -3286.07
2600 -3469.06
2700 -3565.44
2800 -3442.49
2900 -3737.4
3000 -3735.76
3100 -3647.3
3200 -3823.21
3300 -3859.79
3400 -3675.54
3500 -3697.25
3600 -3557.33
3700 -3425.84
3800 -3444.82
3900 -2996.19
4000 -3040.05
4100 -3280.83
4200 -3772.63
4300 -4010.65
4400 -3587.71
4500 -3498.89
4600 -3537.75
4700 -3300.2
4800 -3294.11
4900 -3547.47
5000 -3233.99
5100 -3228.16
5200 -3556.85
5300 -3290.05
5400 -2852.53
5500 -2789.5
5600 -3026.69
5700 -3139.83
5800 -3209.18
5900 -3123.27
6000 -3256.18
6100 -3287.17
6200 -3362.55
6300 -3377.9
6400 -3362.39
6500 -3489.02
6600 -3590.54
6700 -3655.84
6800 -3438.91
6900 -3585.38
7000 -3469.53
7100 -3148.09
7200 -2866.71
7300 -3158.06
7400 -3643.52
7500 -3694.16
7600 -3666.48
7700 -3014.53
7800 -2773.82
7900 -2827.81
8000 -3277.4
8100 -3511.68
8200 -3405.48
8300 -3251.15
8400 -3326.23
8500 -3464.18
8600 -3634.98
8700 -3387.03
8800 -2685.69
8900 -2813.93
9000 -2838.88
9100 -2676.94
9200 -2924.86
9300 -3191.41
9400 -3052.71
9500 -3136.93
9600 -3446.88
9700 -3133.09
9800 -3204.94
9900 -3562.98
10000 -3813.34
