# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 299.248
200 300.252
300 305.09
400 302.972
500 300.614
600 294.041
700 300.107
800 305.853
900 298.525
1000 297.6
1100 298.782
1200 300.479
1300 301.515
1400 301.376
1500 302.537
1600 302.065
1700 299.032
1800 302.783
1900 307.388
2000 303.877
2100 299.018
2200 300.647
2300 302.302
2400 303.196
2500 303.494
2600 304.681
2700 300.095
2800 295.27
2900 296.603
3000 303.027
3100 303.065
3200 299.448
3300 299.81
3400 299.022
3500 300.766
3600 307.182
3700 301.7
3800 295.653
3900 295.298
4000 296.804
4100 303.746
4200 305.525
4300 296.885
4400 295.01
4500 300.452
4600 304.008
4700 299.162
4800 297.609
4900 297.346
5000 296.576
5100 298.416
5200 304.056
5300 300.595
5400 296.215
5500 295.63
5600 298.806
5700 301.469
5800 301.496
5900 300.752
6000 297.684
6100 296.76
6200 300.198
6300 299.481
6400 302.639
6500 300.218
6600 298.025
6700 300.642
6800 299.588
6900 296.003
7000 295.342
7100 297.899
7200 303.87
7300 304.788
7400 294.795
7500 297.801
7600 302.523
7700 299.298
7800 303.841
7900 302.32
8000 295.982
8100 297.029
8200 298.3
8300 301.613
8400 301.54
8500 297.839
8600 301.272
8700 300.447
8800 289.775
8900 296.557
9000 302.658
9100 301.46
9200 300.389
9300 293.844
9400 292.785
9500 300.649
9600 297.851
9700 298.127
9800 304.294
9900 308.189
10000 307.656
10100 299.805
10200 296.834
10300 300.742
10400 301.165
10500 297.98
10600 296.099
10700 303.78
10800 305.491
10900 300.95
11000 298.135
11100 297.589
11200 296.116
11300 292.58
11400 299.73
11500 302.534
11600 302.963
11700 297.786
11800 299.157
11900 297.452
12000 304.144
12100 303.061
12200 297.419
12300 297.448
12400 294.345
12500 293.135
12600 296.469
12700 301.601
12800 301.121
12900 303.575
13000 299.237
13100 293.133
13200 296.44
13300 300.851
13400 303.949
13500 300.08
13600 301.15
13700 298.196
13800 294.955
13900 294.063
14000 300.295
14100 299.936
14200 299.623
14300 299.313
14400 293.114
14500 296.487
14600 301.855
14700 305.371
14800 297.273
14900 296.962
15000 300.362
15100 299.382
15200 298.865
15300 303.03
15400 305.85
15500 304.853
15600 299.133
15700 295.422
15800 298.057
15900 303.376
16000 298.968
16100 292.223
16200 296.482
16300 297.627
16400 298.466
16500 297.185
16600 297.398
16700 292.084
16800 297.134
16900 303.477
17000 303.636
17100 297.974
17200 297.397
17300 296.703
17400 295.318
17500 298.394
17600 305.074
17700 300.191
17800 296.03
17900 299.555
18000 304.225
18100 304.571
18200 300.918
18300 297.166
18400 297.179
18500 300.839
18600 305.274
18700 303.75
18800 303.827
18900 303.442
19000 301.005
19100 301.212
19200 292.808
19300 301.053
19400 301.937
19500 302.352
19600 302.617
19700 294.713
19800 295.312
19900 295.368
20000 301.983
