# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.0130394
200 0.0134011
300 0.0138344
400 0.0141709
500 0.0144694
600 0.0147214
700 0.0149271
800 0.0150765
900 0.015153
1000 0.0151364
1100 0.0150179
1200 0.0148493
1300 0.0146817
1400 0.0145188
1500 0.0143673
1600 0.0142436
1700 0.0141276
1800 0.0140133
1900 0.0139347
2000 0.0138674
2100 0.0137722
2200 0.0136758
2300 0.0135884
2400 0.0135273
2500 0.0134855
2600 0.0134638
2700 0.0134357
2800 0.0134482
2900 0.0134788
3000 0.0134919
3100 0.0134882
3200 0.0134644
3300 0.0134474
3400 0.0134591
3500 0.013514
3600 0.0136017
3700 0.0136925
3800 0.0137802
3900 0.0138144
4000 0.0138745
4100 0.0139624
4200 0.0140099
4300 0.014049
4400 0.0140844
4500 0.0141184
4600 0.014148
4700 0.0141968
4800 0.0143144
4900 0.0144102
5000 0.0144523
5100 0.0144805
5200 0.0145623
5300 0.0146602
5400 0.0147704
5500 0.0148854
5600 0.0149748
5700 0.0149365
5800 0.0148448
5900 0.0148215
6000 0.0148282
6100 0.0148275
6200 0.0148546
6300 0.0149456
6400 0.015078
6500 0.0151955
6600 0.0153423
6700 0.0155535
6800 0.0157803
6900 0.0159363
7000 0.016027
7100 0.0161199
7200 0.0162206
7300 0.016269
7400 0.0163132
7500 0.0164202
7600 0.016485
7700 0.0165065
7800 0.0165565
7900 0.0166789
8000 0.016864
8100 0.0170691
8200 0.0172516
8300 0.0174163
8400 0.0176387
8500 0.0178695
8600 0.0180587
8700 0.0182809
8800 0.01849
8900 0.0186501
9000 0.0187899
9100 0.0189084
9200 0.0189773
9300 0.0190338
9400 0.019073
9500 0.0191217
9600 0.0192102
9700 0.0193303
9800 0.019456
9900 0.0194903
10000 0.0194884
10100 0.0195185
10200 0.0195083
10300 0.0194306
10400 0.0194114
10500 0.0194697
10600 0.0195786
10700 0.0197603
10800 0.0199993
10900 0.0201481
11000 0.0202419
11100 0.0203305
11200 0.020386
11300 0.0204325
11400 0.0204697
11500 0.0204618
11600 0.0204063
11700 0.020403
11800 0.0204047
11900 0.0203517
12000 0.0203096
12100 0.0202066
12200 0.0200966
12300 0.0201571
12400 0.0203162
12500 0.0204719
12600 0.0206292
12700 0.020839
12800 0.0210456
12900 0.0212042
13000 0.0213213
13100 0.0213587
13200 0.0213819
13300 0.0213904
13400 0.0214082
13500 0.021464
13600 0.0215104
13700 0.0215984
13800 0.0217407
13900 0.0218635
14000 0.0220095
14100 0.0221228
14200 0.0221602
14300 0.0221785
14400 0.0221664
14500 0.0222253
14600 0.0222949
14700 0.0223047
14800 0.0221883
14900 0.0220265
15000 0.0219403
15100 0.0218349
15200 0.0216938
15300 0.0215499
15400 0.0214556
15500 0.02135
15600 0.0212967
15700 0.0213093
15800 0.0213992
15900 0.0215277
16000 0.0216112
16100 0.0216153
16200 0.0216711
16300 0.0217595
16400 0.0217981
16500 0.0217454
16600 0.021648
16700 0.0216323
16800 0.0216618
16900 0.0217016
17000 0.0217887
17100 0.0218736
17200 0.021962
17300 0.0221016
17400 0.0221973
17500 0.0222665
17600 0.0223939
17700 0.0225121
17800 0.0226097
17900 0.0227282
18000 0.0228282
18100 0.0229014
18200 0.0229713
18300 0.0229518
18400 0.0228384
18500 0.0226661
18600 0.0224955
18700 0.022329
18800 0.0221487
18900 0.0220036
19000 0.0218736
19100 0.0217432
