# Time-averaged data for fix myat2
# TimeStep v_myvol
100 26829.8
200 26080.8
300 25304.3
400 24787.3
500 24303.3
600 23808.3
700 23358.6
800 23065.4
900 22945.4
1000 22936
1100 22924
1200 22899
1300 22875.7
1400 22876.8
1500 22873.9
1600 22927
1700 22953.5
1800 22968.1
1900 23034.7
2000 23103.2
2100 23151.1
2200 23250.7
2300 23370.8
2400 23459.2
2500 23547.3
2600 23591
2700 23553.6
2800 23556.5
2900 23657.6
3000 23708.4
3100 23655.9
3200 23569.4
3300 23490.4
3400 23474.4
3500 23477.6
3600 23336.7
3700 23128.9
3800 22957.7
3900 22840.1
4000 22648.3
4100 22421.4
4200 22257.2
4300 22099.7
4400 21972.4
4500 21878.7
4600 21772.3
4700 21644.5
4800 21461.5
4900 21280.3
5000 21128.5
5100 20966.3
5200 20855.1
5300 20774.4
5400 20736.3
5500 20732.9
5600 20717.5
5700 20652.4
5800 20499.4
5900 20315.6
6000 20202.5
6100 20099.3
6200 19978
6300 19847.9
6400 19686
6500 19538.7
6600 19414.6
6700 19306.9
6800 19253.6
6900 19193.5
7000 19133.3
7100 19043.6
7200 18962.2
7300 18920.8
7400 18940.7
7500 19021.9
7600 19142.6
7700 19296.9
7800 19431.8
7900 19505
8000 19478.2
8100 19359.8
8200 19201.2
8300 19037.2
8400 18842.1
8500 18669.2
8600 18515.4
8700 18383.8
8800 18305.3
8900 18253.2
9000 18173.4
9100 18037.3
9200 17923.6
9300 17852.8
9400 17814.9
9500 17742.8
9600 17684.1
9700 17676.1
9800 17654.9
9900 17598.2
10000 17503.1
10100 17435.8
10200 17391.1
10300 17269.7
10400 17075.6
10500 16884.5
10600 16730.5
10700 16621.1
10800 16558.6
10900 16519.3
11000 16507.7
11100 16566
11200 16685.2
11300 16812.5
11400 16897.9
11500 16952.1
11600 17007.4
11700 17025.1
11800 17010.1
11900 17013.4
12000 17019.5
12100 17033.4
12200 17086
12300 17119.1
12400 17166.4
12500 17271.6
12600 17331.6
12700 17291.9
12800 17203
12900 17073
13000 16857.6
13100 16582
13200 16273.6
13300 16053.3
13400 15997.9
13500 16073.2
13600 16169.2
13700 16257.8
13800 16380.4
13900 16490.3
14000 16582.6
14100 16642.9
14200 16699.2
14300 16714.8
14400 16691.9
14500 16683.6
14600 16684.5
14700 16650.7
14800 16656.4
14900 16703.5
15000 16775.8
15100 16848.1
15200 16821.2
15300 16752
15400 16647.3
15500 16462
15600 16290.5
15700 16171
15800 16073.7
15900 15987.8
16000 15947.3
16100 15935
16200 15978.4
16300 15996.2
16400 15998.9
16500 15999.3
16600 15973.4
16700 15922.4
16800 15894.4
16900 15937
17000 15980.4
17100 15994.2
17200 16033.5
17300 16148.8
17400 16210.7
17500 16183.4
17600 16093
17700 15963.5
17800 15800.7
17900 15649
18000 15567.9
18100 15529.9
18200 15486.2
18300 15508.7
18400 15581.3
18500 15621.1
18600 15654.5
18700 15664.7
18800 15604.8
18900 15495.7
19000 15385.1
19100 15346.7
19200 15303.9
19300 15253.7
19400 15202.1
19500 15173.6
19600 15250.5
19700 15389.3
19800 15511.6
19900 15549.3
20000 15534.9
20100 15480.6
20200 15398
20300 15285.6
20400 15157.9
20500 15052.1
20600 14987.3
20700 14956.6
20800 15010.3
20900 15117.5
21000 15172.8
21100 15132.5
21200 15039.5
21300 14882.5
21400 14682.4
21500 14486.6
21600 14310.7
21700 14188.9
21800 14129.4
21900 14121.8
22000 14178.6
22100 14261.6
22200 14297.6
22300 14305.1
22400 14358.8
22500 14495.6
22600 14617.8
22700 14665.9
22800 14701.2
22900 14715.1
23000 14748.1
23100 14749.5
23200 14659
23300 14567.2
23400 14527.9
23500 14595.6
23600 14656.3
23700 14679.9
23800 14675.4
23900 14647.7
24000 14609.1
24100 14624.2
24200 14674.5
24300 14746.8
24400 14846.7
24500 14955
24600 15012.7
24700 14988.4
24800 14823.8
24900 14564
25000 14352.1
25100 14194.9
25200 14107.3
25300 14075.3
25400 14093.5
25500 14175.1
25600 14255.1
25700 14338
25800 14375.3
25900 14388.1
26000 14455.6
26100 14566.2
26200 14652
26300 14700.2
26400 14733
26500 14733.4
26600 14703.3
26700 14693.8
26800 14688.2
26900 14671.7
27000 14606.3
27100 14565.4
27200 14540.8
27300 14532.4
27400 14526.2
27500 14512.2
27600 14434.9
27700 14309.1
27800 14198.6
27900 14149.6
28000 14168.8
28100 14193
28200 14187.4
28300 14130.8
28400 14066.6
28500 14079.7
28600 14137.6
28700 14219.9
28800 14303.9
28900 14434
29000 14614.1
29100 14732
29200 14758.7
29300 14772.1
29400 14838.6
29500 14937.8
29600 14999.5
29700 15040.8
29800 14993.8
29900 14870.3
30000 14741.7
30100 14661.7
30200 14676.4
30300 14762.6
30400 14836.1
30500 14854.1
30600 14848.1
30700 14791.1
30800 14672
30900 14593.2
31000 14547.5
31100 14524.4
31200 14457.1
31300 14308.6
31400 14187.8
31500 14204.1
31600 14274.3
31700 14313.7
31800 14302.3
31900 14272.1
32000 14267.5
32100 14302.8
32200 14302.8
32300 14263
32400 14249.8
32500 14306.2
32600 14481.1
32700 14680.4
32800 14786.3
32900 14801.1
33000 14771.5
33100 14697.2
33200 14623.2
33300 14528.6
33400 14452.8
33500 14409.8
33600 14360.8
33700 14311.8
33800 14295.9
33900 14368.8
34000 14523.4
34100 14649.6
34200 14740
34300 14820.2
34400 14893.3
34500 14874
34600 14782.7
34700 14684.3
34800 14587.5
34900 14500.6
35000 14413.2
35100 14354.9
35200 14308.9
35300 14289.4
35400 14298.1
35500 14333.7
35600 14374.7
35700 14400.5
35800 14395.7
35900 14399
36000 14420.2
36100 14460.2
36200 14512
36300 14548.1
36400 14596
36500 14617.8
36600 14556.6
36700 14432
36800 14334.6
36900 14294.7
37000 14317.6
37100 14374.5
37200 14436.8
37300 14510.1
37400 14579.4
37500 14628.8
37600 14677
37700 14739
37800 14802.7
37900 14781
38000 14656.6
38100 14515.3
38200 14373.3
38300 14241.2
38400 14165.8
38500 14164.8
38600 14178.9
38700 14152
38800 14132.5
38900 14175.2
39000 14228.8
39100 14215.2
39200 14168.4
39300 14175.5
39400 14210.4
39500 14249.5
39600 14290.7
39700 14334.4
39800 14390.7
39900 14466.8
40000 14609.1
40100 14771.8
40200 14892.1
40300 14920.6
40400 14871.4
40500 14799.6
40600 14722.6
40700 14653.1
40800 14564.5
40900 14462.1
41000 14345.5
41100 14265.4
41200 14237.6
41300 14206.1
41400 14192.7
41500 14225.6
41600 14286.6
41700 14360.7
41800 14344.3
41900 14257.7
42000 14188.6
42100 14182.2
42200 14221
42300 14287.2
42400 14337.6
42500 14386.6
42600 14420.8
42700 14368.8
42800 14285.9
42900 14236.5
43000 14202.7
43100 14190.5
43200 14148.5
43300 14106.2
43400 14129.6
43500 14127.1
43600 14116.5
43700 14119.5
43800 14161
43900 14248
44000 14346.4
44100 14393.7
44200 14418
