# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 2392.38
200 2684.5
300 988.744
400 844.919
500 588.099
600 481.651
700 393.095
800 360.258
900 311.542
1000 314.541
1100 310.693
1200 301.971
1300 325.455
1400 311.733
1500 316.974
1600 305.627
1700 303.874
1800 304.572
1900 302.813
2000 300.659
2100 302.384
2200 308.243
2300 295.559
2400 291.752
2500 301.479
2600 313.45
2700 294.37
2800 295.597
2900 294.3
3000 303.163
3100 312.376
3200 298.889
3300 312.439
3400 299.676
3500 295.098
3600 300.941
3700 290.712
3800 297.892
3900 303.118
4000 300.001
4100 320.663
4200 309.173
4300 298.851
4400 302.788
4500 296.503
4600 308.185
4700 277.422
4800 298.739
4900 302.484
5000 311.568
5100 291.89
5200 301.183
5300 301.244
5400 314.69
5500 306.59
5600 297.55
5700 297.944
5800 299.291
5900 291.71
6000 296.575
6100 289.749
6200 290.842
6300 293.842
6400 303.831
6500 287.771
6600 296.42
6700 302.854
6800 294.901
6900 314.213
7000 297.145
7100 292.355
7200 301.844
7300 305.716
7400 298.784
7500 297.091
7600 300.257
7700 300.137
7800 298.512
7900 294.237
8000 299.516
8100 297.277
8200 303.302
8300 298.073
8400 311.411
8500 299.441
8600 289.413
8700 298.116
8800 305.222
8900 307.176
9000 299.136
9100 290.878
9200 291.308
9300 304.919
9400 307.088
9500 295.087
9600 290.857
9700 300.24
9800 298.177
9900 310.025
10000 306.375
