# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
5000100 -20.3849 -20
5000200 -20.3599 -20
5000300 -20.386 -20
5000400 -20.238 -20
5000500 -20.2157 -20
5000600 -20.3632 -20
5000700 -20.3142 -20
5000800 -20.4179 -20
5000900 -20.5272 -20
5001000 -20.7906 -20
5001100 -21.0461 -20
5001200 -21.248 -20
5001300 -21.2568 -20
5001400 -21.0302 -20
5001500 -20.7174 -20
5001600 -20.6475 -20
5001700 -20.4191 -20
5001800 -20.4095 -20
5001900 -20.4792 -20
5002000 -20.4941 -20
5002100 -20.5867 -20
5002200 -20.8047 -20
5002300 -21.0222 -20
5002400 -20.8848 -20
5002500 -20.4571 -20
5002600 -20.6514 -20
5002700 -20.7315 -20
5002800 -20.8123 -20
5002900 -20.6261 -20
5003000 -20.2427 -20
5003100 -20.2416 -20
5003200 -20.1699 -20
5003300 -20.1294 -20
5003400 -20.5359 -20
5003500 -20.4878 -20
5003600 -20.3524 -20
5003700 -20.3128 -20
5003800 -20.3676 -20
5003900 -20.5287 -20
5004000 -20.4022 -20
5004100 -20.225 -20
5004200 -20.0652 -20
5004300 -20.2412 -20
5004400 -20.1632 -20
5004500 -20.3073 -20
5004600 -20.4043 -20
5004700 -20.2918 -20
5004800 -20.3912 -20
5004900 -20.6162 -20
5005000 -20.7684 -20
5005100 -20.8648 -20
5005200 -20.6793 -20
5005300 -20.7016 -20
5005400 -20.611 -20
5005500 -20.5243 -20
5005600 -20.6234 -20
5005700 -20.7235 -20
5005800 -20.7699 -20
5005900 -20.8638 -20
5006000 -21.0539 -20
5006100 -21.2049 -20
5006200 -21.1509 -20
5006300 -20.8607 -20
5006400 -20.7278 -20
5006500 -20.7152 -20
5006600 -20.8123 -20
5006700 -20.6814 -20
5006800 -20.5946 -20
5006900 -20.6362 -20
5007000 -20.5259 -20
5007100 -20.5041 -20
5007200 -20.5312 -20
5007300 -20.3151 -20
5007400 -20.0948 -20
5007500 -20.1228 -20
5007600 -20.1839 -20
5007700 -20.0152 -20
5007800 -20.0442 -20
5007900 -19.8507 -20
5008000 -19.7348 -20
5008100 -19.742 -20
5008200 -19.7464 -20
