# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
7400100 -17.8904 -18
7400200 -17.8391 -18
7400300 -17.902 -18
7400400 -17.9733 -18
7400500 -18.0193 -18
7400600 -17.9367 -18
7400700 -17.892 -18
7400800 -17.917 -18
7400900 -17.8825 -18
7401000 -18.185 -18
7401100 -18.0797 -18
7401200 -18.111 -18
7401300 -17.9382 -18
7401400 -18.0411 -18
7401500 -18.0394 -18
7401600 -18.0037 -18
7401700 -18.0977 -18
7401800 -18.0304 -18
7401900 -18.131 -18
7402000 -18.0978 -18
7402100 -18.1204 -18
7402200 -18.2034 -18
7402300 -18.2861 -18
7402400 -18.0186 -18
7402500 -17.9528 -18
7402600 -18.0985 -18
7402700 -18.1539 -18
7402800 -18.1054 -18
7402900 -18.0849 -18
7403000 -17.8489 -18
7403100 -17.8563 -18
7403200 -17.9494 -18
7403300 -18.0082 -18
7403400 -17.7712 -18
7403500 -17.784 -18
7403600 -17.7481 -18
7403700 -17.9724 -18
7403800 -18.2078 -18
7403900 -18.2046 -18
7404000 -18.0432 -18
7404100 -18.0698 -18
7404200 -17.9771 -18
7404300 -17.9366 -18
7404400 -17.8473 -18
7404500 -17.8279 -18
7404600 -17.8407 -18
7404700 -17.9797 -18
7404800 -18.0012 -18
7404900 -17.9949 -18
7405000 -18.2146 -18
7405100 -17.9846 -18
7405200 -17.8622 -18
7405300 -17.8624 -18
7405400 -18.0047 -18
7405500 -18.1542 -18
7405600 -18.0852 -18
7405700 -17.8688 -18
7405800 -17.9874 -18
7405900 -18.1494 -18
7406000 -18.2117 -18
7406100 -18.0338 -18
7406200 -17.784 -18
7406300 -17.9831 -18
7406400 -18.1428 -18
7406500 -18.0961 -18
7406600 -17.9402 -18
7406700 -17.9608 -18
7406800 -18.0103 -18
7406900 -17.8949 -18
7407000 -18.0547 -18
7407100 -17.9877 -18
7407200 -18.0952 -18
7407300 -17.9254 -18
7407400 -17.9631 -18
7407500 -17.9078 -18
7407600 -17.9696 -18
7407700 -18.0572 -18
7407800 -18.0479 -18
7407900 -17.9996 -18
7408000 -18.094 -18
7408100 -17.9536 -18
7408200 -17.9324 -18
7408300 -17.9998 -18
7408400 -18.0882 -18
7408500 -17.9269 -18
7408600 -17.9743 -18
7408700 -17.8652 -18
7408800 -18.0821 -18
7408900 -17.913 -18
7409000 -17.973 -18
7409100 -17.9507 -18
7409200 -18.1325 -18
7409300 -18.1498 -18
7409400 -18.1442 -18
7409500 -18.1936 -18
7409600 -18.0656 -18
7409700 -17.9799 -18
7409800 -17.7984 -18
7409900 -17.9699 -18
7410000 -18.1717 -18
7410100 -17.9489 -18
7410200 -17.793 -18
7410300 -18.047 -18
7410400 -18.3188 -18
7410500 -17.9439 -18
7410600 -17.9103 -18
7410700 -17.8687 -18
7410800 -17.8974 -18
7410900 -18.0339 -18
7411000 -18.0018 -18
7411100 -17.9219 -18
7411200 -18.1722 -18
7411300 -18.0064 -18
7411400 -18.0671 -18
7411500 -18.0893 -18
7411600 -17.8863 -18
7411700 -17.8823 -18
7411800 -17.8333 -18
7411900 -18.0118 -18
7412000 -18.1072 -18
7412100 -17.9894 -18
7412200 -17.9537 -18
7412300 -18.008 -18
7412400 -17.9433 -18
7412500 -17.7611 -18
7412600 -18.0056 -18
7412700 -18.1255 -18
7412800 -17.9058 -18
7412900 -17.964 -18
7413000 -18.1029 -18
7413100 -18.2061 -18
7413200 -18.0453 -18
7413300 -18.0817 -18
7413400 -17.8971 -18
7413500 -17.8086 -18
7413600 -18.0563 -18
7413700 -17.9151 -18
7413800 -17.9952 -18
7413900 -18.0433 -18
7414000 -18.1179 -18
7414100 -18.3416 -18
7414200 -18.2231 -18
7414300 -18.0938 -18
7414400 -17.8272 -18
7414500 -17.758 -18
7414600 -17.9481 -18
7414700 -17.959 -18
7414800 -18.1005 -18
7414900 -18.0205 -18
7415000 -18.0758 -18
7415100 -17.94 -18
7415200 -17.9547 -18
7415300 -18.0567 -18
7415400 -17.9369 -18
7415500 -18.0126 -18
7415600 -17.9685 -18
7415700 -17.9261 -18
7415800 -17.914 -18
7415900 -17.9756 -18
7416000 -18.0131 -18
7416100 -18.0163 -18
7416200 -18.0554 -18
7416300 -17.8298 -18
7416400 -17.9264 -18
7416500 -17.9294 -18
7416600 -18.0254 -18
7416700 -18.1403 -18
7416800 -18.0662 -18
7416900 -17.9988 -18
7417000 -18.029 -18
7417100 -18.0327 -18
7417200 -18.0905 -18
7417300 -18.0296 -18
7417400 -17.8482 -18
7417500 -17.9289 -18
7417600 -18.0853 -18
7417700 -18.0749 -18
7417800 -18.1352 -18
7417900 -18.1044 -18
7418000 -17.9077 -18
7418100 -17.9949 -18
7418200 -17.9338 -18
7418300 -17.9307 -18
7418400 -18.1092 -18
7418500 -17.9114 -18
7418600 -17.8591 -18
7418700 -17.8847 -18
7418800 -18.0508 -18
7418900 -18.0259 -18
7419000 -18.0189 -18
7419100 -17.9419 -18
7419200 -18.0102 -18
7419300 -17.9855 -18
7419400 -18.0755 -18
7419500 -18.1101 -18
7419600 -17.9309 -18
7419700 -18.02 -18
7419800 -17.9747 -18
7419900 -17.9745 -18
7420000 -17.8574 -18
7420100 -17.7755 -18
7420200 -17.8678 -18
7420300 -18.0752 -18
7420400 -18.0413 -18
7420500 -18.0643 -18
7420600 -18.2275 -18
7420700 -18.0632 -18
7420800 -17.8409 -18
7420900 -17.9163 -18
7421000 -18.0294 -18
7421100 -18.0606 -18
7421200 -17.9785 -18
7421300 -18.0018 -18
7421400 -18.0501 -18
7421500 -18.0414 -18
7421600 -18.1566 -18
7421700 -18.004 -18
7421800 -18.077 -18
7421900 -17.9871 -18
7422000 -17.8354 -18
7422100 -17.8878 -18
7422200 -18.1425 -18
7422300 -18.2799 -18
7422400 -18.2041 -18
7422500 -18.1424 -18
7422600 -18.0378 -18
