# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
55400100 22.2631 22
55400200 22.2681 22
55400300 22.36 22
55400400 22.1255 22
55400500 21.7087 22
55400600 21.5952 22
55400700 21.6622 22
55400800 21.8926 22
55400900 21.8246 22
55401000 21.8575 22
55401100 22.0034 22
55401200 22.2752 22
55401300 22.812 22
55401400 23.0488 22
55401500 22.871 22
55401600 22.7415 22
55401700 22.5689 22
55401800 22.6011 22
55401900 22.6602 22
55402000 22.8662 22
55402100 22.8453 22
55402200 22.7927 22
55402300 22.6807 22
55402400 22.6101 22
55402500 22.8847 22
55402600 22.8206 22
55402700 22.7693 22
55402800 22.5781 22
55402900 22.2551 22
55403000 22.1313 22
55403100 22.1355 22
55403200 22.1889 22
55403300 22.4076 22
55403400 22.4666 22
55403500 22.262 22
55403600 22.2784 22
55403700 21.9796 22
55403800 21.7569 22
55403900 21.682 22
55404000 21.8447 22
55404100 21.9643 22
55404200 21.8771 22
55404300 22.0981 22
55404400 22.0592 22
55404500 22.1543 22
55404600 22.4733 22
55404700 22.7763 22
55404800 22.8124 22
55404900 22.7554 22
55405000 22.8286 22
55405100 22.862 22
55405200 22.7585 22
55405300 22.729 22
55405400 22.9841 22
55405500 23.032 22
55405600 22.8894 22
55405700 22.6751 22
55405800 22.3444 22
55405900 22.0359 22
55406000 21.8238 22
55406100 22.0258 22
55406200 22.0937 22
55406300 22.009 22
55406400 21.9765 22
55406500 21.7348 22
55406600 21.4654 22
55406700 21.1092 22
55406800 21.113 22
55406900 21.4176 22
55407000 21.5858 22
55407100 21.5128 22
55407200 21.3527 22
55407300 21.1775 22
55407400 20.7903 22
55407500 20.6682 22
55407600 20.9622 22
55407700 21.327 22
55407800 21.2691 22
55407900 21.0161 22
55408000 20.9806 22
55408100 21.0349 22
55408200 20.6734 22
55408300 20.3645 22
55408400 20.2788 22
55408500 20.5807 22
55408600 20.6808 22
55408700 20.7991 22
55408800 20.8189 22
55408900 20.8385 22
55409000 20.6543 22
55409100 20.4809 22
55409200 20.3793 22
55409300 20.5912 22
55409400 20.4114 22
55409500 20.4564 22
55409600 20.5309 22
55409700 20.7546 22
55409800 20.9333 22
55409900 20.9157 22
55410000 20.7706 22
55410100 20.554 22
55410200 20.4585 22
55410300 20.5977 22
55410400 20.7506 22
55410500 20.8561 22
55410600 21.0686 22
55410700 21.131 22
55410800 20.9963 22
55410900 20.8883 22
55411000 20.9163 22
55411100 20.7377 22
55411200 20.6524 22
55411300 20.4512 22
55411400 20.4155 22
55411500 20.513 22
55411600 20.8063 22
55411700 21.1124 22
55411800 21.3143 22
55411900 21.0603 22
55412000 20.9076 22
55412100 20.6811 22
55412200 20.4795 22
55412300 20.4176 22
55412400 20.0881 22
55412500 20.0886 22
55412600 20.1498 22
55412700 20.1246 22
55412800 20.0007 22
55412900 20.0776 22
55413000 19.8555 22
55413100 20.1666 22
55413200 20.4365 22
55413300 20.5649 22
55413400 20.5552 22
55413500 20.5098 22
55413600 20.4761 22
55413700 20.5093 22
55413800 20.4107 22
55413900 20.2938 22
55414000 20.4045 22
55414100 20.4621 22
55414200 20.5253 22
55414300 20.5521 22
55414400 20.7307 22
55414500 20.9674 22
55414600 21.4035 22
55414700 21.6835 22
55414800 21.887 22
55414900 22.0201 22
55415000 21.946 22
55415100 22.1447 22
55415200 21.9253 22
55415300 21.9038 22
55415400 22.1733 22
55415500 22.0252 22
55415600 21.5326 22
55415700 21.4975 22
55415800 21.816 22
55415900 21.8666 22
55416000 21.8447 22
55416100 21.7366 22
55416200 21.9565 22
55416300 22.0297 22
55416400 21.9036 22
55416500 21.8499 22
55416600 21.4609 22
55416700 21.4384 22
55416800 21.4647 22
55416900 21.1724 22
55417000 20.9903 22
55417100 21.2052 22
55417200 21.0419 22
55417300 20.5105 22
55417400 20.6179 22
55417500 21.0604 22
55417600 21.4915 22
55417700 21.5018 22
55417800 21.2466 22
55417900 21.2728 22
55418000 21.2322 22
55418100 20.6771 22
55418200 20.494 22
55418300 20.4906 22
55418400 20.6191 22
55418500 20.5244 22
55418600 20.4711 22
55418700 20.3842 22
55418800 20.7076 22
55418900 20.7808 22
55419000 20.5793 22
55419100 20.1712 22
55419200 20.2426 22
55419300 20.052 22
55419400 20.129 22
55419500 20.375 22
55419600 20.448 22
55419700 20.6 22
55419800 20.7836 22
55419900 20.8641 22
55420000 20.9852 22
55420100 21.1612 22
55420200 21.3751 22
55420300 21.5691 22
55420400 21.7103 22
55420500 21.7184 22
55420600 21.5587 22
55420700 21.2695 22
55420800 21.2296 22
55420900 21.2668 22
55421000 21.1978 22
55421100 21.6696 22
55421200 22.107 22
55421300 21.6842 22
55421400 21.6407 22
55421500 21.2033 22
55421600 21.0344 22
55421700 21.3089 22
55421800 21.6531 22
55421900 21.8473 22
55422000 21.7347 22
55422100 21.6265 22
55422200 21.6209 22
55422300 21.5763 22
55422400 21.3014 22
55422500 21.2349 22
55422600 21.519 22
55422700 21.7031 22
55422800 21.4439 22
55422900 20.9849 22
55423000 21.2253 22
55423100 21.4541 22
55423200 21.7668 22
55423300 21.9022 22
55423400 21.8314 22
55423500 21.7077 22
55423600 21.6186 22
55423700 21.6602 22
55423800 21.8377 22
55423900 22.1151 22
55424000 21.7936 22
55424100 21.5131 22
55424200 21.5691 22
55424300 21.5255 22
55424400 21.4738 22
55424500 21.3546 22
55424600 21.614 22
55424700 21.7251 22
55424800 21.8457 22
55424900 22.0097 22
55425000 22.1347 22
55425100 22.1725 22
55425200 22.296 22
55425300 22.4199 22
55425400 22.6284 22
55425500 23.0681 22
55425600 23.4227 22
55425700 23.8026 22
55425800 23.7668 22
55425900 23.8338 22
55426000 23.9814 22
55426100 23.9443 22
55426200 23.9105 22
55426300 23.9399 22
55426400 23.8767 22
55426500 24.1387 22
55426600 24.4123 22
55426700 24.7636 22
55426800 24.8481 22
55426900 24.7777 22
55427000 24.7511 22
55427100 24.8327 22
55427200 24.8515 22
55427300 24.6938 22
55427400 24.7609 22
55427500 24.5523 22
55427600 24.1684 22
55427700 23.8488 22
55427800 23.5783 22
55427900 23.6571 22
55428000 23.7548 22
55428100 23.9124 22
55428200 23.9581 22
55428300 24.0507 22
55428400 24.125 22
55428500 24.2258 22
55428600 24.0711 22
55428700 24.3813 22
55428800 24.4232 22
55428900 24.8501 22
55429000 25.2387 22
55429100 25.5463 22
55429200 25.9157 22
55429300 26.1268 22
55429400 26.4096 22
55429500 26.3634 22
55429600 25.9915 22
55429700 25.4728 22
55429800 24.9831 22
55429900 24.6694 22
55430000 24.3914 22
55430100 24.037 22
55430200 23.8372 22
55430300 24.0279 22
55430400 24.311 22
55430500 24.6338 22
55430600 24.8284 22
55430700 24.6655 22
55430800 24.8262 22
55430900 25.0903 22
55431000 25.0892 22
55431100 24.985 22
55431200 25.0693 22
55431300 25.269 22
55431400 25.2707 22
55431500 25.4017 22
55431600 25.3584 22
55431700 25.1351 22
55431800 24.858 22
55431900 24.6528 22
55432000 24.4764 22
55432100 24.5849 22
55432200 24.4244 22
55432300 24.1845 22
55432400 24.3061 22
55432500 24.6156 22
55432600 24.7906 22
55432700 25.0521 22
55432800 24.7576 22
55432900 24.4729 22
55433000 24.4772 22
55433100 24.7497 22
55433200 24.5513 22
55433300 24.2939 22
55433400 23.995 22
55433500 23.5593 22
55433600 23.6164 22
55433700 23.4451 22
55433800 23.1815 22
55433900 22.9455 22
55434000 22.7229 22
55434100 22.6663 22
55434200 22.4762 22
55434300 22.5607 22
55434400 22.5344 22
55434500 22.6329 22
55434600 22.7694 22
55434700 22.9279 22
55434800 22.9828 22
55434900 22.95 22
55435000 22.9561 22
55435100 22.9989 22
55435200 22.7801 22
55435300 22.5717 22
55435400 22.6608 22
55435500 22.5951 22
55435600 22.3686 22
55435700 22.2459 22
55435800 22.3185 22
55435900 22.6021 22
55436000 22.4591 22
55436100 22.343 22
55436200 22.7455 22
55436300 23.0875 22
55436400 23.0501 22
55436500 22.7625 22
55436600 22.6664 22
55436700 22.8547 22
55436800 23.0422 22
55436900 22.9664 22
55437000 22.6202 22
55437100 22.3325 22
55437200 22.1632 22
55437300 22.0438 22
55437400 22.1565 22
55437500 22.0643 22
55437600 21.9289 22
55437700 21.7731 22
55437800 21.4917 22
55437900 21.013 22
55438000 20.4618 22
55438100 20.1632 22
55438200 20.1346 22
55438300 20.0663 22
55438400 19.906 22
55438500 20.1372 22
55438600 20.1488 22
55438700 20.3535 22
55438800 20.8342 22
55438900 21.2757 22
55439000 21.2106 22
55439100 21.338 22
55439200 21.1316 22
55439300 20.7929 22
55439400 20.3996 22
55439500 20.2401 22
55439600 20.1027 22
55439700 20.1231 22
55439800 20.6583 22
55439900 20.6649 22
55440000 20.1692 22
55440100 19.9741 22
55440200 20.2633 22
55440300 20.4593 22
55440400 20.6951 22
55440500 21.1265 22
55440600 21.5498 22
55440700 21.5762 22
55440800 21.6389 22
55440900 21.4659 22
55441000 21.5773 22
55441100 21.6091 22
55441200 21.7081 22
55441300 21.9666 22
55441400 21.841 22
55441500 21.7604 22
55441600 21.8286 22
55441700 21.9843 22
55441800 21.9392 22
55441900 21.9629 22
55442000 21.893 22
55442100 22.0776 22
55442200 22.2191 22
55442300 22.0413 22
55442400 21.9491 22
55442500 22.4192 22
55442600 22.9603 22
55442700 23.1378 22
55442800 22.9231 22
55442900 22.7725 22
55443000 22.3877 22
55443100 21.9086 22
55443200 21.7043 22
55443300 21.4882 22
55443400 21.2985 22
55443500 21.3732 22
55443600 21.4007 22
55443700 21.5328 22
55443800 21.4774 22
55443900 20.9537 22
55444000 20.4955 22
55444100 20.2244 22
55444200 20.3826 22
55444300 20.5282 22
55444400 20.7161 22
55444500 20.8361 22
55444600 20.973 22
55444700 20.9354 22
55444800 20.941 22
55444900 21.3568 22
55445000 21.5892 22
55445100 21.3345 22
55445200 21.3161 22
55445300 21.9145 22
55445400 22.1151 22
