# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
13400100 -12.8645 -13
13400200 -13.3328 -13
13400300 -13.5185 -13
13400400 -13.1374 -13
13400500 -13.1432 -13
13400600 -13.1848 -13
13400700 -12.9535 -13
13400800 -12.7917 -13
13400900 -12.7684 -13
13401000 -13.1055 -13
13401100 -13.3993 -13
13401200 -13.374 -13
13401300 -13.3795 -13
13401400 -13.1983 -13
13401500 -13.0069 -13
13401600 -12.8545 -13
13401700 -12.7512 -13
13401800 -12.578 -13
13401900 -12.6693 -13
13402000 -12.9146 -13
13402100 -12.8226 -13
13402200 -13.0086 -13
13402300 -13.0463 -13
13402400 -12.9292 -13
13402500 -12.8135 -13
13402600 -12.7141 -13
13402700 -12.5313 -13
13402800 -12.5506 -13
13402900 -12.8735 -13
13403000 -13.0961 -13
13403100 -13.3308 -13
13403200 -13.423 -13
13403300 -13.2009 -13
13403400 -13.2918 -13
13403500 -13.338 -13
13403600 -13.3951 -13
13403700 -13.4453 -13
13403800 -13.2449 -13
13403900 -13.1278 -13
13404000 -13.1943 -13
13404100 -13.451 -13
13404200 -13.623 -13
13404300 -13.7368 -13
13404400 -13.5356 -13
13404500 -13.6153 -13
13404600 -13.4534 -13
13404700 -13.2442 -13
13404800 -12.9819 -13
13404900 -12.9677 -13
13405000 -12.8652 -13
13405100 -12.9237 -13
13405200 -12.8461 -13
13405300 -12.5512 -13
13405400 -12.5871 -13
13405500 -12.593 -13
13405600 -12.3915 -13
13405700 -12.4278 -13
13405800 -12.6946 -13
13405900 -12.9266 -13
13406000 -12.9721 -13
13406100 -13.2099 -13
13406200 -13.4712 -13
13406300 -13.6387 -13
13406400 -13.6433 -13
13406500 -13.5339 -13
13406600 -13.1499 -13
13406700 -13.0449 -13
13406800 -13.0258 -13
13406900 -12.8165 -13
13407000 -12.9309 -13
13407100 -12.8739 -13
13407200 -12.7764 -13
13407300 -12.9943 -13
13407400 -13.5698 -13
13407500 -13.7554 -13
13407600 -13.5233 -13
13407700 -13.6143 -13
13407800 -13.6829 -13
13407900 -13.6982 -13
13408000 -13.4775 -13
13408100 -13.2039 -13
13408200 -13.1698 -13
13408300 -13.2466 -13
13408400 -13.2298 -13
13408500 -12.9517 -13
13408600 -12.3885 -13
13408700 -12.3266 -13
13408800 -12.204 -13
13408900 -12.1187 -13
13409000 -11.9351 -13
13409100 -12.1209 -13
13409200 -12.523 -13
13409300 -12.5328 -13
13409400 -12.4004 -13
13409500 -12.0189 -13
13409600 -12.0234 -13
13409700 -12.0289 -13
13409800 -11.8632 -13
13409900 -12.0259 -13
13410000 -12.4176 -13
13410100 -12.5457 -13
13410200 -12.6535 -13
13410300 -12.7046 -13
13410400 -12.6229 -13
13410500 -12.749 -13
13410600 -12.826 -13
13410700 -12.8744 -13
13410800 -13.0746 -13
13410900 -13.5295 -13
13411000 -13.6655 -13
13411100 -13.6046 -13
13411200 -13.2683 -13
13411300 -12.7782 -13
13411400 -12.5627 -13
13411500 -12.5377 -13
13411600 -12.65 -13
13411700 -12.928 -13
13411800 -13.2562 -13
13411900 -13.3846 -13
13412000 -13.0745 -13
13412100 -12.9151 -13
13412200 -12.8676 -13
13412300 -12.9969 -13
13412400 -13.0437 -13
13412500 -13.2465 -13
13412600 -13.3092 -13
13412700 -13.3307 -13
13412800 -13.2382 -13
13412900 -13.1081 -13
13413000 -13.3533 -13
13413100 -13.4266 -13
13413200 -13.1803 -13
13413300 -13.1048 -13
13413400 -13.1082 -13
13413500 -13.0133 -13
13413600 -12.7858 -13
13413700 -12.8438 -13
13413800 -13.1131 -13
13413900 -13.3369 -13
13414000 -13.2524 -13
13414100 -13.2003 -13
13414200 -13.027 -13
13414300 -12.8481 -13
13414400 -12.6862 -13
13414500 -12.7349 -13
13414600 -13.0331 -13
13414700 -13.1817 -13
13414800 -12.8332 -13
13414900 -12.7696 -13
13415000 -13.2751 -13
13415100 -12.9591 -13
13415200 -12.6388 -13
13415300 -12.6735 -13
13415400 -12.4781 -13
13415500 -12.2611 -13
13415600 -12.6389 -13
13415700 -12.9375 -13
13415800 -13.0094 -13
13415900 -12.9362 -13
13416000 -13.0304 -13
13416100 -12.9954 -13
13416200 -12.8398 -13
13416300 -12.9821 -13
13416400 -13.1566 -13
13416500 -12.9521 -13
13416600 -12.7545 -13
13416700 -12.5868 -13
13416800 -12.6304 -13
13416900 -13.034 -13
13417000 -13.2606 -13
13417100 -13.2496 -13
13417200 -13.0516 -13
13417300 -12.5336 -13
13417400 -12.4109 -13
13417500 -12.6596 -13
13417600 -13.1585 -13
13417700 -13.222 -13
13417800 -13.1288 -13
13417900 -13.0252 -13
13418000 -13.2838 -13
13418100 -13.4062 -13
13418200 -13.3965 -13
13418300 -13.2854 -13
13418400 -13.5065 -13
13418500 -13.718 -13
13418600 -13.9984 -13
13418700 -14.0562 -13
13418800 -13.8744 -13
13418900 -13.6708 -13
13419000 -13.6123 -13
13419100 -13.541 -13
13419200 -13.4193 -13
13419300 -13.4947 -13
13419400 -13.7216 -13
13419500 -13.515 -13
13419600 -13.4649 -13
13419700 -13.1469 -13
13419800 -13.1731 -13
13419900 -13.2551 -13
13420000 -13.3354 -13
13420100 -13.3593 -13
13420200 -13.3077 -13
13420300 -13.2226 -13
13420400 -13.1469 -13
13420500 -13.1798 -13
13420600 -13.4239 -13
13420700 -13.5152 -13
13420800 -13.5091 -13
13420900 -13.5928 -13
13421000 -13.6452 -13
13421100 -13.4204 -13
13421200 -13.4251 -13
13421300 -13.4719 -13
13421400 -13.5453 -13
13421500 -13.5533 -13
13421600 -13.443 -13
13421700 -13.2993 -13
13421800 -13.6456 -13
13421900 -13.8702 -13
13422000 -13.73 -13
13422100 -13.3188 -13
13422200 -13.1944 -13
13422300 -13.3067 -13
13422400 -12.7943 -13
13422500 -12.7093 -13
13422600 -12.6258 -13
13422700 -12.7497 -13
13422800 -12.8552 -13
13422900 -12.8002 -13
13423000 -12.7025 -13
13423100 -12.6495 -13
13423200 -12.3394 -13
13423300 -12.333 -13
13423400 -12.7346 -13
13423500 -12.7826 -13
13423600 -12.8515 -13
13423700 -12.8272 -13
13423800 -12.8401 -13
