# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
200100 -24.2112 -24
200200 -24.1187 -24
200300 -24.1986 -24
200400 -24.2061 -24
200500 -24.2614 -24
200600 -24.2175 -24
200700 -24.0488 -24
200800 -23.7256 -24
200900 -23.5923 -24
201000 -23.2776 -24
201100 -23.2438 -24
201200 -23.6516 -24
201300 -23.7938 -24
201400 -24.0487 -24
201500 -24.4445 -24
201600 -24.3564 -24
201700 -24.1606 -24
201800 -24.3934 -24
201900 -24.3867 -24
202000 -24.1626 -24
202100 -23.9865 -24
202200 -24.0173 -24
202300 -23.9105 -24
202400 -24.2776 -24
202500 -24.7098 -24
202600 -24.5329 -24
202700 -24.3931 -24
202800 -24.1086 -24
202900 -24.03 -24
203000 -24.0249 -24
203100 -24.0936 -24
203200 -24.1105 -24
203300 -24.1423 -24
203400 -24.1735 -24
203500 -24.1741 -24
203600 -24.1118 -24
203700 -23.8419 -24
203800 -23.7527 -24
203900 -23.8968 -24
204000 -24.1308 -24
204100 -24.0896 -24
204200 -24.0916 -24
204300 -24.2516 -24
204400 -24.2534 -24
204500 -24.068 -24
204600 -24.1642 -24
204700 -24.0304 -24
204800 -23.8331 -24
204900 -23.7338 -24
205000 -23.732 -24
205100 -23.5239 -24
205200 -23.6904 -24
205300 -23.8423 -24
205400 -24.0378 -24
205500 -24.0782 -24
205600 -24.2535 -24
205700 -24.6489 -24
205800 -24.5698 -24
205900 -24.5466 -24
206000 -24.2553 -24
206100 -24.0451 -24
206200 -23.8516 -24
206300 -23.6304 -24
206400 -23.6434 -24
206500 -23.7898 -24
206600 -23.8753 -24
206700 -23.8585 -24
206800 -24.1363 -24
206900 -24.5158 -24
207000 -24.3634 -24
207100 -24.2354 -24
207200 -24.2308 -24
207300 -24.4531 -24
207400 -24.4834 -24
207500 -24.1429 -24
207600 -23.8935 -24
207700 -23.8234 -24
207800 -23.742 -24
207900 -23.8969 -24
208000 -24.2087 -24
208100 -23.9725 -24
208200 -24.2185 -24
208300 -24.4705 -24
208400 -24.4745 -24
208500 -24.5479 -24
208600 -24.5782 -24
208700 -24.578 -24
208800 -24.2808 -24
208900 -24.143 -24
209000 -23.892 -24
209100 -23.885 -24
209200 -23.6369 -24
209300 -23.7181 -24
209400 -23.7424 -24
209500 -23.8094 -24
209600 -23.7104 -24
209700 -23.7592 -24
209800 -23.759 -24
209900 -23.9433 -24
210000 -24.2548 -24
210100 -24.1608 -24
210200 -23.9581 -24
210300 -23.9996 -24
210400 -23.8592 -24
210500 -23.6517 -24
210600 -23.6062 -24
210700 -23.615 -24
210800 -23.5402 -24
210900 -23.3426 -24
211000 -23.1704 -24
211100 -23.2009 -24
211200 -23.2992 -24
211300 -23.3346 -24
211400 -23.3778 -24
211500 -23.5148 -24
211600 -23.7309 -24
211700 -23.8181 -24
211800 -23.4936 -24
211900 -23.4383 -24
212000 -23.4647 -24
212100 -23.4769 -24
212200 -23.5107 -24
212300 -23.5657 -24
212400 -23.5257 -24
212500 -23.4862 -24
212600 -23.516 -24
212700 -23.5305 -24
212800 -23.4609 -24
212900 -23.2421 -24
213000 -23.2686 -24
213100 -23.4002 -24
213200 -23.592 -24
213300 -23.3897 -24
213400 -23.3321 -24
213500 -23.1458 -24
213600 -23.1213 -24
213700 -23.1038 -24
213800 -23.2221 -24
213900 -23.3027 -24
214000 -23.446 -24
214100 -23.3683 -24
214200 -23.3013 -24
214300 -23.4657 -24
214400 -23.6131 -24
214500 -23.9316 -24
214600 -23.7078 -24
214700 -23.6724 -24
214800 -23.8521 -24
214900 -23.8109 -24
215000 -23.696 -24
215100 -24.0668 -24
215200 -24.4148 -24
215300 -24.4894 -24
215400 -24.3144 -24
215500 -24.3126 -24
215600 -24.4225 -24
215700 -24.3853 -24
215800 -24.4362 -24
215900 -24.6031 -24
216000 -24.4884 -24
216100 -24.2693 -24
216200 -24.1305 -24
216300 -23.8296 -24
216400 -23.6712 -24
216500 -23.5921 -24
216600 -23.6215 -24
216700 -23.7383 -24
216800 -23.8009 -24
216900 -23.6336 -24
217000 -23.6056 -24
217100 -23.7979 -24
217200 -24.1508 -24
217300 -24.3215 -24
217400 -24.1244 -24
217500 -23.9814 -24
217600 -23.6753 -24
217700 -23.5626 -24
217800 -23.6967 -24
217900 -24.0726 -24
218000 -24.2647 -24
218100 -24.0445 -24
218200 -23.96 -24
218300 -24.1169 -24
218400 -24.3244 -24
218500 -24.4332 -24
218600 -24.0666 -24
218700 -24.0284 -24
218800 -24.0819 -24
218900 -23.8312 -24
219000 -23.5781 -24
219100 -23.6164 -24
219200 -23.6592 -24
219300 -23.735 -24
219400 -23.8208 -24
219500 -23.8078 -24
219600 -23.8342 -24
219700 -24.0791 -24
219800 -24.16 -24
219900 -24.2867 -24
220000 -24.0391 -24
220100 -23.92 -24
220200 -23.7344 -24
220300 -23.6278 -24
220400 -23.8923 -24
220500 -23.729 -24
220600 -23.6319 -24
220700 -23.6693 -24
