# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
29000100 0.0472991 0
29000200 0.0206898 0
29000300 -0.186998 0
29000400 -0.252126 0
29000500 -0.276947 0
29000600 -0.250621 0
29000700 -0.340304 0
29000800 -0.411076 0
29000900 -0.335052 0
29001000 -0.0997259 0
29001100 -0.213188 0
29001200 -0.30544 0
29001300 -0.4163 0
29001400 -0.563361 0
29001500 -0.736393 0
29001600 -0.824648 0
29001700 -0.829252 0
29001800 -0.714866 0
29001900 -0.302349 0
29002000 0.253287 0
29002100 0.445547 0
29002200 0.358164 0
29002300 0.339295 0
29002400 0.386449 0
29002500 0.223839 0
29002600 0.164439 0
29002700 0.200144 0
29002800 0.0147288 0
29002900 0.0132281 0
29003000 0.170749 0
29003100 0.19426 0
29003200 0.0922258 0
29003300 0.125941 0
29003400 0.00215156 0
29003500 -0.271378 0
29003600 -0.327575 0
29003700 -0.0801198 0
29003800 -0.0254771 0
29003900 0.0475797 0
29004000 0.214985 0
29004100 0.11743 0
29004200 0.234276 0
29004300 0.198318 0
29004400 0.233076 0
29004500 0.120511 0
29004600 -0.165963 0
29004700 -0.388588 0
29004800 -0.304359 0
29004900 -0.398459 0
29005000 -0.472738 0
29005100 -0.424056 0
29005200 -0.0851433 0
29005300 -0.0256764 0
29005400 -0.234704 0
29005500 -0.551848 0
29005600 -0.595188 0
29005700 -0.608181 0
29005800 -0.809221 0
29005900 -0.973893 0
29006000 -0.880239 0
29006100 -0.756248 0
29006200 -0.636932 0
29006300 -0.796495 0
29006400 -0.762244 0
29006500 -0.758068 0
29006600 -0.791552 0
29006700 -0.881476 0
29006800 -0.679985 0
29006900 -0.428073 0
29007000 -0.260252 0
29007100 -0.0175801 0
29007200 -0.00877173 0
29007300 -0.120355 0
29007400 -0.100156 0
29007500 -0.216873 0
29007600 -0.299497 0
29007700 -0.253137 0
29007800 -0.216714 0
29007900 -0.310864 0
29008000 -0.358261 0
29008100 -0.313019 0
29008200 0.0913662 0
29008300 0.0802478 0
29008400 -0.0937772 0
29008500 -0.0344144 0
29008600 -0.0942842 0
29008700 -0.281067 0
29008800 -0.261463 0
29008900 -0.34154 0
29009000 -0.1116 0
29009100 -0.0980114 0
29009200 -0.257284 0
29009300 -0.0107942 0
29009400 0.129499 0
29009500 0.269031 0
29009600 0.36302 0
29009700 0.224795 0
29009800 0.194015 0
29009900 0.236147 0
29010000 -0.194067 0
29010100 -0.453957 0
29010200 -0.557061 0
29010300 -0.426882 0
29010400 -0.3658 0
29010500 -0.184914 0
29010600 -0.323857 0
29010700 -0.47193 0
29010800 -0.524698 0
29010900 -0.643588 0
29011000 -0.721515 0
29011100 -0.690151 0
29011200 -0.669707 0
29011300 -0.81808 0
29011400 -0.632358 0
29011500 -0.322645 0
29011600 -0.445453 0
29011700 -0.35689 0
29011800 -0.372744 0
29011900 -0.50901 0
29012000 -0.612848 0
29012100 -0.549998 0
29012200 -0.514931 0
29012300 -0.599044 0
29012400 -0.647322 0
29012500 -0.538737 0
29012600 -0.190098 0
29012700 0.213384 0
29012800 0.519099 0
29012900 0.345667 0
29013000 0.392267 0
29013100 0.0982673 0
29013200 0.0839134 0
29013300 0.0165426 0
29013400 0.232918 0
29013500 0.258256 0
29013600 0.170376 0
29013700 0.176799 0
29013800 0.322703 0
29013900 0.501853 0
29014000 0.374307 0
29014100 0.418599 0
29014200 0.495963 0
29014300 0.440921 0
29014400 0.0616698 0
29014500 -0.100332 0
29014600 0.0276669 0
29014700 0.059468 0
29014800 0.156804 0
29014900 0.163905 0
29015000 0.183034 0
29015100 0.161744 0
29015200 -0.0360056 0
29015300 -0.301155 0
29015400 -0.0841603 0
29015500 0.348982 0
29015600 0.37743 0
29015700 0.153447 0
29015800 0.0498725 0
29015900 0.0362534 0
29016000 -0.0931748 0
29016100 0.0169471 0
29016200 -0.164363 0
29016300 0.162206 0
29016400 0.529321 0
29016500 0.415801 0
29016600 0.244217 0
29016700 0.149367 0
29016800 -0.0669308 0
29016900 0.0448153 0
29017000 0.165918 0
29017100 0.116226 0
29017200 0.187831 0
29017300 0.114913 0
29017400 0.215245 0
29017500 0.558927 0
29017600 0.438354 0
