# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
5130100 -18.9448 -16
5130200 -19.0549 -16
5130300 -18.9597 -16
5130400 -18.9651 -16
5130500 -18.9872 -16
5130600 -19.0328 -16
5130700 -18.9846 -16
5130800 -18.6923 -16
5130900 -18.8213 -16
5131000 -18.9761 -16
5131100 -18.8952 -16
5131200 -18.7193 -16
5131300 -18.587 -16
5131400 -18.8974 -16
5131500 -18.6772 -16
5131600 -18.7763 -16
5131700 -18.6292 -16
5131800 -18.8924 -16
5131900 -18.6871 -16
5132000 -18.8155 -16
5132100 -18.9427 -16
5132200 -19.1034 -16
5132300 -19.0988 -16
5132400 -18.7425 -16
5132500 -18.9397 -16
5132600 -18.9001 -16
5132700 -19.0739 -16
5132800 -19.2245 -16
5132900 -18.9513 -16
5133000 -18.557 -16
5133100 -18.5742 -16
5133200 -18.9578 -16
5133300 -19.13 -16
5133400 -19.0781 -16
5133500 -18.9406 -16
5133600 -18.5484 -16
5133700 -18.493 -16
5133800 -18.6906 -16
5133900 -19.1484 -16
5134000 -19.2138 -16
5134100 -18.9423 -16
5134200 -18.7159 -16
5134300 -18.8251 -16
5134400 -18.992 -16
5134500 -18.9824 -16
5134600 -18.8842 -16
5134700 -19.1281 -16
5134800 -19.3151 -16
5134900 -19.0162 -16
5135000 -18.722 -16
5135100 -18.9202 -16
5135200 -18.9966 -16
5135300 -18.9638 -16
5135400 -18.8599 -16
5135500 -19.0959 -16
5135600 -19.0907 -16
5135700 -18.9791 -16
5135800 -18.7546 -16
5135900 -18.878 -16
5136000 -19.1728 -16
5136100 -19.125 -16
5136200 -18.8747 -16
5136300 -18.8005 -16
5136400 -18.9537 -16
5136500 -19.173 -16
5136600 -19.1511 -16
5136700 -19.0303 -16
5136800 -19.0154 -16
5136900 -18.9703 -16
5137000 -18.9986 -16
5137100 -19.1406 -16
5137200 -19.1419 -16
5137300 -19.0266 -16
5137400 -18.9383 -16
5137500 -18.9781 -16
5137600 -19.084 -16
5137700 -19.0595 -16
5137800 -18.9531 -16
5137900 -18.9805 -16
5138000 -19.0139 -16
5138100 -19.0686 -16
5138200 -18.9946 -16
5138300 -18.5784 -16
5138400 -18.7679 -16
5138500 -19.1735 -16
5138600 -19.2444 -16
5138700 -18.9767 -16
5138800 -18.8667 -16
5138900 -18.799 -16
5139000 -18.9491 -16
5139100 -19.1031 -16
5139200 -19.21 -16
5139300 -19.1309 -16
5139400 -18.7728 -16
5139500 -18.7291 -16
5139600 -18.7832 -16
5139700 -19.1833 -16
5139800 -19.1987 -16
5139900 -18.8568 -16
5140000 -18.7798 -16
5140100 -18.968 -16
5140200 -19.1124 -16
5140300 -19.045 -16
5140400 -18.946 -16
5140500 -18.7658 -16
5140600 -18.9927 -16
5140700 -19.2023 -16
5140800 -19.0317 -16
5140900 -18.8937 -16
5141000 -18.7295 -16
5141100 -18.8454 -16
5141200 -19.16 -16
5141300 -19.0606 -16
5141400 -19.019 -16
5141500 -18.9441 -16
5141600 -18.9975 -16
5141700 -19.1194 -16
5141800 -19.196 -16
5141900 -19.0068 -16
5142000 -18.7545 -16
5142100 -18.927 -16
5142200 -19.0903 -16
5142300 -19.0632 -16
5142400 -19.0902 -16
5142500 -19.1306 -16
5142600 -18.984 -16
5142700 -18.9062 -16
5142800 -18.9711 -16
5142900 -18.9829 -16
5143000 -19.0608 -16
5143100 -19.146 -16
5143200 -19.1356 -16
5143300 -18.7911 -16
5143400 -18.7155 -16
5143500 -18.8185 -16
5143600 -19.2402 -16
5143700 -19.2281 -16
5143800 -18.9857 -16
5143900 -18.8126 -16
5144000 -18.9718 -16
5144100 -19.0978 -16
5144200 -19.0858 -16
5144300 -18.8693 -16
5144400 -18.9407 -16
5144500 -19.0806 -16
5144600 -19.0931 -16
5144700 -18.9956 -16
5144800 -18.8056 -16
5144900 -18.4553 -16
5145000 -18.522 -16
5145100 -18.847 -16
5145200 -18.7695 -16
5145300 -19.0201 -16
5145400 -19.1108 -16
5145500 -19.0305 -16
5145600 -18.9943 -16
5145700 -18.9735 -16
5145800 -18.8529 -16
5145900 -18.9693 -16
5146000 -19.1219 -16
5146100 -19.1596 -16
5146200 -19.1974 -16
5146300 -18.8721 -16
5146400 -18.7516 -16
5146500 -18.9609 -16
5146600 -19.1647 -16
5146700 -18.9388 -16
5146800 -18.9001 -16
5146900 -18.9161 -16
5147000 -19.1374 -16
5147100 -18.898 -16
5147200 -18.8789 -16
5147300 -19.034 -16
5147400 -19.1969 -16
5147500 -18.7775 -16
5147600 -18.7949 -16
5147700 -18.8604 -16
5147800 -18.9449 -16
5147900 -19.0189 -16
5148000 -18.9455 -16
5148100 -19.0824 -16
5148200 -19.0818 -16
5148300 -18.8186 -16
5148400 -18.8263 -16
5148500 -19.0682 -16
5148600 -18.8606 -16
5148700 -18.7084 -16
5148800 -18.948 -16
5148900 -19.2002 -16
5149000 -18.9686 -16
5149100 -19.0233 -16
5149200 -19.0188 -16
5149300 -18.9008 -16
5149400 -18.9209 -16
5149500 -19.0416 -16
5149600 -18.8836 -16
5149700 -18.5083 -16
5149800 -18.8349 -16
5149900 -19.0906 -16
5150000 -19.1812 -16
5150100 -18.7855 -16
5150200 -18.7137 -16
5150300 -18.8803 -16
5150400 -19.1426 -16
5150500 -19.0031 -16
5150600 -18.6403 -16
5150700 -18.7095 -16
5150800 -18.5479 -16
5150900 -18.7426 -16
5151000 -18.5746 -16
5151100 -18.5306 -16
5151200 -19.0031 -16
5151300 -19.1886 -16
5151400 -18.9603 -16
5151500 -18.8601 -16
5151600 -18.8477 -16
5151700 -18.8722 -16
5151800 -18.9595 -16
5151900 -19.1393 -16
5152000 -19.1448 -16
5152100 -18.9356 -16
5152200 -18.7341 -16
5152300 -18.6825 -16
5152400 -19.0747 -16
5152500 -19.229 -16
5152600 -19.0161 -16
5152700 -18.8607 -16
5152800 -18.8682 -16
5152900 -18.9995 -16
5153000 -19.0872 -16
5153100 -18.8673 -16
5153200 -18.8164 -16
5153300 -18.9561 -16
5153400 -19.2159 -16
5153500 -19.149 -16
5153600 -18.886 -16
5153700 -18.8814 -16
5153800 -18.9219 -16
5153900 -19.0751 -16
5154000 -19.096 -16
5154100 -18.9003 -16
5154200 -18.9855 -16
5154300 -18.9719 -16
5154400 -19.0598 -16
5154500 -18.925 -16
5154600 -18.8777 -16
5154700 -18.9021 -16
5154800 -18.9092 -16
5154900 -19.1771 -16
5155000 -19.2046 -16
5155100 -18.9566 -16
5155200 -18.7992 -16
5155300 -18.8927 -16
5155400 -18.9968 -16
5155500 -19.0927 -16
5155600 -19.0357 -16
5155700 -19.0125 -16
5155800 -18.9032 -16
5155900 -18.8826 -16
5156000 -18.9198 -16
5156100 -18.8388 -16
5156200 -18.7809 -16
5156300 -18.9542 -16
5156400 -19.1638 -16
5156500 -19.1486 -16
5156600 -18.9739 -16
5156700 -18.7702 -16
5156800 -18.6265 -16
5156900 -18.9496 -16
5157000 -18.9705 -16
5157100 -18.8121 -16
5157200 -18.9896 -16
5157300 -19.0573 -16
5157400 -19.0088 -16
5157500 -18.8211 -16
5157600 -19.0194 -16
5157700 -18.9106 -16
5157800 -18.8508 -16
5157900 -19.0343 -16
5158000 -19.0698 -16
5158100 -19.0307 -16
5158200 -18.8589 -16
5158300 -18.8509 -16
5158400 -18.9663 -16
5158500 -19.0645 -16
5158600 -18.8184 -16
5158700 -18.8014 -16
5158800 -18.8677 -16
5158900 -18.9526 -16
5159000 -18.8237 -16
5159100 -18.7702 -16
5159200 -19.0095 -16
5159300 -19.1101 -16
5159400 -19.0308 -16
5159500 -18.927 -16
5159600 -18.7253 -16
5159700 -18.7298 -16
5159800 -18.9155 -16
5159900 -19.1127 -16
5160000 -19.0701 -16
5160100 -19.0991 -16
5160200 -18.7364 -16
5160300 -18.6735 -16
5160400 -19.1607 -16
5160500 -19.0539 -16
5160600 -18.7148 -16
5160700 -18.7228 -16
5160800 -19.0481 -16
5160900 -19.2702 -16
5161000 -19.0861 -16
5161100 -18.8754 -16
5161200 -18.8919 -16
5161300 -19.0052 -16
5161400 -19.2239 -16
5161500 -19.0262 -16
5161600 -18.8002 -16
5161700 -18.9396 -16
5161800 -19.1883 -16
5161900 -19.2843 -16
5162000 -18.8759 -16
5162100 -18.5618 -16
5162200 -18.4959 -16
5162300 -18.9567 -16
5162400 -19.177 -16
5162500 -19.033 -16
5162600 -18.8974 -16
5162700 -18.8329 -16
5162800 -18.9161 -16
5162900 -18.7132 -16
5163000 -18.5433 -16
5163100 -18.646 -16
5163200 -18.9215 -16
5163300 -18.7432 -16
5163400 -18.546 -16
5163500 -18.636 -16
5163600 -18.9648 -16
5163700 -19.1571 -16
5163800 -19.0622 -16
5163900 -18.8936 -16
5164000 -18.7919 -16
5164100 -18.895 -16
5164200 -19.1894 -16
5164300 -19.1735 -16
5164400 -18.9063 -16
5164500 -18.7969 -16
5164600 -18.8566 -16
5164700 -19.0962 -16
5164800 -19.0866 -16
5164900 -18.9345 -16
5165000 -18.6244 -16
5165100 -18.7206 -16
5165200 -18.8339 -16
5165300 -19.0203 -16
5165400 -19.0039 -16
5165500 -19.0202 -16
5165600 -18.7682 -16
5165700 -18.71 -16
5165800 -19.1008 -16
5165900 -18.9563 -16
5166000 -18.6882 -16
5166100 -18.7837 -16
5166200 -18.8726 -16
5166300 -19.1647 -16
5166400 -19.1634 -16
5166500 -18.8539 -16
5166600 -18.7645 -16
5166700 -18.567 -16
5166800 -18.625 -16
5166900 -18.9674 -16
5167000 -19.1085 -16
5167100 -18.8065 -16
5167200 -18.8428 -16
5167300 -18.8943 -16
5167400 -18.9796 -16
5167500 -19.1852 -16
5167600 -18.903 -16
5167700 -18.7376 -16
5167800 -18.9272 -16
5167900 -18.9349 -16
5168000 -19.0187 -16
5168100 -19.1233 -16
5168200 -18.8981 -16
5168300 -19.0601 -16
5168400 -18.8768 -16
5168500 -18.7278 -16
5168600 -18.8283 -16
5168700 -19.067 -16
5168800 -19.0697 -16
5168900 -18.919 -16
5169000 -18.9335 -16
5169100 -18.9985 -16
5169200 -19.1621 -16
5169300 -18.9738 -16
5169400 -18.8314 -16
5169500 -18.8565 -16
5169600 -19.0054 -16
5169700 -18.9635 -16
5169800 -18.5406 -16
5169900 -18.3737 -16
5170000 -18.8266 -16
5170100 -19.051 -16
5170200 -18.9981 -16
5170300 -18.7504 -16
5170400 -19.0216 -16
5170500 -19.154 -16
5170600 -18.9353 -16
5170700 -19.0694 -16
5170800 -19.1221 -16
5170900 -18.8084 -16
5171000 -18.7508 -16
5171100 -18.9529 -16
5171200 -19.0782 -16
5171300 -19.1361 -16
5171400 -19.0004 -16
5171500 -18.8527 -16
5171600 -18.7703 -16
5171700 -18.9502 -16
5171800 -19.1486 -16
5171900 -19.0899 -16
5172000 -18.7681 -16
5172100 -18.937 -16
5172200 -19.0536 -16
5172300 -19.0872 -16
5172400 -19.044 -16
5172500 -18.8418 -16
5172600 -18.9705 -16
5172700 -19.0399 -16
5172800 -19.1641 -16
5172900 -19.0021 -16
5173000 -18.8904 -16
5173100 -18.8999 -16
5173200 -19.0983 -16
5173300 -19.0996 -16
5173400 -18.9176 -16
5173500 -18.7662 -16
5173600 -19.029 -16
5173700 -19.0951 -16
5173800 -19.1427 -16
5173900 -18.9525 -16
5174000 -18.776 -16
5174100 -18.7938 -16
5174200 -19.1605 -16
5174300 -19.3214 -16
5174400 -18.9423 -16
5174500 -18.7055 -16
5174600 -18.8433 -16
5174700 -19.026 -16
5174800 -19.1038 -16
5174900 -18.8693 -16
5175000 -18.9036 -16
5175100 -19.0701 -16
5175200 -19.0784 -16
5175300 -18.8389 -16
5175400 -18.7202 -16
5175500 -19.1346 -16
5175600 -19.0609 -16
5175700 -18.9712 -16
5175800 -19.1206 -16
5175900 -19.1034 -16
5176000 -18.9528 -16
5176100 -18.7717 -16
5176200 -18.9461 -16
5176300 -19.1702 -16
5176400 -19.1253 -16
5176500 -18.8985 -16
5176600 -18.8396 -16
5176700 -19.08 -16
5176800 -19.0376 -16
5176900 -18.8204 -16
5177000 -18.923 -16
5177100 -19.0181 -16
5177200 -19.0064 -16
5177300 -18.9352 -16
5177400 -19.0092 -16
5177500 -18.9476 -16
5177600 -18.9639 -16
5177700 -18.8192 -16
5177800 -18.9814 -16
5177900 -19.0573 -16
5178000 -18.9445 -16
5178100 -18.9396 -16
5178200 -19.0542 -16
5178300 -19.2029 -16
5178400 -19.0151 -16
5178500 -18.6113 -16
5178600 -18.6625 -16
5178700 -18.9918 -16
5178800 -19.1437 -16
5178900 -19.1047 -16
5179000 -19.0111 -16
5179100 -18.7123 -16
5179200 -18.7658 -16
5179300 -19.103 -16
5179400 -19.0425 -16
5179500 -18.7135 -16
5179600 -18.7405 -16
5179700 -19.1707 -16
5179800 -18.9325 -16
5179900 -18.9334 -16
5180000 -18.9472 -16
5180100 -18.9132 -16
5180200 -19.0355 -16
5180300 -19.312 -16
5180400 -18.8912 -16
5180500 -18.559 -16
5180600 -18.7011 -16
5180700 -19.1742 -16
5180800 -19.2946 -16
5180900 -18.5935 -16
5181000 -18.3018 -16
5181100 -18.7361 -16
5181200 -18.9906 -16
5181300 -18.9681 -16
5181400 -18.9238 -16
5181500 -18.9606 -16
5181600 -18.6338 -16
5181700 -18.413 -16
5181800 -18.7912 -16
5181900 -18.6264 -16
5182000 -18.5718 -16
5182100 -18.665 -16
5182200 -18.9944 -16
5182300 -19.1774 -16
5182400 -18.9405 -16
5182500 -18.7115 -16
5182600 -18.8006 -16
5182700 -19.1082 -16
5182800 -19.2094 -16
5182900 -18.8482 -16
5183000 -18.6055 -16
5183100 -18.9118 -16
5183200 -19.1735 -16
5183300 -18.8574 -16
5183400 -18.8617 -16
5183500 -18.9847 -16
5183600 -19.117 -16
5183700 -19.08 -16
5183800 -18.8046 -16
5183900 -18.5903 -16
5184000 -18.9032 -16
5184100 -19.2079 -16
5184200 -19.0326 -16
5184300 -18.7785 -16
5184400 -18.7341 -16
5184500 -18.9133 -16
5184600 -19.0642 -16
5184700 -19.0722 -16
5184800 -18.7143 -16
5184900 -18.6245 -16
5185000 -18.9924 -16
5185100 -19.1072 -16
5185200 -18.7766 -16
5185300 -18.6904 -16
5185400 -18.8172 -16
5185500 -19.062 -16
5185600 -19.0974 -16
5185700 -18.9013 -16
5185800 -18.8763 -16
5185900 -18.8847 -16
5186000 -18.7786 -16
5186100 -18.9971 -16
5186200 -19.0521 -16
5186300 -19.1013 -16
5186400 -19.0865 -16
5186500 -18.8804 -16
5186600 -18.8723 -16
5186700 -18.9613 -16
5186800 -19.1298 -16
5186900 -19.2132 -16
5187000 -19.2343 -16
5187100 -18.8496 -16
5187200 -18.7789 -16
5187300 -18.8839 -16
5187400 -18.9987 -16
5187500 -19.0615 -16
5187600 -18.9957 -16
5187700 -19.0245 -16
5187800 -19.0139 -16
5187900 -19.0343 -16
5188000 -18.9945 -16
5188100 -18.8779 -16
5188200 -18.6717 -16
5188300 -18.6636 -16
5188400 -19.066 -16
5188500 -19.1154 -16
5188600 -18.9469 -16
5188700 -18.9287 -16
5188800 -18.8651 -16
5188900 -19.0954 -16
5189000 -19.0767 -16
5189100 -19.0468 -16
5189200 -18.9105 -16
5189300 -18.9734 -16
5189400 -19.0965 -16
5189500 -19.1079 -16
5189600 -19.0621 -16
5189700 -18.9778 -16
5189800 -18.8233 -16
5189900 -18.9717 -16
5190000 -19.1464 -16
5190100 -19.1496 -16
5190200 -19.0117 -16
5190300 -19.0515 -16
5190400 -19.0824 -16
5190500 -18.9131 -16
5190600 -19.1072 -16
5190700 -19.1863 -16
5190800 -19.0612 -16
5190900 -18.8207 -16
5191000 -19.0248 -16
5191100 -19.1129 -16
5191200 -18.9075 -16
5191300 -18.9974 -16
5191400 -19.0872 -16
5191500 -19.0891 -16
5191600 -18.9749 -16
5191700 -18.9978 -16
5191800 -18.9528 -16
5191900 -18.9011 -16
5192000 -18.6796 -16
5192100 -18.8342 -16
5192200 -18.7627 -16
5192300 -19.0266 -16
5192400 -18.9819 -16
5192500 -18.7688 -16
5192600 -18.6736 -16
5192700 -18.804 -16
5192800 -19.155 -16
5192900 -19.1708 -16
5193000 -18.9104 -16
5193100 -18.2907 -16
5193200 -18.1995 -16
5193300 -18.8422 -16
5193400 -19.2246 -16
5193500 -18.9669 -16
5193600 -18.7551 -16
5193700 -18.8907 -16
5193800 -19.1375 -16
5193900 -19.1485 -16
5194000 -18.8324 -16
5194100 -18.6918 -16
5194200 -18.7513 -16
5194300 -19.0763 -16
5194400 -19.0474 -16
5194500 -18.9109 -16
5194600 -18.8852 -16
5194700 -18.9387 -16
5194800 -19.1185 -16
5194900 -19.1001 -16
5195000 -19.0079 -16
5195100 -19.0078 -16
5195200 -18.9504 -16
5195300 -19.0904 -16
5195400 -18.9241 -16
5195500 -18.7531 -16
5195600 -18.6546 -16
5195700 -18.837 -16
5195800 -19.0124 -16
5195900 -19.0378 -16
5196000 -18.9422 -16
5196100 -18.92 -16
5196200 -19.0307 -16
5196300 -18.9255 -16
5196400 -18.9873 -16
5196500 -19.0569 -16
5196600 -18.9716 -16
5196700 -19.0467 -16
5196800 -18.9572 -16
5196900 -19.0023 -16
5197000 -19.0186 -16
5197100 -18.8131 -16
5197200 -18.9781 -16
5197300 -18.9174 -16
5197400 -18.957 -16
5197500 -18.9343 -16
5197600 -19.1516 -16
5197700 -19.1284 -16
5197800 -18.7222 -16
5197900 -18.693 -16
5198000 -19.0571 -16
5198100 -19.3215 -16
5198200 -19.1946 -16
5198300 -18.8552 -16
5198400 -18.7023 -16
5198500 -18.9131 -16
5198600 -19.1423 -16
5198700 -19.1104 -16
5198800 -18.8897 -16
5198900 -18.8639 -16
5199000 -18.913 -16
5199100 -19.1525 -16
5199200 -19.1096 -16
5199300 -18.7036 -16
5199400 -18.6968 -16
5199500 -18.894 -16
5199600 -19.0777 -16
5199700 -18.89 -16
5199800 -18.9464 -16
5199900 -18.7224 -16
