# Time-averaged data for fix myat1
# TimeStep v_deltaz
100 88.4292
200 87.8406
300 87.1169
400 86.316
500 85.4965
600 84.6694
700 83.8486
800 83.0409
900 82.228
1000 81.4301
1100 80.6397
1200 79.8491
1300 79.0491
1400 78.2599
1500 77.4721
1600 76.6791
1700 75.9043
1800 75.1141
1900 74.3364
2000 73.5677
2100 72.8068
2200 72.0472
2300 71.3007
2400 70.5637
2500 69.8221
2600 69.0794
2700 68.3431
2800 67.6172
2900 66.8855
3000 66.1573
3100 65.4288
3200 64.7049
3300 63.9886
3400 63.2683
3500 62.5486
3600 61.8366
3700 61.1331
3800 60.4464
3900 59.7573
4000 59.0592
4100 58.3598
4200 57.6643
4300 56.9802
4400 56.3171
4500 55.6514
4600 54.9845
4700 54.3205
4800 53.663
4900 53.0262
5000 52.3836
5100 51.7409
5200 51.1002
5300 50.4695
5400 49.8622
5500 49.2505
5600 48.6463
5700 48.0538
5800 47.4675
5900 46.8865
6000 46.3182
6100 45.7627
6200 45.2216
6300 44.6908
6400 44.1913
6500 43.7243
6600 43.2736
6700 42.8406
6800 42.4364
6900 42.0563
7000 41.6858
7100 41.3478
7200 41.0343
7300 40.7501
7400 40.4968
7500 40.2731
7600 40.0929
7700 39.9477
7800 39.8387
7900 39.779
8000 39.7514
8100 39.7536
8200 39.7834
8300 39.8485
8400 39.9363
8500 40.0469
8600 40.1896
8700 40.3399
8800 40.5014
8900 40.6743
9000 40.8603
9100 41.0499
9200 41.2512
9300 41.4565
9400 41.653
9500 41.8546
9600 42.0506
9700 42.2368
9800 42.4151
9900 42.5906
10000 42.7562
10100 42.9223
10200 43.0846
10300 43.234
10400 43.3762
10500 43.5008
10600 43.6109
10700 43.7133
10800 43.819
10900 43.912
11000 44.0002
11100 44.0836
11200 44.1528
11300 44.2011
11400 44.2305
11500 44.2546
11600 44.2627
11700 44.2599
11800 44.2543
11900 44.235
12000 44.1991
12100 44.1658
12200 44.1257
12300 44.0743
12400 44.0162
12500 43.9425
12600 43.8662
12700 43.789
12800 43.7147
12900 43.6348
13000 43.5612
13100 43.4912
13200 43.4123
13300 43.3322
13400 43.2514
13500 43.1709
13600 43.1029
13700 43.0217
13800 42.9494
13900 42.892
14000 42.8352
14100 42.7731
14200 42.7154
14300 42.6702
14400 42.6174
14500 42.5698
14600 42.5449
14700 42.5234
14800 42.5064
14900 42.493
15000 42.4725
15100 42.4485
15200 42.4297
15300 42.4096
15400 42.4021
15500 42.4041
15600 42.4069
15700 42.4133
15800 42.4159
15900 42.4019
16000 42.3918
16100 42.388
16200 42.3958
16300 42.4135
16400 42.4316
16500 42.4488
16600 42.4673
16700 42.4855
16800 42.5053
16900 42.5288
17000 42.5391
17100 42.5412
17200 42.554
17300 42.5773
17400 42.6057
17500 42.623
17600 42.6363
17700 42.6572
17800 42.6897
17900 42.7164
18000 42.7399
18100 42.7712
18200 42.8008
18300 42.832
18400 42.8582
18500 42.8716
18600 42.8849
18700 42.9031
18800 42.9267
18900 42.9523
19000 42.9736
19100 42.9999
19200 43.0102
19300 43.0078
19400 43.0013
19500 42.997
19600 43.007
19700 43.0081
19800 42.9909
19900 42.967
20000 42.9475
