# Time-averaged data for fix at1
# TimeStep v_strain
8000 0.184426
10000 0.367934
12000 0.551442
14000 0.734951
16000 0.918459
18000 1.10197
20000 1.28548
22000 1.46898
24000 1.65249
26000 1.836
28000 2.01951
30000 2.20302
32000 2.38652
34000 2.57003
36000 2.75354
38000 2.93705
40000 3.12056
42000 3.30407
44000 3.48757
46000 3.67108
48000 3.85459
50000 4.0381
52000 4.22161
54000 4.40512
56000 4.58862
58000 4.77213
60000 4.95564
62000 5.13915
64000 5.32266
66000 5.50616
68000 5.68967
70000 5.87318
72000 6.05669
74000 6.2402
76000 6.42371
78000 6.60721
80000 6.79072
82000 6.97423
84000 7.15774
86000 7.34125
88000 7.52476
90000 7.70826
92000 7.89177
94000 8.07528
96000 8.25879
98000 8.4423
100000 8.62581
102000 8.80931
104000 8.99282
106000 9.17633
108000 9.35984
110000 9.54335
112000 9.72685
114000 9.91036
116000 10.0939
118000 10.2774
120000 10.4609
122000 10.6444
124000 10.8279
126000 11.0114
128000 11.1949
130000 11.3784
132000 11.5619
134000 11.7454
136000 11.929
138000 12.1125
140000 12.296
142000 12.4795
144000 12.663
146000 12.8465
148000 13.03
150000 13.2135
152000 13.397
154000 13.5805
156000 13.764
158000 13.9475
160000 14.1311
162000 14.3146
164000 14.4981
166000 14.6816
168000 14.8651
170000 15.0486
172000 15.2321
174000 15.4156
176000 15.5991
178000 15.7826
180000 15.9661
182000 16.1496
184000 16.3332
186000 16.5167
188000 16.7002
190000 16.8837
192000 17.0672
194000 17.2507
196000 17.4342
198000 17.6177
200000 17.8012
202000 17.9847
204000 18.1682
206000 18.3517
208000 18.5353
210000 18.7188
212000 18.9023
214000 19.0858
216000 19.2693
218000 19.4528
220000 19.6363
222000 19.8198
224000 20.0033
226000 20.1868
228000 20.3703
230000 20.5538
232000 20.7373
234000 20.9209
236000 21.1044
238000 21.2879
240000 21.4714
242000 21.6549
244000 21.8384
246000 22.0219
248000 22.2054
250000 22.3889
252000 22.5724
254000 22.7559
256000 22.9394
258000 23.123
260000 23.3065
262000 23.49
264000 23.6735
266000 23.857
268000 24.0405
270000 24.224
272000 24.4075
274000 24.591
276000 24.7745
278000 24.958
280000 25.1415
282000 25.3251
284000 25.5086
286000 25.6921
288000 25.8756
290000 26.0591
292000 26.2426
294000 26.4261
296000 26.6096
298000 26.7931
300000 26.9766
302000 27.1601
304000 27.3436
306000 27.5272
308000 27.7107
310000 27.8942
312000 28.0777
314000 28.2612
316000 28.4447
318000 28.6282
320000 28.8117
322000 28.9952
324000 29.1787
326000 29.3622
328000 29.5457
330000 29.7293
332000 29.9128
334000 30.0963
336000 30.2798
338000 30.4633
340000 30.6468
342000 30.8303
344000 31.0138
346000 31.1973
348000 31.3808
350000 31.5643
352000 31.7478
354000 31.9314
356000 32.1149
358000 32.2984
360000 32.4819
362000 32.6654
364000 32.8489
366000 33.0324
368000 33.2159
370000 33.3994
372000 33.5829
374000 33.7664
376000 33.9499
378000 34.1335
380000 34.317
382000 34.5005
384000 34.684
386000 34.8675
388000 35.051
390000 35.2345
392000 35.418
394000 35.6015
396000 35.785
398000 35.9685
