# Time-averaged data for fix at2
# TimeStep f_mysf1[3] f_mysf2[3]
100 -62.6792 65.454
200 -73.5118 40.5037
300 -14.1747 59.9959
400 -78.4066 74.7844
500 -50.0585 51.4659
600 -50.2181 51.4017
700 -120.635 67.544
800 2.97359 31.2505
900 -63.8666 66.3678
1000 -96.0929 113.694
1100 -17.3415 8.24996
1200 -59.2533 67.3688
1300 -109.131 62.1382
1400 -19.7637 50.3381
1500 -59.7219 62.6377
1600 -61.8386 88.8562
1700 -41.0659 39.3125
1800 -89.1119 56.3082
1900 -76.3477 66.1262
2000 -32.6984 17.3058
2100 -76.2127 89.6176
2200 -40.5599 98.4373
2300 -55.3118 24.8991
2400 -45.7573 51.4537
2500 -118.968 78.6958
2600 -16.8916 30.4206
2700 -57.8458 69.9492
2800 -60.42 91.6411
2900 -72.8818 18.6725
3000 -46.9187 65.2311
3100 -78.2307 60.4753
3200 -19.1448 54.0772
3300 -61.9773 85.9973
3400 -90.0586 74.2945
3500 -31.282 0.696685
3600 -86.4469 63.0823
3700 -86.0602 71.7048
3800 -33.7338 57.4728
3900 -16.1822 75.8111
4000 -70.9935 80.4781
4100 -62.8121 49.5136
4200 -79.64 37.7579
4300 -99.2618 58.7555
4400 -17.9898 47.3104
4500 -42.9481 79.1386
4600 -88.0025 99.8983
4700 -14.6805 13.7497
4800 -86.1321 50.8173
4900 -86.5656 91.8068
5000 -29.8809 31.4373
5100 -86.3827 106.859
5200 -116.761 106.255
5300 -75.864 73.0647
5400 -204.795 154.417
5500 -136.547 190.859
5600 -158.915 142.238
5700 -214.013 270.347
5800 -248.598 224.291
5900 -256.71 195.986
6000 -283.88 292.883
6100 -324.346 339.898
6200 -272.842 284.243
6300 -347.192 382.344
6400 -392.964 385.845
6500 -380.934 348.252
6600 -434.933 424.235
6700 -459.753 449.9
6800 -414.838 442.242
6900 -491.048 490.766
7000 -523.243 538.627
7100 -517.357 467.955
7200 -542.073 571.992
7300 -605.055 600.177
7400 -558.413 570.381
7500 -609.77 625.149
7600 -683.231 669.413
7700 -643.247 615.352
7800 -686.174 688.537
7900 -735.414 745.339
8000 -683.568 713.613
8100 -746.356 762.265
8200 -819.634 780.949
8300 -783.657 761.57
8400 -819.999 811.947
8500 -846 890.295
8600 -828.111 842.881
8700 -872.781 890.527
8800 -980.485 916.437
8900 -883.632 890.495
9000 -973.883 939.475
9100 -976.085 1035.1
9200 -975.734 980.224
9300 -985.244 1008.18
9400 -1099.45 1057.05
9500 -1080.49 1052.13
9600 -1056.15 1043.79
9700 -1121.27 1174.96
9800 -1099.64 1139.04
9900 -1147.13 1117.82
10000 -1216.45 1212.96
10100 -1203.07 1136.11
10200 -1197.09 1224.01
10300 -1276.3 1291.91
10400 -1215.85 1263.84
10500 -1282.51 1250.65
10600 -1340.77 1357.29
10700 -1348.07 1264.48
10800 -1305.89 1369.93
10900 -1415.51 1391.7
11000 -1371.93 1422.35
11100 -1394.31 1370.26
11200 -1476.15 1482.15
11300 -1485.77 1436.74
11400 -1440.94 1482.45
11500 -1546.53 1540.98
11600 -1502.97 1530.57
11700 -1535.11 1522.48
11800 -1625.03 1598.18
11900 -1614.57 1583.75
12000 -1562.81 1604.43
12100 -1662.97 1692.41
12200 -1685.69 1667.35
12300 -1634.17 1651.5
12400 -1787.11 1718.23
12500 -1719.15 1735.87
12600 -1713.29 1714.14
12700 -1798.17 1845.7
12800 -1787.56 1784.95
12900 -1803.26 1810.82
13000 -1896.87 1837.63
13100 -1855 1869.19
13200 -1872.42 1856.66
13300 -1904.72 1963.41
13400 -1941.47 1931.77
13500 -1931.62 1927.5
13600 -2007.3 1978.02
13700 -2022.72 2017.54
13800 -1976.68 1988.99
13900 -2059.77 2084.07
14000 -2078.88 2069.23
14100 -2065.2 2055.97
14200 -2150.58 2140.45
14300 -2127.26 2129.04
14400 -2111.4 2130.75
14500 -2207.5 2224.65
14600 -2220.01 2198.57
14700 -2208.5 2185.75
14800 -2252.61 2254.21
14900 -2284.09 2292.34
15000 -2268.76 2285.43
