# Time-averaged data for fix at3
# TimeStep c_Tmid
100 241.257
200 257.553
300 273.152
400 285.096
500 294.917
600 292.017
700 299.053
800 301.356
900 296.756
1000 298.231
1100 297.654
1200 300.841
1300 301.734
1400 298.755
1500 299.527
1600 299.297
1700 302.135
1800 303.178
1900 295.733
2000 296.134
2100 302.363
2200 301.439
2300 301.773
2400 300.329
2500 298.964
2600 297.538
2700 302.76
2800 298.669
2900 299.324
3000 300.784
3100 300.381
3200 296.68
3300 302.026
3400 300.565
3500 299.01
3600 298.396
3700 299.185
3800 299.232
3900 301.843
4000 300.104
4100 298.465
4200 301.786
4300 297.485
4400 301.006
4500 299.944
4600 299.892
4700 297.493
4800 299.958
4900 301.777
5000 298.003
5100 299.823
5200 299.635
5300 300.38
5400 302.367
5500 301.418
5600 297.991
5700 300.281
5800 302.089
5900 300.918
6000 298.628
6100 302.648
6200 302.044
6300 302.811
6400 298.344
6500 303.618
6600 300.828
6700 300.876
6800 298.048
6900 301.842
7000 300.809
7100 299.732
7200 297.032
7300 301.547
7400 300.443
7500 300.989
7600 302.29
7700 297.784
7800 299.293
7900 301.409
8000 299.443
8100 302.705
8200 300.147
8300 300.093
8400 299.313
8500 301.542
8600 298.883
8700 301.208
8800 304.334
8900 298.865
9000 297.675
9100 295.524
9200 304.324
9300 296.086
9400 299.654
9500 301.086
9600 300.774
9700 301.191
9800 297.649
9900 300.165
10000 300.565
10100 303.33
10200 300.971
10300 299.926
10400 300.269
10500 300.476
10600 303.641
10700 300.417
10800 302.004
10900 299.013
11000 302.673
11100 301.072
11200 301.052
11300 303.973
11400 299.938
11500 300.034
11600 300.438
11700 300.782
11800 301.1
11900 300.025
12000 299.292
12100 301.567
12200 304.716
12300 295.419
12400 300.912
12500 302.679
12600 299.435
12700 300.792
12800 303.121
12900 298.882
13000 298.297
13100 304.109
13200 300.702
13300 296.236
13400 298.809
13500 296.603
13600 295.889
13700 301.899
13800 301.883
13900 300.509
14000 298.579
14100 297.245
14200 301.507
14300 302.906
14400 299.874
14500 297.95
14600 299.348
14700 300.94
14800 299.102
14900 303.169
15000 299.157
