# Time-averaged data for fix myat3
# TimeStep c_sumcoor12
2000 0.00792863
4000 0.0131723
6000 0.014678
8000 0.0169887
10000 0.0174369
12000 0.0233899
14000 0.0245997
16000 0.0218799
18000 0.020074
20000 0.0171149
22000 0.0181114
24000 0.0190862
26000 0.0228024
28000 0.0232942
30000 0.020631
32000 0.0202916
34000 0.0224413
36000 0.0245431
38000 0.0258616
40000 0.0284117
42000 0.02755
44000 0.0285727
46000 0.0298651
48000 0.0291819
50000 0.0299739
52000 0.0283681
54000 0.0306701
56000 0.0281332
58000 0.0337728
60000 0.0314839
62000 0.0266406
64000 0.0302002
66000 0.0331506
68000 0.0318407
70000 0.0338077
72000 0.029295
74000 0.0274021
76000 0.0293342
78000 0.0302263
80000 0.0332985
82000 0.0348695
84000 0.0343821
86000 0.0366406
88000 0.0352306
90000 0.0346823
92000 0.0313142
94000 0.0351741
96000 0.0318625
98000 0.0362663
100000 0.0313316
102000 0.0315361
104000 0.034839
106000 0.0326066
108000 0.0345518
110000 0.0363142
112000 0.0342689
114000 0.0329678
116000 0.0321366
118000 0.0304787
120000 0.0355265
122000 0.0399217
124000 0.0353177
126000 0.0329721
128000 0.0359312
130000 0.0331158
132000 0.0347563
134000 0.0353612
136000 0.0361619
138000 0.0386031
140000 0.037698
142000 0.0395692
144000 0.0386249
146000 0.0354917
148000 0.0344125
150000 0.0343299
152000 0.0356658
154000 0.0318059
156000 0.0321192
158000 0.033725
160000 0.0320975
162000 0.0335422
164000 0.031745
166000 0.0336249
168000 0.0313098
170000 0.0327763
172000 0.0363403
174000 0.0322498
176000 0.0336292
178000 0.0363795
180000 0.0333507
182000 0.0365231
184000 0.0315622
186000 0.033725
188000 0.0349565
190000 0.0352045
192000 0.0367929
194000 0.0351131
196000 0.0331375
198000 0.0360444
200000 0.0329112
202000 0.0363577
204000 0.0364839
206000 0.03349
208000 0.0396823
210000 0.0363098
212000 0.032624
214000 0.0347694
216000 0.0361097
218000 0.0332507
220000 0.035718
222000 0.0353568
224000 0.0362446
226000 0.0329417
228000 0.0396736
230000 0.0406919
232000 0.0370627
234000 0.0403916
236000 0.0373934
238000 0.0346867
240000 0.0370148
242000 0.038738
244000 0.0369626
246000 0.0371671
248000 0.033094
250000 0.0363534
252000 0.0306571
254000 0.0284465
256000 0.0310748
258000 0.0312228
260000 0.0324282
262000 0.037389
264000 0.0401349
266000 0.0416884
268000 0.0336684
270000 0.0345213
272000 0.0338468
274000 0.0387467
276000 0.0355178
278000 0.0331984
280000 0.0312968
282000 0.0329069
284000 0.0371802
286000 0.0367232
288000 0.0345953
290000 0.0346649
292000 0.0356658
294000 0.0327415
296000 0.0383464
298000 0.0349304
300000 0.0366188
