# Time-averaged data for fix myat1
# TimeStep v_number_type1_in
2000 19.365
4000 33.24
6000 37.355
8000 46.965
10000 53.625
12000 58.135
14000 58.43
16000 60.485
18000 64.12
20000 55.18
22000 57.26
24000 67.365
26000 70.14
28000 72.09
30000 76.085
32000 85.915
34000 86.39
36000 87.745
38000 87.765
40000 90.53
42000 96.07
44000 97.995
46000 95.295
48000 102.615
50000 104.82
52000 105.785
54000 106.575
56000 112.16
58000 116.51
60000 125.29
62000 127.955
64000 131.775
66000 135.16
68000 141.86
70000 138.18
72000 138.105
74000 137.765
76000 144.115
78000 144.595
80000 150.12
82000 152.81
84000 149.895
86000 150.325
88000 144.71
90000 137.955
92000 146.92
94000 146.025
96000 157.405
98000 153.69
100000 157.39
102000 157.45
104000 156.19
106000 165.025
108000 163.855
110000 161.75
112000 164.385
114000 158.415
116000 154.49
118000 156.785
120000 157.835
122000 157.87
124000 163.47
126000 163.145
128000 163.125
130000 166.795
132000 169.885
134000 170.64
136000 167.815
138000 161.8
140000 163.51
142000 161.22
144000 161.58
146000 160.885
148000 156.185
150000 153.315
152000 151.17
154000 164.96
156000 168.405
158000 169.695
160000 171.635
162000 174.71
164000 175.505
166000 175.89
168000 176.88
170000 172.405
172000 169.1
174000 159.8
176000 169.38
178000 170.89
180000 175.11
182000 174.275
184000 174.47
186000 170.925
188000 168.585
190000 169.055
192000 162.965
194000 160.37
196000 167.165
198000 167.17
200000 169.57
202000 176.15
204000 171.045
206000 165.97
208000 165.955
210000 166.6
212000 167.43
214000 174.995
216000 174.035
218000 177.94
220000 172.225
222000 174.77
224000 173.86
226000 168.63
228000 165.475
230000 163.13
232000 172.7
234000 180.525
236000 188.32
238000 192.39
240000 187.92
242000 188.345
244000 178.115
246000 174.67
248000 182.435
250000 181.32
252000 183.45
254000 191.895
256000 192.765
258000 186.655
260000 193.66
262000 195.52
264000 198
266000 196.76
268000 195.825
270000 197.745
272000 203.165
274000 197.045
276000 190.49
278000 190.975
280000 190.74
282000 196.12
284000 191.725
286000 186.81
288000 188.09
290000 190.88
292000 191.305
294000 185.645
296000 179.89
298000 193.32
300000 193.585
