# Time-averaged data for fix myat1
# TimeStep v_deltaz
0 28.28
100 28.2688
200 28.2585
300 28.25
400 28.2534
500 28.2757
600 28.3096
700 28.3636
800 28.4359
900 28.504
1000 28.5689
1100 28.6407
1200 28.7253
1300 28.7848
1400 28.8356
1500 28.8833
1600 28.9508
1700 29.0276
1800 29.1047
1900 29.1704
2000 29.2232
2100 29.2823
2200 29.3294
2300 29.3616
2400 29.4018
2500 29.4419
2600 29.4939
2700 29.5438
2800 29.5969
2900 29.635
3000 29.6627
3100 29.6785
3200 29.6912
3300 29.6933
3400 29.6721
3500 29.6419
3600 29.6057
3700 29.5702
3800 29.5409
3900 29.4983
4000 29.4522
4100 29.4141
4200 29.3808
4300 29.3131
4400 29.2193
4500 29.1271
4600 29.0436
4700 28.9607
4800 28.8691
4900 28.7875
5000 28.7317
5100 28.6711
5200 28.61
5300 28.5529
5400 28.4935
5500 28.4667
5600 28.4648
5700 28.4597
5800 28.4624
5900 28.4695
6000 28.4746
6100 28.4916
6200 28.5181
6300 28.5356
6400 28.5731
6500 28.6071
6600 28.6264
6700 28.6317
6800 28.6501
6900 28.6638
7000 28.6772
7100 28.7013
7200 28.7237
7300 28.7354
7400 28.739
7500 28.7569
7600 28.7717
7700 28.7673
7800 28.7579
7900 28.7385
8000 28.7013
8100 28.6543
8200 28.6104
8300 28.577
8400 28.5363
8500 28.5081
8600 28.4857
8700 28.4461
8800 28.4175
8900 28.4006
9000 28.3824
9100 28.3646
9200 28.3623
9300 28.3688
9400 28.3802
9500 28.4018
9600 28.4089
9700 28.4115
9800 28.4179
9900 28.4361
10000 28.4723
10100 28.4912
10200 28.4959
10300 28.5108
10400 28.5181
10500 28.5049
10600 28.4926
10700 28.4745
10800 28.442
10900 28.3885
11000 28.3175
11100 28.2608
11200 28.207
11300 28.1546
11400 28.0785
11500 27.9926
11600 27.9238
11700 27.8963
11800 27.8773
11900 27.8736
12000 27.8646
12100 27.8557
12200 27.8418
12300 27.8227
12400 27.8177
12500 27.8335
12600 27.8595
12700 27.8543
12800 27.8297
12900 27.8274
13000 27.8436
13100 27.8656
13200 27.8905
13300 27.9283
13400 27.9631
13500 27.9773
13600 27.9863
13700 28.0095
13800 28.0283
13900 28.0292
14000 28.03
14100 28.0367
14200 28.0539
14300 28.0474
14400 28.0482
14500 28.0506
14600 28.0572
14700 28.0399
14800 28.0143
14900 27.9957
15000 27.9816
15100 27.9392
15200 27.8724
15300 27.7953
15400 27.7271
15500 27.6818
15600 27.6749
15700 27.6689
15800 27.6333
15900 27.5758
16000 27.4952
16100 27.4255
16200 27.3925
16300 27.3879
16400 27.4193
16500 27.4493
16600 27.454
16700 27.486
16800 27.5209
16900 27.5598
17000 27.6091
17100 27.6505
17200 27.6926
17300 27.7192
17400 27.7322
17500 27.7582
17600 27.7807
17700 27.7923
17800 27.8025
17900 27.8159
18000 27.8265
18100 27.8357
18200 27.8547
18300 27.8916
18400 27.9408
18500 27.9681
18600 27.9955
18700 28.02
18800 28.0387
18900 28.0453
19000 28.0436
19100 28.0516
19200 28.0538
19300 28.0261
19400 28.0208
19500 28.0249
19600 28.0219
19700 28.0401
19800 28.0617
19900 28.0498
20000 28.0036
20100 27.9368
20200 27.8835
20300 27.825
20400 27.7538
20500 27.6712
20600 27.6016
20700 27.5521
20800 27.5108
20900 27.4745
21000 27.4586
21100 27.4542
21200 27.4618
21300 27.4578
21400 27.4606
21500 27.4656
21600 27.461
21700 27.4656
21800 27.4816
21900 27.4978
22000 27.516
22100 27.5356
22200 27.5578
22300 27.5658
22400 27.552
22500 27.5418
22600 27.5477
22700 27.5555
22800 27.5594
22900 27.5815
23000 27.6182
23100 27.6453
23200 27.6795
23300 27.7075
23400 27.7182
23500 27.7225
23600 27.7249
23700 27.7416
23800 27.7661
23900 27.7614
24000 27.7481
24100 27.7426
24200 27.71
24300 27.658
24400 27.5932
24500 27.5344
24600 27.4969
24700 27.4493
24800 27.3989
24900 27.3462
25000 27.2936
25100 27.2431
25200 27.1864
25300 27.1133
25400 27.0159
25500 26.936
25600 26.8757
25700 26.8061
25800 26.7392
25900 26.6936
26000 26.6712
26100 26.6556
26200 26.6418
26300 26.6267
26400 26.6296
26500 26.6536
26600 26.6994
26700 26.7488
26800 26.7766
26900 26.8095
27000 26.8447
27100 26.8796
27200 26.9459
27300 27.0341
27400 27.0994
27500 27.1662
27600 27.2388
27700 27.3136
27800 27.3654
27900 27.4291
28000 27.4957
28100 27.5719
28200 27.6524
28300 27.7186
28400 27.762
28500 27.7904
28600 27.7963
28700 27.7848
28800 27.7847
28900 27.773
29000 27.7637
29100 27.7407
29200 27.7098
29300 27.6743
29400 27.6482
29500 27.6215
29600 27.5999
29700 27.575
29800 27.5395
29900 27.493
30000 27.4735
