# Time-averaged data for fix myat1
# TimeStep f_mysf1[1] f_mysf2[1]
1000 -1.63186 0.514671
2000 -4.33941 0.261632
3000 -0.219323 -0.662736
4000 -2.47635 2.02614
5000 1.82515 0.402145
6000 -0.00155514 2.1582
7000 -3.71919 -1.67826
8000 0.478876 -0.582222
9000 -4.95832 5.25267
10000 -4.33847 2.29135
11000 -0.356715 4.59332
12000 -3.34323 8.30092
13000 0.190385 -2.57465
14000 -9.68613 2.11695
15000 3.45721 2.76569
16000 -7.25214 3.94378
17000 0.448978 2.02408
18000 -1.8216 3.41964
19000 -4.94191 1.97636
20000 -5.51233 5.45441
21000 -1.09704 2.13963
22000 -11.3113 4.27989
23000 1.1453 1.37968
24000 -2.84648 4.79783
25000 -1.25815 7.67569
26000 -2.22709 6.38482
27000 -7.34293 2.40611
28000 -2.22229 2.78356
29000 -3.4316 -2.80757
30000 2.11972 0.149224
31000 -1.0416 -1.76432
32000 -0.195662 3.37083
33000 3.13706 3.8447
34000 -11.1639 4.34262
35000 2.11626 -0.978677
36000 -0.660152 3.7157
37000 1.13391 -5.19964
38000 -1.36332 6.20597
39000 -2.47197 -3.88038
40000 -5.69178 7.32449
41000 2.64212 2.5328
42000 -1.82202 0.470855
43000 -7.56594 0.202413
44000 0.91016 0.948135
45000 -2.72549 7.58933
46000 -10.286 4.25503
47000 -3.89634 2.05437
48000 0.209403 3.91132
49000 -2.72169 4.29338
50000 -7.3123 -3.20807
51000 2.91924 1.02246
52000 1.0149 6.83549
53000 4.84798 1.47767
54000 -8.15681 -1.62694
55000 -0.885147 2.02739
56000 0.896516 0.85408
57000 -5.08655 6.09752
58000 -3.72938 3.72403
59000 -8.23514 2.22315
60000 -0.368148 4.52061
61000 -0.536427 2.50837
62000 -7.75306 5.74466
63000 -3.58326 1.82074
64000 -5.02645 -1.26479
65000 4.05464 7.20719
66000 -9.00507 8.49422
67000 -7.29579 4.81459
68000 -5.14282 2.70257
69000 -4.41073 -0.637729
70000 -1.24951 6.24575
