# Chunk-averaged data for fix myac5 and group wall
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 404 432
  1 -20.15 0 0 0
  2 -20.05 0 0 0
  3 -19.95 0 0 0
  4 -19.85 0 0 0
  5 -19.75 0 0 0
  6 -19.65 0 0 0
  7 -19.55 0 0 0
  8 -19.45 0 0 0
  9 -19.35 0 0 0
  10 -19.25 0 0 0
  11 -19.15 0 0 0
  12 -19.05 0 0 0
  13 -18.95 0 0 0
  14 -18.85 0 0 0
  15 -18.75 0 0 0
  16 -18.65 0 0 0
  17 -18.55 0 0 0
  18 -18.45 0 0 0
  19 -18.35 0 0 0
  20 -18.25 0 0 0
  21 -18.15 0 0 0
  22 -18.05 0 0 0
  23 -17.95 0 0 0
  24 -17.85 0 0 0
  25 -17.75 0 0 0
  26 -17.65 0 0 0
  27 -17.55 0 0 0
  28 -17.45 0 0 0
  29 -17.35 0 0 0
  30 -17.25 0 0 0
  31 -17.15 0 0 0
  32 -17.05 0 0 0
  33 -16.95 0 0 0
  34 -16.85 0 0 0
  35 -16.75 0 0 0
  36 -16.65 0 0 0
  37 -16.55 0 0 0
  38 -16.45 0 0 0
  39 -16.35 0 0 0
  40 -16.25 0 0 0
  41 -16.15 0.0002 0.000152504 -0.0002
  42 -16.05 0.0211333 0.0161145 -0.0002
  43 -15.95 0.388133 0.295959 -0.0002
  44 -15.85 2.84213 2.16718 -0.0002
  45 -15.75 8.95373 6.82738 -0.0002
  46 -15.65 16.0015 12.2014 -0.0002
  47 -15.55 20.3171 15.4922 -0.0002
  48 -15.45 15.7631 12.0197 -0.0002
  49 -15.35 6.4152 4.8917 -0.0002
  50 -15.25 1.20707 0.92041 -0.0002
  51 -15.15 0.0888667 0.0677624 -0.0002
  52 -15.05 0.0018 0.00137253 -0.0002
  53 -14.95 0 0 0
  54 -14.85 0 0 0
  55 -14.75 0 0 0
  56 -14.65 0 0 0
  57 -14.55 0 0 0
  58 -14.45 0 0 0
  59 -14.35 0 0 0
  60 -14.25 0 0 0
  61 -14.15 0 0 0
  62 -14.05 0.000533333 0.000406676 -0.0002
  63 -13.95 0.128867 0.0982631 -0.0002
  64 -13.85 1.7504 1.33471 -0.0002
  65 -13.75 7.2776 5.5493 -0.0002
  66 -13.65 14.6323 11.1574 -0.0002
  67 -13.55 20.5101 15.6393 -0.0002
  68 -13.45 17.9615 13.6959 -0.0002
  69 -13.35 8.04853 6.13715 -0.0002
  70 -13.25 1.56847 1.19598 -0.0002
  71 -13.15 0.1184 0.0902821 -0.0002
  72 -13.05 0.00326667 0.00249089 -0.0002
  73 -12.95 0 0 0
  74 -12.85 0 0 0
  75 -12.75 0 0 0
  76 -12.65 0 0 0
  77 -12.55 0 0 0
  78 -12.45 0 0 0
  79 -12.35 0 0 0
  80 -12.25 0 0 0
  81 -12.15 0 0 0
  82 -12.05 0.0022 0.00167754 -0.0002
  83 -11.95 0.105 0.0800644 -0.0002
  84 -11.85 1.37527 1.04867 -0.0002
  85 -11.75 5.97133 4.55325 -0.0002
  86 -11.65 13.0505 9.95126 -0.0002
  87 -11.55 19.3313 14.7405 -0.0002
  88 -11.45 18.8504 14.3738 -0.0002
  89 -11.35 10.2364 7.80544 -0.0002
  90 -11.25 2.74153 2.09047 -0.0002
  91 -11.15 0.322867 0.246192 -0.0002
  92 -11.05 0.013 0.00991273 -0.0002
  93 -10.95 0.000133333 0.000101669 -0.0002
  94 -10.85 0 0 0
  95 -10.75 0 0 0
  96 -10.65 0 0 0
  97 -10.55 0 0 0
  98 -10.45 0 0 0
  99 -10.35 0 0 0
  100 -10.25 0 0 0
  101 -10.15 0 0 0
  102 -10.05 0 0 0
  103 -9.95 0 0 0
  104 -9.85 0 0 0
  105 -9.75 0 0 0
  106 -9.65 0 0 0
  107 -9.55 0 0 0
  108 -9.45 0 0 0
  109 -9.35 0 0 0
  110 -9.25 0 0 0
  111 -9.15 0 0 0
  112 -9.05 0 0 0
  113 -8.95 0 0 0
  114 -8.85 0 0 0
  115 -8.75 0 0 0
  116 -8.65 0 0 0
  117 -8.55 0 0 0
  118 -8.45 0 0 0
  119 -8.35 0 0 0
  120 -8.25 0 0 0
  121 -8.15 0 0 0
  122 -8.05 0 0 0
  123 -7.95 0 0 0
  124 -7.85 0 0 0
  125 -7.75 0 0 0
  126 -7.65 0 0 0
  127 -7.55 0 0 0
  128 -7.45 0 0 0
  129 -7.35 0 0 0
  130 -7.25 0 0 0
  131 -7.15 0 0 0
  132 -7.05 0 0 0
  133 -6.95 0 0 0
  134 -6.85 0 0 0
  135 -6.75 0 0 0
  136 -6.65 0 0 0
  137 -6.55 0 0 0
  138 -6.45 0 0 0
  139 -6.35 0 0 0
  140 -6.25 0 0 0
  141 -6.15 0 0 0
  142 -6.05 0 0 0
  143 -5.95 0 0 0
  144 -5.85 0 0 0
  145 -5.75 0 0 0
  146 -5.65 0 0 0
  147 -5.55 0 0 0
  148 -5.45 0 0 0
  149 -5.35 0 0 0
  150 -5.25 0 0 0
  151 -5.15 0 0 0
  152 -5.05 0 0 0
  153 -4.95 0 0 0
  154 -4.85 0 0 0
  155 -4.75 0 0 0
  156 -4.65 0 0 0
  157 -4.55 0 0 0
  158 -4.45 0 0 0
  159 -4.35 0 0 0
  160 -4.25 0 0 0
  161 -4.15 0 0 0
  162 -4.05 0 0 0
  163 -3.95 0 0 0
  164 -3.85 0 0 0
  165 -3.75 0 0 0
  166 -3.65 0 0 0
  167 -3.55 0 0 0
  168 -3.45 0 0 0
  169 -3.35 0 0 0
  170 -3.25 0 0 0
  171 -3.15 0 0 0
  172 -3.05 0 0 0
  173 -2.95 0 0 0
  174 -2.85 0 0 0
  175 -2.75 0 0 0
  176 -2.65 0 0 0
  177 -2.55 0 0 0
  178 -2.45 0 0 0
  179 -2.35 0 0 0
  180 -2.25 0 0 0
  181 -2.15 0 0 0
  182 -2.05 0 0 0
  183 -1.95 0 0 0
  184 -1.85 0 0 0
  185 -1.75 0 0 0
  186 -1.65 0 0 0
  187 -1.55 0 0 0
  188 -1.45 0 0 0
  189 -1.35 0 0 0
  190 -1.25 0 0 0
  191 -1.15 0 0 0
  192 -1.05 0 0 0
  193 -0.95 0 0 0
  194 -0.85 0 0 0
  195 -0.75 0 0 0
  196 -0.65 0 0 0
  197 -0.55 0 0 0
  198 -0.45 0 0 0
  199 -0.35 0 0 0
  200 -0.25 0 0 0
  201 -0.15 0 0 0
  202 -0.05 0 0 0
  203 0.05 0 0 0
  204 0.15 0 0 0
  205 0.25 0 0 0
  206 0.35 0 0 0
  207 0.45 0 0 0
  208 0.55 0 0 0
  209 0.65 0 0 0
  210 0.75 0 0 0
  211 0.85 0 0 0
  212 0.95 0 0 0
  213 1.05 0 0 0
  214 1.15 0 0 0
  215 1.25 0 0 0
  216 1.35 0 0 0
  217 1.45 0 0 0
  218 1.55 0 0 0
  219 1.65 0 0 0
  220 1.75 0 0 0
  221 1.85 0 0 0
  222 1.95 0 0 0
  223 2.05 0 0 0
  224 2.15 0 0 0
  225 2.25 0 0 0
  226 2.35 0 0 0
  227 2.45 0 0 0
  228 2.55 0 0 0
  229 2.65 0 0 0
  230 2.75 0 0 0
  231 2.85 0 0 0
  232 2.95 0 0 0
  233 3.05 0 0 0
  234 3.15 0 0 0
  235 3.25 0 0 0
  236 3.35 0 0 0
  237 3.45 0 0 0
  238 3.55 0 0 0
  239 3.65 0 0 0
  240 3.75 0 0 0
  241 3.85 0 0 0
  242 3.95 0 0 0
  243 4.05 0 0 0
  244 4.15 0 0 0
  245 4.25 0 0 0
  246 4.35 0 0 0
  247 4.45 0 0 0
  248 4.55 0 0 0
  249 4.65 0 0 0
  250 4.75 0 0 0
  251 4.85 0 0 0
  252 4.95 0 0 0
  253 5.05 0 0 0
  254 5.15 0 0 0
  255 5.25 0 0 0
  256 5.35 0 0 0
  257 5.45 0 0 0
  258 5.55 0 0 0
  259 5.65 0 0 0
  260 5.75 0 0 0
  261 5.85 0 0 0
  262 5.95 0 0 0
  263 6.05 0 0 0
  264 6.15 0 0 0
  265 6.25 0 0 0
  266 6.35 0 0 0
  267 6.45 0 0 0
  268 6.55 0 0 0
