# Chunk-averaged data for fix myac2 and group wall
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 42 432.00000000000006
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0.0213333 0.0016267 -0.0002
  6 -15.5 71.9787 5.4885 -0.0002
  7 -14.5 0.000533333 4.06676e-05 -0.0002
  8 -13.5 71.9995 5.49009 -0.0002
  9 -12.5 0.0022 0.000167754 -0.0002
  10 -11.5 71.9977 5.48995 -0.0002
  11 -10.5 0.000133333 1.01669e-05 -0.0002
  12 -9.5 0 0 0
  13 -8.5 0 0 0
  14 -7.5 0 0 0
  15 -6.5 0 0 0
  16 -5.5 0 0 0
  17 -4.5 0 0 0
  18 -3.5 0 0 0
  19 -2.5 0 0 0
  20 -1.5 0 0 0
  21 -0.5 0 0 0
  22 0.5 0 0 0
  23 1.5 0 0 0
  24 2.5 0 0 0
  25 3.5 0 0 0
  26 4.5 0 0 0
  27 5.5 0 0 0
  28 6.5 0 0 0
  29 7.5 0 0 0
  30 8.5 0 0 0
  31 9.5 0 0 0
  32 10.5 0.003 0.000228755 0.0002
  33 11.5 71.997 5.4899 0.0002
  34 12.5 0.000266667 2.03338e-05 0.0002
  35 13.5 71.9997 5.49011 0.0002
  36 14.5 0.0004 3.05007e-05 0.0002
  37 15.5 71.9991 5.49006 0.0002
  38 16.5 0.000466667 3.55842e-05 0.0002
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
