# Chunk-averaged data for fix myac1 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 42 1185.0000000000002
  1 -20.5 0 0 0
  2 -19.5 0 0 0
  3 -18.5 0 0 0
  4 -17.5 0 0 0
  5 -16.5 0 0 0
  6 -15.5 0 0 0
  7 -14.5 0 0 0
  8 -13.5 0 0 0
  9 -12.5 0 0 0
  10 -11.5 0 0 0
  11 -10.5 1.25347 0.00357073 -0.000208912
  12 -9.5 47.9551 0.724367 -0.000170773
  13 -8.5 95.9115 1.79422 -0.00016575
  14 -7.5 37.4107 0.445097 -0.000163128
  15 -6.5 61.3843 1.12606 -0.000143287
  16 -5.5 71.4632 1.25145 -0.000123228
  17 -4.5 51.0195 0.843996 -8.46732e-05
  18 -3.5 58.4487 1.0039 -8.21828e-05
  19 -2.5 61.3125 1.03641 -6.13e-05
  20 -1.5 57.0663 0.95762 -1.3205e-05
  21 -0.5 58.6198 1.00419 2.74476e-05
  22 0.5 57.5213 0.983661 3.55489e-05
  23 1.5 57.5011 0.975384 7.74195e-05
  24 2.5 61.1411 1.05374 0.000116381
  25 3.5 58.0545 1.013 0.000116045
  26 4.5 52.4877 0.855578 0.000153594
  27 5.5 72.6021 1.27249 0.000177293
  28 6.5 54.3843 0.955312 0.000184486
  29 7.5 33.6236 0.422878 0.000205272
  30 8.5 97.1299 1.83734 0.000193877
  31 9.5 37.7732 0.547665 0.000177579
  32 10.5 0.936133 0.00266675 0.000122132
  33 11.5 0 0 0
  34 12.5 0 0 0
  35 13.5 0 0 0
  36 14.5 0 0 0
  37 15.5 0 0 0
  38 16.5 0 0 0
  39 17.5 0 0 0
  40 18.5 0 0 0
  41 19.5 0 0 0
  42 20.5 0 0 0
