# Time-averaged data for fix myat1
# TimeStep v_vcm_fluid
1000 0.000628736
2000 0.00132594
3000 0.0018764
4000 0.00247131
5000 0.00340739
6000 0.00433034
7000 0.00517048
8000 0.00586233
9000 0.00652041
10000 0.00707229
11000 0.00782015
12000 0.00849999
13000 0.00912394
14000 0.00980441
15000 0.0105019
16000 0.0110531
17000 0.011737
18000 0.0123786
19000 0.0131835
20000 0.0139677
21000 0.0147972
22000 0.0155922
23000 0.0165178
24000 0.017543
25000 0.0184997
26000 0.0194466
27000 0.0204139
28000 0.0213203
29000 0.0222999
30000 0.0234319
31000 0.0245526
32000 0.025655
33000 0.026736
34000 0.027877
35000 0.0290609
36000 0.0301645
37000 0.0313036
38000 0.0324242
39000 0.0335922
40000 0.0347776
41000 0.0359813
42000 0.0372393
43000 0.0385436
44000 0.0399192
45000 0.0412289
46000 0.0425721
47000 0.0440027
48000 0.0454555
49000 0.0467858
50000 0.0481808
51000 0.0496018
52000 0.0510931
53000 0.0525533
54000 0.0540057
55000 0.0554867
56000 0.0570072
57000 0.0585381
58000 0.0599902
59000 0.0614469
60000 0.0629502
61000 0.0645206
62000 0.0661514
63000 0.0678049
64000 0.0694492
65000 0.0710692
66000 0.0727186
67000 0.0743719
68000 0.0760393
69000 0.0777126
70000 0.0793432
71000 0.0809597
72000 0.0825254
73000 0.0840744
74000 0.0855648
75000 0.0870299
76000 0.088416
77000 0.089702
78000 0.0910052
79000 0.0923044
80000 0.0934728
81000 0.0946274
82000 0.0958271
83000 0.0971069
84000 0.0983172
85000 0.099419
86000 0.100711
87000 0.101952
88000 0.103196
89000 0.104479
90000 0.105728
91000 0.107008
92000 0.108296
93000 0.109564
94000 0.110895
95000 0.112136
96000 0.113307
97000 0.114668
98000 0.115931
99000 0.117237
100000 0.118494
101000 0.119829
102000 0.121161
103000 0.122483
104000 0.123846
105000 0.125141
106000 0.126396
107000 0.127685
108000 0.128997
109000 0.13029
110000 0.131677
111000 0.133038
112000 0.134464
113000 0.135835
114000 0.137226
115000 0.138686
116000 0.140048
117000 0.14143
118000 0.14277
119000 0.144214
120000 0.145654
121000 0.147065
122000 0.148413
123000 0.149801
124000 0.1512
125000 0.15258
126000 0.153985
127000 0.155373
128000 0.156755
129000 0.158121
130000 0.159557
131000 0.160977
132000 0.162356
133000 0.16383
134000 0.165301
135000 0.166736
136000 0.168169
