# Time-averaged data for fix myat2
# TimeStep Number-of-rows
# Row c_myRDF_PEG_H2O[1] c_myRDF_PEG_H2O[2] c_myRDF_PEG_H2O[3] c_myRDF_PEG_H2O[4] c_myRDF_PEG_H2O[5]
100000 200
1 0.025 0 0 0 0
2 0.075 0 0 0 0
3 0.125 0 0 0 0
4 0.175 0 0 0 0
5 0.225 0 0 0 0
6 0.275 0 0 0 0
7 0.325 0 0 0 0
8 0.375 0 0 0 0
9 0.425 0 0 0 0
10 0.475 0 0 0 0
11 0.525 0 0 0 0
12 0.575 0 0 0 0
13 0.625 0 0 0 0
14 0.675 0 0 0 0
15 0.725 0 0 0 0
16 0.775 0 0 0 0
17 0.825 0 0 0 0
18 0.875 0 0 0 0
19 0.925 0 0 0 0
20 0.975 0 0 0 0
21 1.025 0 0 0 0
22 1.075 0 0 0 0
23 1.125 0 0 0 0
24 1.175 0 0 0 0
25 1.225 0 0 0 0
26 1.275 0 0 0 0
27 1.325 0 0 0 0
28 1.375 0 0 0 0
29 1.425 0 0 0 0
30 1.475 0 0 0 0
31 1.525 0 0 0 0
32 1.575 0 0 0 0
33 1.625 0 0 0 0
34 1.675 0 0 0 0
35 1.725 0 0 0 0
36 1.775 0 0 0 0
37 1.825 0 0 0 0
38 1.875 0 0 0 0
39 1.925 0 0 0 0
40 1.975 0 0 0 0
41 2.025 0 0 0 0
42 2.075 0 0 0 0
43 2.125 0 0 0 0
44 2.175 0 0 0 0
45 2.225 0 0 0 0
46 2.275 0 0 0 0
47 2.325 0 0 0 0
48 2.375 0 0 0 0
49 2.425 0 0 0 0
50 2.475 0 0 0 0
51 2.525 0 0 0 0
52 2.575 0.00212612 0.000211538 0 0
53 2.625 0.00688166 0.000923077 0 0
54 2.675 0.0247162 0.00357692 0 0
55 2.725 0.0619602 0.0104808 0 0
56 2.775 0.114003 0.0236538 0 0
57 2.825 0.160749 0.0429038 8.02944e-05 9.61538e-06
58 2.875 0.22498 0.0708077 0.000232578 3.84615e-05
59 2.925 0.271581 0.105673 0.000149796 5.76923e-05
60 2.975 0.332759 0.149865 0.00159284 0.000269231
61 3.025 0.370029 0.200673 0.00525211 0.000990385
62 3.075 0.389945 0.256 0.0156547 0.00321154
63 3.125 0.405258 0.315385 0.0287408 0.00742308
64 3.175 0.400223 0.375923 0.0565753 0.0159808
65 3.225 0.447057 0.445692 0.0925412 0.0304231
66 3.275 0.456453 0.519154 0.14769 0.0541923
67 3.325 0.444915 0.592962 0.221646 0.0909615
68 3.375 0.479536 0.674923 0.315153 0.144827
69 3.425 0.492077 0.761538 0.40522 0.216154
70 3.475 0.504764 0.853 0.497335 0.306269
71 3.525 0.503336 0.946846 0.597195 0.417615
72 3.575 0.505901 1.04387 0.692818 0.550481
73 3.625 0.492529 1.14098 0.778342 0.703952
74 3.675 0.521352 1.24663 0.863352 0.878913
75 3.725 0.538854 1.35883 0.936344 1.07387
76 3.775 0.552913 1.47706 0.982033 1.28386
77 3.825 0.565445 1.60119 1.01136 1.50588
78 3.875 0.582698 1.73248 1.04731 1.74186
79 3.925 0.622355 1.87635 1.05304 1.98528
80 3.975 0.632752 2.02637 1.06808 2.23851
81 4.025 0.663329 2.18762 1.07478 2.49978
82 4.075 0.681187 2.35735 1.0464 2.76051
83 4.125 0.712828 2.53935 1.04586 3.02754
84 4.175 0.759825 2.73808 1.0543 3.30329
85 4.225 0.785744 2.94854 1.05487 3.58584
86 4.275 0.817823 3.17281 1.01102 3.86309
87 4.325 0.857124 3.41338 1.01885 4.14906
88 4.375 0.874806 3.66463 1.01887 4.44168
89 4.425 0.901359 3.92946 1.00514 4.737
90 4.475 0.954224 4.21619 1.00066 5.03768
91 4.525 0.987709 4.51965 0.987051 5.34094
92 4.575 1.04412 4.84758 0.971167 5.64595
93 4.625 1.0611 5.18815 0.970863 5.95757
94 4.675 1.08385 5.5436 0.973986 6.27698
95 4.725 1.10058 5.91229 0.978137 6.60465
96 4.775 1.11756 6.29463 0.974174 6.93794
97 4.825 1.14346 6.69408 0.975668 7.27877
98 4.875 1.14138 7.1011 0.956782 7.61996
99 4.925 1.1356 7.5144 0.95024 7.96581
100 4.975 1.13194 7.93479 0.943172 8.31609
101 5.025 1.12572 8.36131 0.933556 8.6698
102 5.075 1.11773 8.79327 0.926199 9.02774
103 5.125 1.09798 9.226 0.92217 9.39118
104 5.175 1.08782 9.66313 0.922335 9.76182
105 5.225 1.08513 10.1077 0.906105 10.133
106 5.275 1.07281 10.5556 0.911049 10.5134
107 5.325 1.06315 11.0079 0.909161 10.9002
108 5.375 1.04617 11.4614 0.897272 11.2892
109 5.425 1.03364 11.9179 0.898402 11.6859
110 5.475 1.01694 12.3753 0.897331 12.0895
111 5.525 0.992235 12.8298 0.891303 12.4978
112 5.575 0.969693 13.282 0.877552 12.907
113 5.625 0.969502 13.7423 0.874091 13.322
114 5.675 0.941471 14.1973 0.882276 13.7484
115 5.725 0.943085 14.6611 0.882143 14.1822
116 5.775 0.940775 15.1319 0.884669 14.6249
117 5.825 0.905053 15.5927 0.883126 15.0746
118 5.875 0.892015 16.0546 0.884737 15.5328
119 5.925 0.888414 16.5226 0.88051 15.9966
120 5.975 0.891557 17.0002 0.875726 16.4657
121 6.025 0.88194 17.4806 0.877351 16.9436
122 6.075 0.865781 17.96 0.872414 17.4267
123 6.125 0.862738 18.4457 0.893228 17.9295
124 6.175 0.857394 18.9362 0.900955 18.445
125 6.225 0.854657 19.4332 0.905392 18.9714
126 6.275 0.852581 19.9369 0.92575 19.5184
127 6.325 0.851136 20.4478 0.928728 20.0759
128 6.375 0.837585 20.9586 0.937837 20.6478
129 6.425 0.842482 21.4805 0.940466 21.2303
130 6.475 0.851898 22.0164 0.948649 21.8271
131 6.525 0.857947 22.5645 0.946147 22.4316
132 6.575 0.877885 23.1339 0.964259 23.0571
133 6.625 0.885007 23.7168 0.970375 23.6961
134 6.675 0.882873 24.307 0.970317 24.3448
135 6.725 0.882121 24.9057 0.967094 25.0011
136 6.775 0.89453 25.5217 0.98159 25.6772
137 6.825 0.900896 26.1514 0.987854 26.3676
138 6.875 0.905166 26.7934 0.985062 27.0663
139 6.925 0.909674 27.448 0.970421 27.7645
140 6.975 0.923181 28.1219 0.973826 28.4754
141 7.025 0.913073 28.798 0.982789 29.2032
142 7.075 0.932244 29.4982 0.984041 29.9423
143 7.125 0.937584 30.2124 0.980604 30.6893
144 7.175 0.930936 30.9315 0.983291 31.4488
145 7.225 0.953377 31.6783 0.981084 32.2173
146 7.275 0.960779 32.4413 0.98422 32.9989
147 7.325 0.964046 33.2174 0.983214 33.7905
148 7.375 0.976113 34.0141 0.97351 34.585
149 7.425 0.984027 34.8281 0.975181 35.3917
150 7.475 0.997789 35.6646 0.971021 36.2058
151 7.525 0.996116 36.511 0.973177 37.0327
152 7.575 1.0112 37.3816 0.966001 37.8644
153 7.625 1.01892 38.2705 0.970083 38.7107
154 7.675 1.01787 39.1702 0.975576 39.573
155 7.725 1.01597 40.0799 0.975874 40.4468
156 7.775 1.03176 41.0158 0.973306 41.3297
157 7.825 1.03542 41.9671 0.969667 42.2205
158 7.875 1.03259 42.928 0.968367 43.1217
159 7.925 1.03882 43.907 0.971685 44.0374
160 7.975 1.02634 44.8864 0.970804 44.9638
161 8.025 1.02832 45.8801 0.967799 45.899
162 8.075 1.03752 46.8952 0.96332 46.8416
163 8.125 1.02199 47.9076 0.961964 47.7944
164 8.175 1.02616 48.9366 0.961557 48.7587
165 8.225 1.02755 49.9797 0.965617 49.7389
166 8.275 1.00349 51.0107 0.969612 50.7351
167 8.325 1.01141 52.0625 0.967218 51.741
168 8.375 1.01194 53.1275 0.970979 52.7629
169 8.425 1.01704 54.2107 0.970801 53.7968
170 8.475 1.00831 55.2974 0.975867 54.8486
171 8.525 1.00757 56.3962 0.97611 55.913
172 8.575 1.00699 57.5072 0.983933 56.9986
173 8.625 1.00092 58.6245 0.984868 58.0979
174 8.675 0.993141 59.7459 0.983664 59.2087
175 8.725 1.00112 60.8895 0.994687 60.3449
176 8.775 0.993221 62.037 0.998589 61.4987
177 8.825 1.00268 63.2087 0.992999 62.6591
178 8.875 0.992215 64.3814 0.987553 63.8262
179 8.925 0.985698 65.5596 0.98878 65.008
180 8.975 0.979551 66.7435 0.992789 66.208
181 9.025 0.97617 67.9365 0.995831 67.4251
182 9.075 0.969521 69.1346 1.00415 68.6659
183 9.125 0.974025 70.3516 1.00711 69.9242
184 9.175 0.970669 71.5776 1.00037 71.1878
185 9.225 0.967209 72.8127 1.00082 72.4658
186 9.275 0.965956 74.0596 1.00208 73.7593
187 9.325 0.969126 75.324 1.0038 75.069
188 9.375 0.96548 76.5973 1.00465 76.3939
189 9.425 0.974049 77.8956 1.01272 77.7438
190 9.475 0.975188 79.2093 1.01474 79.1107
191 9.525 0.972548 80.5332 1.01469 80.492
192 9.575 0.968848 81.866 1.01049 81.8821
193 9.625 0.962959 83.2046 1.00461 83.2786
194 9.675 0.968106 84.5644 1.00941 84.6964
195 9.725 0.974655 85.9475 1.0009 86.1167
196 9.775 0.974153 87.3442 1.00942 87.564
197 9.825 0.977447 88.7599 1.00739 89.0231
198 9.875 0.973304 90.1841 1.01462 90.5077
199 9.925 0.985211 91.6403 1.01316 92.0052
200 9.975 0.978695 93.1015 1.00987 93.513
