# Time-averaged data for fix myat3
# TimeStep v_myenthalpy
100 -3025.27
200 -3276.52
300 -3074.18
400 -3307.78
500 -3704.32
600 -3979.02
700 -3645.61
800 -3520.74
900 -4010.03
1000 -3897.86
1100 -3517.87
1200 -3705.89
1300 -3813.09
1400 -3728.86
1500 -3679.89
1600 -3844.51
1700 -3890.57
1800 -3717.18
1900 -3296.13
2000 -3024.87
2100 -3355.45
2200 -3751.37
2300 -3578.34
2400 -3309.82
2500 -2594.43
2600 -2276.27
2700 -2750.57
2800 -3091.37
2900 -3362.63
3000 -3310.62
3100 -3245.64
3200 -3511.71
3300 -3538.42
3400 -3604.54
3500 -3592.87
3600 -3245.05
3700 -3218.39
3800 -3724.68
3900 -3747.27
4000 -3554.92
4100 -3910.89
4200 -3736.12
4300 -3584.64
4400 -3576.78
4500 -3680.53
4600 -3794.67
4700 -3622.41
4800 -3394.96
4900 -3652.05
5000 -3279.64
5100 -3330.96
5200 -3511.09
5300 -2920.42
5400 -3192.56
5500 -3231.31
5600 -3319.46
5700 -3689.48
5800 -3963.3
5900 -3505.9
6000 -3591.81
6100 -3450.38
6200 -3406.65
6300 -3520.26
6400 -3786.86
6500 -3835.56
6600 -3559.25
6700 -3974.21
6800 -4319.32
6900 -3895
7000 -3748.73
7100 -3769.73
7200 -3704.03
7300 -3421.57
7400 -3234.56
7500 -3031.76
7600 -3085.61
7700 -3328.46
7800 -3144.12
7900 -3409.16
8000 -3808.67
8100 -3930.87
8200 -3702.59
8300 -3120.86
8400 -3203.29
8500 -3852.9
8600 -3498.6
8700 -3276.26
8800 -3569.81
8900 -3653.31
9000 -3723.49
9100 -3741.89
9200 -3470.9
9300 -3458.73
9400 -3642.91
9500 -3723.62
9600 -3176
9700 -3130.49
9800 -3552.58
9900 -3399.91
10000 -3504.78
10100 -3935.91
10200 -3468.06
10300 -3189.59
10400 -3454.44
10500 -3440.4
10600 -3263.22
10700 -3395.24
10800 -3246.31
10900 -3343.74
11000 -3412.63
11100 -3556.38
11200 -3755.26
11300 -3607.21
11400 -3593.38
11500 -3374.14
11600 -3441.71
11700 -3453.86
11800 -3710.84
11900 -4058.08
12000 -4080.67
12100 -3554.28
12200 -3705.68
12300 -4047.06
12400 -3718.12
12500 -3692.65
12600 -3705.64
12700 -3490.04
12800 -3896.88
12900 -3856.48
13000 -3500.73
13100 -3449.73
13200 -3666.51
13300 -3547.51
13400 -3219.74
13500 -3392.55
13600 -3461.77
13700 -3674.57
13800 -3955
13900 -3700.45
14000 -3590.14
14100 -3630.04
14200 -3247.09
14300 -3334.49
14400 -3744.63
14500 -3602.56
14600 -3697.66
14700 -3713.97
14800 -3518.92
14900 -3254.13
15000 -3479.64
15100 -3490.6
15200 -3288.87
15300 -3460.7
15400 -3701.22
15500 -3615.06
15600 -3185.69
15700 -3163.79
15800 -3319.48
15900 -3262.9
16000 -3561.45
16100 -3683.57
16200 -3531.89
16300 -3542.96
16400 -3490.21
16500 -3427.9
16600 -3376.75
16700 -3169.78
16800 -3269.25
16900 -3427.71
17000 -3739.75
17100 -4070.89
17200 -3671.38
17300 -3454.76
17400 -3690.28
17500 -3801.67
17600 -3533.68
17700 -3502.45
17800 -3572.06
17900 -3395.19
18000 -3082.06
18100 -3335.31
18200 -3455.85
18300 -3586.78
18400 -3593.25
18500 -3793.54
18600 -4123.82
18700 -4009.14
18800 -3484.91
18900 -3434.75
19000 -3454.15
19100 -3335.4
19200 -3137.86
19300 -3045.28
19400 -3385.66
19500 -3534.97
19600 -3226.52
19700 -2630.47
19800 -2921.95
19900 -3242.27
20000 -3183.33
20100 -2914.36
20200 -2433.97
20300 -2422.4
20400 -2956.22
20500 -3357.5
20600 -3011.29
20700 -2516
20800 -2432.66
20900 -2694.9
21000 -3267.01
21100 -3548.09
21200 -3570.32
21300 -3811.53
21400 -3963.9
21500 -3933.26
21600 -4042.02
21700 -4091.45
21800 -3764.54
21900 -3566.07
22000 -3684.81
22100 -3545.75
22200 -3512.02
22300 -3476.95
22400 -3274.15
22500 -3484.68
22600 -4000.23
22700 -4304.47
22800 -3971.33
22900 -4136.67
23000 -3900.3
23100 -3796.04
23200 -3757.9
23300 -3576.59
23400 -3449.34
23500 -3428.33
23600 -3294.92
23700 -3660.05
23800 -3773.3
23900 -3497.32
24000 -3008.12
24100 -2972.23
24200 -3139.21
24300 -3460.71
24400 -3407.33
24500 -3260.81
24600 -3684.56
24700 -3502.23
24800 -3462.11
24900 -3587.84
25000 -3499.06
25100 -3419.26
25200 -3320.49
25300 -2894.53
25400 -3060.71
25500 -3203.82
25600 -3049.4
25700 -3274.96
25800 -3521.59
25900 -3652.18
26000 -3292.55
26100 -2980.57
26200 -3043.25
26300 -3557.06
26400 -3425.15
26500 -3120.81
26600 -3097.49
26700 -3551.7
26800 -3620.17
26900 -2957.07
27000 -3165.11
27100 -3587.34
27200 -3241.85
27300 -2905.04
27400 -2962.89
27500 -3300.63
27600 -3612.04
27700 -3802.46
27800 -3526.27
27900 -3679.75
28000 -4026.16
28100 -4273.53
28200 -4279.16
28300 -3771.38
28400 -3596.17
28500 -4187.84
28600 -3771.2
28700 -3637.47
28800 -3612.38
28900 -3542.36
29000 -3185.68
29100 -3547.72
29200 -3859.21
29300 -3480.59
29400 -3275.72
29500 -3746.7
29600 -3912.78
29700 -3900.2
29800 -3890.95
29900 -4040.6
30000 -3928.21
