# Time-averaged data for fix myat2
# TimeStep v_delta_r
100 7.27158
200 6.84614
300 6.56433
400 6.38768
500 6.13692
600 5.60486
700 5.37056
800 5.73263
900 6.20589
1000 6.02694
1100 5.89817
1200 6.10168
1300 6.11548
1400 5.8897
1500 5.50896
1600 5.30582
1700 5.11968
1800 5.1177
1900 5.15422
2000 5.51793
2100 5.71585
2200 5.72778
2300 5.84769
2400 6.10847
2500 6.65686
2600 6.97106
2700 7.20526
2800 7.75404
2900 7.92009
3000 8.04534
3100 8.62741
3200 8.54421
3300 8.5031
3400 8.47891
3500 8.47339
3600 8.00809
3700 7.76838
3800 7.81242
3900 8.25994
4000 8.46549
4100 8.31417
4200 8.67436
4300 9.29722
4400 9.74044
4500 9.73978
4600 9.77367
4700 9.96969
4800 9.83347
4900 9.44488
5000 8.98831
5100 9.27944
5200 9.57932
5300 9.87734
5400 10.3383
5500 10.1897
5600 9.79663
5700 9.17589
5800 8.4157
5900 8.03721
6000 7.96327
6100 7.68307
6200 7.37444
6300 7.11663
6400 7.1184
6500 6.5532
6600 6.25182
6700 6.24811
6800 5.63468
6900 5.71588
7000 6.44388
7100 6.77159
7200 6.43632
7300 6.81355
7400 7.2764
7500 7.28277
7600 7.06829
7700 6.77158
7800 6.59159
7900 6.63758
8000 7.07572
8100 6.98778
8200 6.86321
8300 6.86396
8400 6.98082
8500 7.5191
8600 8.24413
8700 8.28418
8800 8.03286
8900 7.30536
9000 7.22
9100 7.73298
9200 8.63674
9300 8.91124
9400 8.60256
9500 8.91916
9600 9.14267
9700 8.71783
9800 8.69835
9900 8.77348
10000 8.32109
10100 8.26664
10200 8.30969
10300 8.36078
10400 7.96124
10500 7.96241
10600 7.94462
10700 8.28211
10800 8.94864
10900 9.31561
11000 9.65019
11100 9.44404
11200 8.67235
11300 7.8651
11400 7.09169
11500 6.53423
11600 6.96519
11700 7.8004
11800 8.40936
11900 9.03417
12000 9.54993
12100 9.28107
12200 9.60387
12300 9.50396
12400 9.09487
12500 9.10472
12600 9.09457
12700 8.90386
12800 8.45235
12900 8.88881
13000 9.36744
13100 9.85958
13200 10.2893
13300 10.2551
13400 10.0728
13500 9.97124
13600 10.0146
13700 10.6188
13800 10.7977
13900 10.7342
14000 10.5565
14100 10.6318
14200 11.3184
14300 11.808
14400 11.9289
14500 12.3349
14600 12.9351
14700 13.195
14800 13.1002
14900 12.9955
15000 12.9268
15100 12.7454
15200 12.0505
15300 11.4651
15400 10.9245
15500 10.6689
15600 9.89222
15700 9.5393
15800 9.31703
15900 9.54494
16000 9.69278
16100 9.50538
16200 9.58761
16300 10.099
16400 10.8041
16500 11.2225
16600 11.2232
16700 10.6161
16800 9.81367
16900 9.50399
17000 9.45911
17100 9.05427
17200 8.46583
17300 8.23736
17400 8.31943
17500 7.96509
17600 7.54817
17700 7.6956
17800 7.35798
17900 7.38924
18000 8.19336
18100 8.57271
18200 8.72194
18300 8.61312
18400 8.36443
18500 8.37593
18600 8.1798
18700 7.85481
18800 7.87149
18900 7.59693
19000 7.77432
19100 7.5998
19200 7.15513
19300 6.73023
19400 6.49744
19500 6.81877
19600 7.38607
19700 7.6952
19800 8.05559
19900 8.29876
20000 8.1358
20100 8.04953
20200 7.7468
20300 7.67805
20400 8.11766
