# Time-averaged data for fix myat3
# TimeStep c_rgyr
100 11.1007
200 11.1111
300 11.1848
400 11.2239
500 11.1995
600 11.2036
700 11.2495
800 11.3042
900 11.2496
1000 11.1808
1100 11.1262
1200 11.092
1300 11.1105
1400 11.1822
1500 11.2636
1600 11.362
1700 11.3318
1800 11.2896
1900 11.2403
2000 11.1704
2100 11.1975
2200 11.1818
2300 11.138
2400 11.0798
2500 10.9836
2600 10.8989
2700 10.8984
2800 10.9036
2900 10.9414
3000 10.9604
3100 10.9395
3200 10.898
3300 10.8316
3400 10.7804
3500 10.7764
3600 10.7815
3700 10.7915
3800 10.8558
3900 10.929
4000 11.0395
4100 11.1285
4200 11.1444
4300 11.1063
4400 10.9779
4500 10.9284
4600 10.8513
4700 10.7866
4800 10.7784
4900 10.8139
5000 10.8261
5100 10.8526
5200 10.9603
5300 10.9396
5400 10.9572
5500 10.953
5600 10.9795
5700 10.9437
5800 10.9143
5900 10.9288
6000 10.98
6100 11.0464
6200 11.011
6300 10.9352
6400 10.9042
6500 10.9732
6600 11.043
6700 11.0118
6800 11.023
6900 11.0876
7000 11.1427
7100 11.1782
7200 11.1642
7300 11.1986
7400 11.2424
7500 11.2734
7600 11.3271
7700 11.3506
7800 11.322
7900 11.3019
8000 11.3111
8100 11.2637
8200 11.1594
8300 11.1458
8400 11.1028
8500 11.1195
8600 11.1688
8700 11.1861
8800 11.1998
8900 11.1897
9000 11.1121
9100 11.0506
9200 10.9318
9300 10.8382
9400 10.7312
9500 10.6579
9600 10.5298
9700 10.4444
9800 10.3999
9900 10.3423
10000 10.2881
10100 10.1823
10200 10.087
10300 10.091
10400 10.072
10500 9.95798
10600 9.86294
10700 9.71445
10800 9.54356
10900 9.42626
11000 9.32937
11100 9.24451
11200 9.24382
11300 9.2546
11400 9.2801
11500 9.34247
11600 9.33811
11700 9.25353
11800 9.11261
11900 9.00291
12000 8.8962
12100 8.78121
12200 8.72126
12300 8.70853
12400 8.6406
12500 8.59561
12600 8.55972
12700 8.46338
12800 8.3321
12900 8.19936
13000 8.06027
13100 7.86245
13200 7.69377
13300 7.55944
13400 7.45067
13500 7.4045
13600 7.46577
13700 7.53363
13800 7.59735
13900 7.63289
14000 7.6659
14100 7.72852
14200 7.84941
14300 7.92514
14400 7.99723
14500 8.06122
14600 8.17145
14700 8.22902
14800 8.23712
14900 8.23712
15000 8.25666
15100 8.34937
15200 8.46799
15300 8.53618
15400 8.59142
15500 8.72841
15600 8.78808
15700 8.76257
15800 8.77063
15900 8.76375
16000 8.75174
16100 8.79592
16200 8.80894
16300 8.79063
16400 8.73736
16500 8.70275
16600 8.70526
16700 8.76929
16800 8.78499
16900 8.84004
17000 8.8665
17100 8.88122
17200 8.8947
17300 8.88367
17400 8.89882
17500 8.86502
17600 8.80813
17700 8.7196
17800 8.72934
17900 8.76815
18000 8.81474
18100 8.85132
18200 8.86561
18300 8.91937
18400 8.96854
18500 9.00244
18600 9.05367
18700 9.08503
18800 9.12163
18900 9.17145
19000 9.22117
19100 9.17377
19200 9.12164
19300 9.1178
19400 9.08369
19500 8.99038
19600 8.9127
19700 8.96241
19800 9.01196
19900 9.02933
20000 9.05371
20100 9.12808
20200 9.20565
20300 9.27718
20400 9.40473
20500 9.46229
20600 9.48645
20700 9.48398
20800 9.45255
20900 9.39598
21000 9.33653
21100 9.27879
21200 9.28641
21300 9.22886
21400 9.16856
21500 9.10214
21600 9.01871
21700 9.01417
21800 8.96942
21900 8.87071
22000 8.75356
22100 8.67206
22200 8.60532
22300 8.57298
22400 8.6518
22500 8.76924
22600 8.86558
22700 8.90903
22800 8.96186
22900 8.94697
23000 8.97176
23100 9.05631
23200 9.08476
23300 9.06499
23400 9.05896
23500 9.05998
23600 9.06183
23700 9.03334
23800 9.01951
23900 8.95496
24000 8.93366
24100 8.96331
24200 9.01999
24300 9.08529
24400 9.07643
24500 9.01131
24600 8.93953
24700 8.85964
24800 8.81522
24900 8.8837
25000 8.87404
25100 8.87902
25200 8.82194
25300 8.78178
25400 8.69892
25500 8.69259
25600 8.69857
25700 8.73139
25800 8.77841
25900 8.83608
26000 8.85422
26100 8.83568
26200 8.81769
26300 8.86282
26400 8.85505
26500 8.81178
26600 8.75174
26700 8.71891
26800 8.66245
