# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 297.565
200 302.418
300 306.18
400 300.742
500 296.066
600 295.616
700 298.304
800 300.836
900 302.228
1000 302.836
1100 296.892
1200 295.745
1300 301.432
1400 301.058
1500 301.39
1600 298.188
1700 297.771
1800 297.034
1900 298.853
2000 302.329
2100 300.85
2200 298.758
2300 298.999
2400 293.475
2500 294.746
2600 299.475
2700 300.775
2800 299.514
2900 303.582
3000 307.925
3100 303.048
3200 297.76
3300 299.515
3400 299.901
3500 301.239
3600 306.662
3700 303.667
3800 300.092
3900 299.91
4000 299.56
4100 304.392
4200 294.34
4300 294.951
4400 302.784
4500 299.769
4600 297.857
4700 302.907
4800 304.73
4900 298.459
5000 298.196
5100 297.567
5200 303.411
5300 303.313
5400 296.618
5500 296.896
5600 297.669
5700 298.758
5800 301.389
5900 301.99
6000 298.927
6100 294.927
6200 303.666
6300 301.819
6400 304.744
6500 303.54
6600 298.679
6700 300.758
6800 297.484
6900 297.046
7000 304.927
7100 303.437
7200 296.636
7300 298.474
7400 297.807
7500 307.478
7600 306.92
7700 301.505
7800 297.451
7900 294.431
8000 301.346
8100 303.634
8200 302.023
8300 298.255
8400 295.823
8500 298.515
8600 303.214
8700 300.208
8800 295.598
8900 296.741
9000 300.719
9100 301.74
9200 302.546
9300 296.589
9400 297.825
9500 303.282
9600 305.853
9700 302.165
9800 298.571
9900 296.565
10000 298.076
10100 300.072
10200 300.774
10300 301.106
10400 303.564
10500 300.204
10600 298.773
10700 295.698
10800 302.227
10900 303.529
11000 299.732
11100 298.797
11200 299.343
11300 299.682
11400 303.273
11500 294.708
11600 296.829
11700 302.24
11800 301.469
11900 298.135
12000 300.85
12100 304.798
12200 304.469
12300 302.161
12400 299.779
12500 300.109
12600 295.35
12700 299.683
12800 307.581
12900 298.679
13000 298.615
13100 293.608
13200 293.281
13300 300.218
13400 300.344
13500 298.933
13600 301.183
13700 302.461
13800 304.205
13900 298.962
14000 299.284
14100 296.231
14200 301.135
14300 302.554
