# Time-averaged data for fix myat3
# TimeStep v_mydensity
100 0.0130757
200 0.0134842
300 0.0137908
400 0.0140363
500 0.0142436
600 0.0144352
700 0.0145838
800 0.0146903
900 0.0147786
1000 0.0148588
1100 0.0149789
1200 0.0151595
1300 0.0153341
1400 0.0154856
1500 0.0156446
1600 0.0157984
1700 0.0159425
1800 0.0160451
1900 0.016135
2000 0.0162364
2100 0.0163537
2200 0.0165038
2300 0.0166482
2400 0.016808
2500 0.0169783
2600 0.0171515
2700 0.0173278
2800 0.0175101
2900 0.0176561
3000 0.0178067
3100 0.0179919
3200 0.0181703
3300 0.0183453
3400 0.0185311
3500 0.0187391
3600 0.018944
3700 0.0191419
3800 0.0193318
3900 0.0195041
4000 0.0196772
4100 0.0198615
4200 0.0200413
4300 0.0201491
4400 0.0202249
4500 0.0203982
4600 0.0206468
4700 0.0208684
4800 0.021036
4900 0.0211939
5000 0.0213441
5100 0.0215624
5200 0.0218266
5300 0.0220847
5400 0.0222989
5500 0.02249
5600 0.0226897
5700 0.0228804
5800 0.0230634
5900 0.0232312
6000 0.0233566
6100 0.0235085
6200 0.023735
6300 0.0239678
6400 0.0241772
6500 0.0243329
6600 0.0244696
6700 0.0245835
6800 0.0247438
6900 0.0249303
7000 0.0250416
7100 0.0251424
7200 0.0252535
7300 0.0253472
7400 0.0254249
7500 0.0255409
7600 0.0257066
7700 0.0258922
7800 0.026089
7900 0.0263067
8000 0.0264946
8100 0.0266317
8200 0.0267689
8300 0.0269136
8400 0.0270672
8500 0.0272528
8600 0.0273904
8700 0.0275047
8800 0.0275965
8900 0.0276604
9000 0.0277603
9100 0.027885
9200 0.0280749
9300 0.0283537
9400 0.0285632
9500 0.0286971
9600 0.0287965
9700 0.0288556
9800 0.0289152
9900 0.0290295
10000 0.0291957
10100 0.0293749
10200 0.0294758
10300 0.0295069
10400 0.0295518
10500 0.0296157
10600 0.0297019
10700 0.02984
10800 0.0299681
10900 0.0300295
11000 0.0300034
11100 0.029887
11200 0.0297991
11300 0.0298378
11400 0.0299225
11500 0.0299711
11600 0.0299727
11700 0.0299377
11800 0.0299504
11900 0.0299948
12000 0.0300122
12100 0.0300382
12200 0.0301151
12300 0.0301568
12400 0.0301508
12500 0.0302377
12600 0.0302864
12700 0.0302582
12800 0.030275
12900 0.0302836
13000 0.0302495
13100 0.0302385
13200 0.0301594
13300 0.0300475
13400 0.029955
13500 0.0299162
13600 0.0299764
13700 0.0300997
13800 0.0301581
13900 0.0301578
14000 0.0302335
14100 0.0302917
14200 0.0302643
14300 0.0303178
14400 0.030384
14500 0.0304135
14600 0.0304529
14700 0.0304829
14800 0.0305062
14900 0.0305487
15000 0.0305938
15100 0.0305677
15200 0.0305713
15300 0.0305603
15400 0.0305657
15500 0.030568
15600 0.0304865
15700 0.0303016
15800 0.030138
15900 0.0300506
16000 0.0301695
16100 0.0304119
16200 0.0306089
16300 0.0307449
16400 0.0307856
16500 0.0307822
16600 0.0307191
16700 0.0306235
16800 0.0305121
16900 0.0304623
17000 0.0304662
17100 0.030467
17200 0.0304643
17300 0.0304808
17400 0.0304746
17500 0.0303789
17600 0.0302631
17700 0.0301894
17800 0.0301678
17900 0.0301698
18000 0.0302213
18100 0.0303455
18200 0.0304504
18300 0.0304732
18400 0.0304791
18500 0.0304392
18600 0.0303174
18700 0.0301874
18800 0.0300289
18900 0.0298817
19000 0.0298954
19100 0.0300129
19200 0.0300829
19300 0.0300981
19400 0.0301198
19500 0.030161
19600 0.0302477
19700 0.0303288
19800 0.0303375
19900 0.030305
20000 0.0303477
