# Time-averaged data for fix myat1
# TimeStep v_mytemp
100 11.0163
200 46.4483
300 87.92
400 118.842
500 154.692
600 191.429
700 224.966
800 268.034
900 291.259
1000 314.902
1100 315.707
1200 296.565
1300 291.312
1400 286.707
1500 300.82
1600 314.479
1700 313.291
1800 293.097
1900 293.982
2000 298.741
2100 297.351
2200 297.785
2300 299.992
2400 300.066
2500 303.555
2600 303.907
2700 304.373
2800 296.808
2900 296.832
3000 296.365
3100 301.788
3200 298.757
3300 298.578
3400 295.881
3500 301.883
3600 314.24
3700 298.393
3800 288.673
3900 299.605
4000 312.071
4100 304.813
4200 291.156
4300 289.459
4400 302.324
4500 309.914
4600 303.331
4700 289.652
4800 300.328
4900 309.201
5000 303.081
5100 299.631
5200 294.86
5300 295.029
5400 296.081
5500 304.404
5600 309.906
5700 301.294
5800 285.73
5900 294.207
6000 309.96
6100 304.305
6200 291.428
6300 298.279
6400 307.07
6500 308.849
6600 296.443
6700 293.563
6800 301.124
6900 300.15
7000 301.874
7100 297.579
7200 306.81
7300 293.394
7400 292.173
7500 312.663
7600 304.668
7700 297.468
7800 298.632
7900 295.889
8000 293.769
8100 288.347
8200 300.464
8300 303.574
8400 301.536
8500 298.526
8600 293.665
8700 299.971
8800 300.815
8900 294.492
9000 286.851
9100 293.947
9200 303.155
9300 301.146
9400 300.349
9500 297.781
9600 284.341
9700 295.802
9800 303.328
9900 302.722
10000 294.512
10100 305.721
10200 306.728
10300 305.975
10400 293.258
10500 292.479
10600 300.687
10700 305.897
10800 317.856
10900 313.639
11000 300.515
11100 301.276
11200 293.784
11300 297.703
11400 310.168
11500 311.242
11600 300.026
11700 298.492
11800 303.679
11900 298.026
12000 302.367
12100 309.657
12200 304.891
12300 293.674
12400 296.142
12500 300.207
12600 300.484
12700 302.211
12800 307.772
12900 298.266
13000 297.84
13100 300.693
13200 291.6
13300 293.071
13400 292.408
13500 292.813
13600 302.167
13700 305.014
13800 296.666
13900 291.823
14000 294.584
14100 306.262
14200 305.267
14300 298.887
14400 291.592
14500 292.5
14600 303.174
14700 305.829
14800 301.939
14900 292.931
15000 296.466
15100 306.339
15200 310.299
15300 303.604
15400 297.63
15500 305.658
15600 304.213
15700 289.841
15800 294.091
15900 304.567
16000 295.401
16100 293.72
16200 299.247
16300 305.62
16400 308.559
16500 302.997
16600 294.137
16700 289.407
16800 300.587
16900 297.394
17000 301.893
17100 302.663
17200 290.865
17300 301.813
17400 303.261
17500 288.23
17600 286.389
17700 302.333
17800 304.676
17900 299.21
18000 301.061
18100 297.888
18200 293.202
18300 300.249
18400 295.125
18500 306.909
18600 304.949
18700 298.852
18800 290.186
18900 292.923
19000 296.205
19100 299.849
19200 304.732
19300 303.278
19400 299.481
19500 292.037
19600 293.966
19700 296.784
19800 302.986
19900 301.599
20000 301.071
20100 297.133
20200 294.958
20300 296.429
20400 300.667
20500 298.445
20600 300.085
20700 305.882
20800 292.335
20900 295.74
21000 292.692
21100 299.937
21200 306.33
21300 296.11
21400 288.567
21500 302.65
21600 307.931
21700 306.732
21800 299.462
21900 298.686
22000 296.575
22100 302.366
22200 298.926
22300 301.025
22400 307.605
22500 302.841
22600 294.798
22700 299.145
22800 312.469
22900 310.973
23000 310.55
23100 303.261
23200 299.065
23300 298.733
23400 301.96
23500 311.491
23600 309.386
23700 293.765
23800 289.07
