# Time-averaged data for fix myat2
# TimeStep v_myvol
100 26842.4
200 26119.9
300 25300.8
400 24699.4
500 24189.8
600 23775.3
700 23447.7
800 23215
900 23097.7
1000 23123.1
1100 23305.7
1200 23570.4
1300 23839.4
1400 24106.9
1500 24361
1600 24572.6
1700 24774.4
1800 24976.5
1900 25117.1
2000 25239.1
2100 25413.7
2200 25592.8
2300 25757.3
2400 25873.6
2500 25953.8
2600 25995.6
2700 26050
2800 26025.8
2900 25966.6
3000 25941.5
3100 25948.7
3200 25994.4
3300 26027.4
3400 26004.7
3500 25899.1
3600 25732.2
3700 25561.5
3800 25398.9
3900 25335.8
4000 25226.2
4100 25067.4
4200 24982.3
4300 24912.8
4400 24850.2
4500 24790.4
4600 24738.5
4700 24653.6
4800 24451
4900 24288.3
5000 24217.6
5100 24170.5
5200 24034.8
5300 23874.2
5400 23696.2
5500 23513
5600 23372.6
5700 23432.6
5800 23577.3
5900 23614.4
6000 23603.7
6100 23604.7
6200 23561.8
6300 23418.4
6400 23212.7
6500 23033.2
6600 22813.1
6700 22503.4
6800 22179.8
6900 21962.6
7000 21838.2
7100 21712.3
7200 21577.6
7300 21513.3
7400 21455
7500 21315.2
7600 21231.4
7700 21203.8
7800 21139.8
7900 20984.8
8000 20754.5
8100 20505.1
8200 20288.1
8300 20096.3
8400 19843.1
8500 19586.7
8600 19381.5
8700 19145.9
8800 18929.3
8900 18766.7
9000 18627.2
9100 18510.3
9200 18443.1
9300 18388.3
9400 18350.6
9500 18303.8
9600 18219.5
9700 18106.3
9800 17989.4
9900 17957.6
10000 17959.4
10100 17931.7
10200 17941.1
10300 18012.9
10400 18030.6
10500 17976.6
10600 17876.8
10700 17712.5
10800 17500.8
10900 17371.4
11000 17290.9
11100 17215.6
11200 17168.6
11300 17129.6
11400 17098.5
11500 17105.1
11600 17151.6
11700 17154.4
11800 17152.9
11900 17197.6
12000 17233.3
12100 17321.2
12200 17415.9
12300 17363.7
12400 17227.7
12500 17096.7
12600 16966.3
12700 16795.6
12800 16630.6
12900 16506.2
13000 16415.5
13100 16386.7
13200 16369
13300 16362.5
13400 16348.9
13500 16306.4
13600 16271.2
13700 16205
13800 16098.9
13900 16008.4
14000 15902.3
14100 15820.8
14200 15794.1
14300 15781
14400 15789.7
14500 15747.8
14600 15698.7
14700 15691.8
14800 15774.2
14900 15890
15000 15952.4
15100 16029.4
15200 16133.7
15300 16241.4
15400 16312.8
15500 16393.4
15600 16434.5
15700 16424.7
15800 16355.8
15900 16258.2
16000 16195.3
16100 16192.2
16200 16150.6
16300 16085
16400 16056.4
16500 16095.4
16600 16167.8
16700 16179.5
16800 16157.5
16900 16127.9
17000 16063.4
17100 16001.1
17200 15936.7
17300 15836
17400 15767.7
17500 15718.7
17600 15629.3
17700 15547.2
17800 15480.1
17900 15399.4
18000 15332
18100 15282.9
18200 15236.4
18300 15249.4
18400 15325.1
18500 15441.6
18600 15558.7
18700 15674.7
18800 15802.4
18900 15906.5
19000 16001.1
19100 16097.1
19200 16193.5
19300 16324.6
19400 16381.2
19500 16388.7
19600 16378.8
19700 16354.3
19800 16306.9
19900 16272
20000 16210.5
20100 16082.1
20200 15884.2
20300 15680.1
20400 15496.4
20500 15349.3
20600 15197.4
20700 15114.2
20800 15061.5
20900 15025.1
21000 14995.3
21100 14975.2
21200 14989.1
21300 15045.4
21400 15083.5
21500 15085
21600 15090.5
21700 15124.7
21800 15167.8
21900 15203.5
22000 15251.6
22100 15312.4
22200 15329.7
22300 15292.3
22400 15183.9
22500 15146.6
22600 15138.1
22700 15107.7
22800 15112
22900 15120.5
23000 15125.8
23100 15135.9
23200 15131.6
23300 15065.7
23400 14964.4
23500 14906.8
23600 14883.9
23700 14909.4
23800 14911.8
23900 14891.8
24000 14867.7
24100 14874.7
24200 14899.8
24300 14917.6
24400 14908.8
