# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
26600100 -2.20161 -2
26600200 -2.00129 -2
26600300 -2.2332 -2
26600400 -2.09162 -2
26600500 -2.10996 -2
26600600 -2.00521 -2
26600700 -1.96314 -2
26600800 -2.02093 -2
26600900 -1.92892 -2
26601000 -1.72621 -2
26601100 -2.07389 -2
26601200 -1.85589 -2
26601300 -1.86136 -2
26601400 -2.08305 -2
26601500 -2.07121 -2
26601600 -2.01382 -2
26601700 -2.19891 -2
26601800 -2.10489 -2
26601900 -2.37254 -2
26602000 -2.52114 -2
26602100 -2.34983 -2
26602200 -2.61406 -2
26602300 -2.6479 -2
26602400 -2.45084 -2
26602500 -2.46567 -2
26602600 -2.51845 -2
26602700 -2.4869 -2
26602800 -2.57695 -2
26602900 -2.45043 -2
26603000 -2.26781 -2
26603100 -1.9372 -2
26603200 -1.79388 -2
26603300 -1.86595 -2
26603400 -2.03372 -2
26603500 -1.76401 -2
26603600 -1.63271 -2
26603700 -1.80667 -2
26603800 -1.70798 -2
26603900 -1.66822 -2
26604000 -1.90605 -2
26604100 -1.95178 -2
26604200 -1.8583 -2
26604300 -1.91189 -2
26604400 -1.82704 -2
26604500 -1.85554 -2
26604600 -1.79308 -2
26604700 -1.61681 -2
26604800 -1.45403 -2
26604900 -1.66672 -2
26605000 -1.74112 -2
26605100 -1.94934 -2
26605200 -2.24606 -2
26605300 -2.49513 -2
26605400 -2.87782 -2
26605500 -3.11164 -2
26605600 -3.28543 -2
26605700 -2.86668 -2
26605800 -2.80174 -2
26605900 -2.96916 -2
26606000 -3.02689 -2
26606100 -2.95251 -2
26606200 -2.99052 -2
26606300 -2.87186 -2
26606400 -2.79575 -2
26606500 -2.57909 -2
26606600 -2.24532 -2
26606700 -1.76555 -2
26606800 -1.54467 -2
26606900 -1.31453 -2
26607000 -1.46435 -2
26607100 -1.77024 -2
26607200 -1.98539 -2
26607300 -2.03285 -2
26607400 -2.34838 -2
26607500 -2.47238 -2
26607600 -2.61755 -2
26607700 -2.89732 -2
26607800 -2.81934 -2
26607900 -2.79213 -2
26608000 -3.04699 -2
26608100 -2.92765 -2
26608200 -2.7064 -2
26608300 -2.83207 -2
26608400 -2.72357 -2
26608500 -2.42186 -2
26608600 -2.24467 -2
26608700 -2.41379 -2
26608800 -2.60341 -2
26608900 -2.5309 -2
26609000 -2.385 -2
26609100 -2.60421 -2
26609200 -2.5326 -2
26609300 -2.19171 -2
26609400 -1.78479 -2
26609500 -1.71441 -2
26609600 -1.7878 -2
26609700 -1.85764 -2
26609800 -1.88216 -2
26609900 -1.84415 -2
26610000 -1.63984 -2
26610100 -1.3152 -2
26610200 -1.29428 -2
26610300 -1.48034 -2
26610400 -1.7615 -2
26610500 -1.77826 -2
26610600 -1.89787 -2
26610700 -1.93443 -2
26610800 -2.03623 -2
26610900 -1.89288 -2
26611000 -1.6969 -2
26611100 -1.87073 -2
