# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
14600100 -11.9273 -12
14600200 -11.7966 -12
14600300 -12.0156 -12
14600400 -12.0109 -12
14600500 -11.9259 -12
14600600 -11.9171 -12
14600700 -12.1323 -12
14600800 -11.9797 -12
14600900 -11.8871 -12
14601000 -11.9993 -12
14601100 -11.9216 -12
14601200 -11.8682 -12
14601300 -12.1532 -12
14601400 -12.2625 -12
14601500 -12.1065 -12
14601600 -12.3151 -12
14601700 -12.1736 -12
14601800 -12.1061 -12
14601900 -12.1326 -12
14602000 -11.9709 -12
14602100 -11.979 -12
14602200 -12.0114 -12
14602300 -12.0877 -12
14602400 -12.0153 -12
14602500 -12.0499 -12
14602600 -11.9672 -12
14602700 -12.0176 -12
14602800 -11.9978 -12
14602900 -11.8201 -12
14603000 -11.8925 -12
14603100 -12.0467 -12
14603200 -12.1198 -12
14603300 -11.954 -12
14603400 -12.112 -12
14603500 -12.0811 -12
14603600 -11.9749 -12
14603700 -11.9391 -12
14603800 -11.8633 -12
14603900 -11.8698 -12
14604000 -12.1202 -12
14604100 -12.0892 -12
14604200 -12.0024 -12
14604300 -11.9651 -12
14604400 -12.067 -12
14604500 -12.1722 -12
14604600 -11.9623 -12
14604700 -11.9182 -12
14604800 -11.9621 -12
14604900 -11.9642 -12
14605000 -12.0522 -12
14605100 -11.8778 -12
14605200 -11.8686 -12
14605300 -12.2197 -12
14605400 -11.9636 -12
14605500 -12.0174 -12
14605600 -12.0667 -12
14605700 -12.1294 -12
14605800 -12.0987 -12
14605900 -12.0524 -12
14606000 -11.9956 -12
14606100 -11.9761 -12
14606200 -12.0553 -12
14606300 -12.1881 -12
14606400 -11.881 -12
14606500 -11.9104 -12
14606600 -11.8419 -12
14606700 -11.9787 -12
14606800 -12.0455 -12
14606900 -11.9571 -12
14607000 -12.0531 -12
14607100 -12.0437 -12
14607200 -12.1145 -12
14607300 -12.0546 -12
14607400 -11.9001 -12
14607500 -12.0734 -12
14607600 -12.081 -12
14607700 -11.9571 -12
14607800 -11.9526 -12
14607900 -11.8498 -12
14608000 -12.0632 -12
14608100 -12.2394 -12
14608200 -11.9556 -12
14608300 -11.9613 -12
14608400 -12.0881 -12
14608500 -12.1123 -12
14608600 -11.9486 -12
14608700 -11.7729 -12
14608800 -12.0657 -12
14608900 -12.172 -12
14609000 -12.2835 -12
14609100 -11.9176 -12
14609200 -11.9467 -12
14609300 -11.9546 -12
14609400 -11.8469 -12
14609500 -11.7808 -12
14609600 -11.8555 -12
14609700 -11.8609 -12
14609800 -11.8782 -12
14609900 -12.1124 -12
14610000 -12.072 -12
14610100 -11.9187 -12
14610200 -11.9715 -12
14610300 -12.1006 -12
14610400 -12.2074 -12
14610500 -11.9143 -12
14610600 -11.9656 -12
14610700 -12.0348 -12
14610800 -12.0763 -12
14610900 -11.9608 -12
14611000 -11.9236 -12
14611100 -11.885 -12
14611200 -11.9613 -12
14611300 -11.9405 -12
14611400 -12.0125 -12
14611500 -12.1525 -12
14611600 -12.2682 -12
14611700 -11.9517 -12
14611800 -11.9103 -12
14611900 -11.9706 -12
14612000 -12.0042 -12
14612100 -12.0497 -12
14612200 -11.9407 -12
14612300 -12.0328 -12
14612400 -11.9091 -12
14612500 -11.766 -12
14612600 -12.0075 -12
14612700 -12.0848 -12
14612800 -11.8001 -12
14612900 -11.9112 -12
14613000 -11.8346 -12
14613100 -11.9976 -12
14613200 -12.0425 -12
14613300 -11.7917 -12
14613400 -11.9819 -12
14613500 -12.0329 -12
14613600 -12.1792 -12
14613700 -12.032 -12
14613800 -11.953 -12
14613900 -11.9472 -12
14614000 -12.13 -12
14614100 -11.8635 -12
