# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
12780100 -12.9321 -12.25
12780200 -13.2654 -12.25
12780300 -13.542 -12.25
12780400 -13.7237 -12.25
12780500 -13.7863 -12.25
12780600 -13.7105 -12.25
12780700 -13.5068 -12.25
12780800 -13.1656 -12.25
12780900 -12.7575 -12.25
12781000 -12.411 -12.25
12781100 -12.212 -12.25
12781200 -12.1846 -12.25
12781300 -12.2937 -12.25
12781400 -12.5046 -12.25
12781500 -12.7567 -12.25
12781600 -12.9963 -12.25
12781700 -13.1721 -12.25
12781800 -13.2622 -12.25
12781900 -13.2745 -12.25
12782000 -13.1986 -12.25
12782100 -13.0341 -12.25
12782200 -12.8124 -12.25
12782300 -12.5469 -12.25
12782400 -12.2516 -12.25
12782500 -11.9631 -12.25
12782600 -11.6838 -12.25
12782700 -11.3873 -12.25
12782800 -11.143 -12.25
12782900 -10.994 -12.25
12783000 -10.9169 -12.25
12783100 -10.9576 -12.25
12783200 -11.1023 -12.25
12783300 -11.3031 -12.25
12783400 -11.5746 -12.25
12783500 -11.8927 -12.25
12783600 -12.1987 -12.25
12783700 -12.458 -12.25
12783800 -12.6484 -12.25
12783900 -12.7613 -12.25
12784000 -12.7868 -12.25
12784100 -12.7667 -12.25
12784200 -12.6688 -12.25
12784300 -12.4748 -12.25
12784400 -12.2652 -12.25
12784500 -12.0276 -12.25
12784600 -11.8046 -12.25
12784700 -11.7283 -12.25
12784800 -11.7564 -12.25
12784900 -11.863 -12.25
12785000 -12.0742 -12.25
12785100 -12.317 -12.25
12785200 -12.5239 -12.25
12785300 -12.7712 -12.25
12785400 -12.9473 -12.25
12785500 -13.0666 -12.25
12785600 -13.1836 -12.25
12785700 -13.2431 -12.25
12785800 -13.2552 -12.25
12785900 -13.2082 -12.25
12786000 -13.0839 -12.25
12786100 -12.8992 -12.25
12786200 -12.6518 -12.25
12786300 -12.4629 -12.25
12786400 -12.4742 -12.25
12786500 -12.6831 -12.25
12786600 -13.0277 -12.25
12786700 -13.3044 -12.25
12786800 -13.4602 -12.25
12786900 -13.4713 -12.25
12787000 -13.3283 -12.25
12787100 -13.0774 -12.25
12787200 -12.7101 -12.25
12787300 -12.2753 -12.25
12787400 -11.8389 -12.25
12787500 -11.4092 -12.25
12787600 -11.0714 -12.25
12787700 -10.8467 -12.25
12787800 -10.7481 -12.25
12787900 -10.7824 -12.25
12788000 -10.899 -12.25
12788100 -11.0083 -12.25
12788200 -11.0923 -12.25
12788300 -11.1447 -12.25
12788400 -11.2572 -12.25
12788500 -11.4253 -12.25
12788600 -11.6566 -12.25
12788700 -11.9737 -12.25
12788800 -12.3012 -12.25
12788900 -12.6412 -12.25
12789000 -12.9586 -12.25
12789100 -13.2169 -12.25
12789200 -13.4082 -12.25
12789300 -13.4986 -12.25
12789400 -13.446 -12.25
12789500 -13.2056 -12.25
12789600 -12.8246 -12.25
12789700 -12.3622 -12.25
