# Time-averaged data for fix myat
# TimeStep v_n_center
500 7.62
1000 7.96
1500 6.6
2000 6
2500 6
3000 6.2
3500 7
4000 6.78
4500 5.56
5000 5.14
5500 5
6000 5
6500 4.94
7000 5.72
7500 5.4
8000 5.88
8500 5.44
9000 5
9500 5.16
10000 5
10500 5.24
11000 5.86
11500 5.54
12000 5
12500 5.08
13000 5
13500 5
14000 5.04
14500 5.12
15000 4.7
15500 4.44
16000 4.18
16500 5.18
17000 5
17500 5
18000 5
18500 5
19000 5
19500 4.72
20000 4
20500 4
21000 4
21500 3.46
22000 4
22500 3.86
23000 3
23500 3
24000 3
24500 3
25000 3
25500 3
26000 3.16
26500 3
27000 3.16
27500 3
28000 3
28500 3
29000 3
29500 3
30000 3
30500 3
31000 3
31500 3.08
32000 3
32500 2.58
33000 2.02
33500 2
34000 2
34500 2.12
35000 2.4
35500 2
36000 2
36500 2
37000 1.88
37500 0.6
38000 0
38500 0
39000 0
39500 0
40000 0
40500 0.1
41000 0
41500 0.08
42000 1
42500 1
43000 0.76
43500 0.06
44000 0
44500 0
45000 0
45500 0
46000 0
46500 0
47000 0
47500 0
48000 0.34
48500 0.38
49000 0.2
49500 0
50000 0.28
50500 0.34
51000 0
51500 1.08
52000 0.82
52500 0.46
53000 0.86
53500 0.04
54000 0.04
54500 0.16
55000 0
55500 0
56000 0
56500 0
57000 0
57500 0
58000 0.06
58500 0.4
59000 0.74
59500 0.26
60000 0
60500 0
61000 0
61500 0
62000 0
62500 0
63000 0.12
63500 0.06
64000 0
64500 0
65000 0
65500 0
66000 0
66500 0
67000 0.5
67500 1
68000 1
68500 1
69000 1.18
69500 1.12
70000 1
70500 1
71000 1
71500 1
72000 1
72500 1
73000 1
73500 1
74000 1
74500 1
75000 1
75500 1
76000 1
76500 0.74
77000 0
77500 0
78000 0
78500 0
79000 0
79500 0
80000 0
80500 0.18
81000 0.04
81500 0
82000 0
82500 0
83000 0
83500 0
84000 0
84500 0.26
85000 0.26
85500 1
86000 1
86500 1
87000 1
87500 1.4
88000 1.54
88500 2
89000 1.24
89500 1
90000 1
90500 1
91000 0.34
91500 0
92000 0
92500 0
93000 0
93500 0
94000 0
94500 0
95000 0
95500 0
96000 0
96500 0
97000 0
97500 0
98000 0
98500 0
99000 0
99500 0
100000 0.16
100500 0.12
101000 0.38
101500 0
102000 0
102500 0.44
103000 0.14
103500 0
104000 0
104500 0.06
