# Chunk-averaged data for fix myac and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
4000000 50 60
  1 -24.5 1.67607 0.00335215
  2 -23.5 1.67427 0.00334854
  3 -22.5 1.62244 0.00324488
  4 -21.5 1.60998 0.00321996
  5 -20.5 1.61834 0.00323668
  6 -19.5 1.64663 0.00329327
  7 -18.5 1.65955 0.00331909
  8 -17.5 1.59993 0.00319986
  9 -16.5 1.6099 0.00321981
  10 -15.5 1.61823 0.00323647
  11 -14.5 1.60878 0.00321757
  12 -13.5 1.59396 0.00318791
  13 -12.5 1.64939 0.00329879
  14 -11.5 1.6472 0.0032944
  15 -10.5 1.59025 0.00318051
  16 -9.5 1.47972 0.00295944
  17 -8.5 1.47625 0.0029525
  18 -7.5 1.47954 0.00295908
  19 -6.5 1.34859 0.00269718
  20 -5.5 0.735818 0.00147164
  21 -4.5 0.0990175 0.000198035
  22 -3.5 0.039015 7.803e-05
  23 -2.5 0.025415 5.083e-05
  24 -1.5 0.0200375 4.0075e-05
  25 -0.5 0.020825 4.165e-05
  26 0.5 0.022075 4.415e-05
  27 1.5 0.0239475 4.7895e-05
  28 2.5 0.02997 5.994e-05
  29 3.5 0.0372275 7.4455e-05
  30 4.5 0.08932 0.00017864
  31 5.5 0.597202 0.0011944
  32 6.5 1.08096 0.00216191
  33 7.5 1.19705 0.00239411
  34 8.5 1.21195 0.00242391
  35 9.5 1.20697 0.00241395
  36 10.5 1.32963 0.00265926
  37 11.5 1.44616 0.00289233
  38 12.5 1.45192 0.00290383
  39 13.5 1.45493 0.00290985
  40 14.5 1.55329 0.00310658
  41 15.5 1.56912 0.00313825
  42 16.5 1.62112 0.00324225
  43 17.5 1.66381 0.00332762
  44 18.5 1.58956 0.00317913
  45 19.5 1.61941 0.00323882
  46 20.5 1.62485 0.00324969
  47 21.5 1.60516 0.00321031
  48 22.5 1.61173 0.00322346
  49 23.5 1.57314 0.00314628
  50 24.5 1.6403 0.00328061
