#  Timestep    No_Moles    No_Specs   Si192O384          O2
          5          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         10          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         15          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         20          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         25          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         30          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         35          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         40          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         45          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         50          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         55          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         60          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         65          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         70          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         75          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         80          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         85          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         90          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
         95          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        100          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        105          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        110          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        115          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        120          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        125          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        130          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        135          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384          O2
        140          11           2           1          10
