#  Timestep    No_Moles    No_Specs   Si192O384           H
          5          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         10          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         15          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         20          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         25          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         30          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         35          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         40          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         45          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         50          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         55          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         60          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         65          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         70          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         75          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         80          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         85          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         90          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
         95          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        100          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        105          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        110          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        115          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        120          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        125          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        130          11           2           1          10
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        135          10           2           1           9
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        140          10           2           1           9
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        145          10           2           1           9
#  Timestep    No_Moles    No_Specs   Si192O384           H
        150          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        155          11           2           1          10
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        160          10           2           1           9
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        165          10           2           1           9
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        170           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        175           9           2           1           8
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        180          10           2           1           9
#  Timestep    No_Moles    No_Specs   Si192O384           H
        185          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        190          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        195          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        200          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        205          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        210          11           2           1          10
#  Timestep    No_Moles    No_Specs   Si192O384           H
        215          11           2           1          10
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        220           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        225           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        230           9           2           1           8
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        235          10           2           1           9
#  Timestep    No_Moles    No_Specs   Si192O384           H
        240          11           2           1          10
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        245          10           2           1           9
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        250           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        255           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        260           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        265           9           2           1           8
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        270          10           2           1           9
#  Timestep    No_Moles    No_Specs   Si192O384           H
        275          11           2           1          10
#  Timestep    No_Moles    No_Specs  Si192O384H           H
        280          10           2           1           9
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        285           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        290           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        295           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        300           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        305           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        310           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        315           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        320           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        325           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        330           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        335           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        340           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        345           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H2           H
        350           9           2           1           8
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        355           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        360           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        365           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        370           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        375           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        380           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        385           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        390           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        395           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        400           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        405           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        410           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        415           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        420           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        425           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        430           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        435           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        440           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        445           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        450           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        455           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        460           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        465           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        470           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        475           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        480           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        485           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        490           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H3           H
        495           8           2           1           7
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        500           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        505           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        510           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        515           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        520           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H3           H          H2
        525           7           3           1           5           1
#  Timestep    No_Moles    No_Specs Si192O384H4           H          H2
        530           6           3           1           4           1
#  Timestep    No_Moles    No_Specs Si192O384H4           H          H2
        535           6           3           1           4           1
#  Timestep    No_Moles    No_Specs Si192O384H4           H          H2
        540           6           3           1           4           1
#  Timestep    No_Moles    No_Specs Si192O384H4           H          H2
        545           6           3           1           4           1
#  Timestep    No_Moles    No_Specs Si192O384H4           H
        550           7           2           1           6
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        555           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        560           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        565           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        570           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        575           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        580           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        585           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        590           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        595           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        600           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        605           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        610           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        615           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        620           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        625           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        630           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        635           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        640           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        645           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        650           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        655           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        660           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H6           H
        665           5           2           1           4
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        670           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        675           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        680           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        685           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        690           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        695           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        700           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        705           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        710           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        715           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        720           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        725           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
        730           6           2           1           5
#  Timestep    No_Moles    No_Specs Si192O384H5           H
