# Time-averaged data for fix myat1
# TimeStep v_nO
1000 22
2000 22
3000 22
4000 22
5000 22
6000 24.1
7000 28.7
8000 30.9
9000 33.5
10000 35.8
11000 36
12000 36.7
13000 37.2
14000 39
15000 40
16000 40
17000 40.4
18000 41
19000 41.2
20000 42
21000 42
22000 42
23000 42
24000 42
25000 42.5
26000 43
27000 44
28000 45
29000 45
30000 45
31000 45
32000 45
33000 45
34000 45.3
35000 46
36000 46
37000 46
38000 46
39000 46
40000 46
41000 46
42000 46
43000 46
44000 46
45000 46
46000 46
47000 46
48000 46
49000 46
50000 46
