# Time-averaged data for fix myat3
# TimeStep v_mypot
1000 -4130.53
2000 -4332.26
3000 -4330.98
4000 -4325.03
5000 -4323.72
6000 -4326.02
7000 -4315.92
8000 -4312.91
9000 -4309.7
10000 -4298.01
11000 -4330.98
12000 -4318.71
13000 -4323.48
14000 -4301
15000 -4290.95
16000 -4304.06
17000 -4336.23
18000 -4324.68
19000 -4318.27
20000 -4320.09
21000 -4341.67
22000 -4332.73
23000 -4319.67
24000 -4318.07
25000 -4327.68
26000 -4330.08
27000 -4345.49
28000 -4317.84
29000 -4305.04
30000 -4304.71
31000 -4320.77
32000 -4324.13
33000 -4327.31
34000 -4289.16
35000 -4322.38
36000 -4341.99
37000 -4319.61
38000 -4317.71
39000 -4321.2
40000 -4314.82
41000 -4331.91
42000 -4304.53
43000 -4299.88
44000 -4333.1
45000 -4321.01
46000 -4293.3
47000 -4299.18
48000 -4321.15
49000 -4321.51
50000 -4339.38
51000 -4312.22
52000 -4288.34
53000 -4305.21
54000 -4315.78
55000 -4360.89
56000 -4386.95
57000 -4392.08
58000 -4369.73
59000 -4375.73
60000 -4386.46
61000 -4400.78
62000 -4395.46
63000 -4404.61
64000 -4442.2
65000 -4459.42
66000 -4423.9
67000 -4433.74
68000 -4469.66
69000 -4459.71
70000 -4463.43
71000 -4500.67
72000 -4501.61
73000 -4472.29
74000 -4497.29
75000 -4509.17
76000 -4519.06
77000 -4548.11
78000 -4534.25
79000 -4541.7
80000 -4571.56
81000 -4562.88
82000 -4543
83000 -4574.53
84000 -4593.73
85000 -4591.35
86000 -4601.43
87000 -4596.72
88000 -4606.99
89000 -4630.85
90000 -4614.38
91000 -4635.45
92000 -4644.69
93000 -4665.86
94000 -4649.86
95000 -4678.89
96000 -4699.96
97000 -4703.24
98000 -4706.61
99000 -4715.31
100000 -4716.61
101000 -4735.66
102000 -4725.89
103000 -4737.13
104000 -4743.67
105000 -4742.32
106000 -4751.38
107000 -4748.4
108000 -4747.73
109000 -4763.37
110000 -4761.31
111000 -4766.88
112000 -4760.52
113000 -4766.63
114000 -4774.81
115000 -4780.58
116000 -4782.18
117000 -4775.83
118000 -4788.98
119000 -4781.9
120000 -4788.24
121000 -4807.81
122000 -4802.6
123000 -4796.26
124000 -4806.31
125000 -4798.82
126000 -4792.83
127000 -4802.06
128000 -4825.84
129000 -4815.5
130000 -4821.56
131000 -4833.99
132000 -4827.44
133000 -4839.97
134000 -4850.17
135000 -4849.77
136000 -4853.19
137000 -4862.6
138000 -4859.42
139000 -4872.74
140000 -4877.25
141000 -4869.53
142000 -4880.18
143000 -4881.33
144000 -4895.2
145000 -4894.84
146000 -4898.78
147000 -4899.12
148000 -4900.19
149000 -4907.13
150000 -4904.9
151000 -4908.22
152000 -4914.05
