# Time-averaged data for fix myat2
# TimeStep v_Ntype2in v_Ntype2ou
0 117 0
1000 96 21
2000 93 24
3000 90 27
4000 89 28
5000 86 31
6000 84 33
7000 87 30
8000 86 31
9000 80 37
10000 82 35
11000 78 39
12000 75 42
13000 76 41
14000 77 40
15000 78 39
16000 78 39
17000 77 40
18000 77 40
19000 71 46
20000 75 42
21000 71 46
22000 73 44
23000 71 46
24000 73 44
25000 73 44
26000 69 48
27000 67 50
28000 68 49
29000 69 48
30000 66 51
31000 68 49
32000 69 48
33000 67 50
34000 65 52
35000 66 51
36000 67 50
37000 64 53
38000 67 50
39000 67 50
40000 66 51
41000 63 54
42000 63 54
43000 64 53
44000 62 55
45000 58 59
46000 60 57
47000 59 58
48000 60 57
49000 60 57
50000 58 59
51000 60 57
52000 58 59
53000 58 59
54000 57 60
55000 58 59
56000 57 60
57000 57 60
58000 56 61
59000 54 63
60000 56 61
61000 58 59
62000 57 60
63000 55 62
64000 57 60
65000 55 62
66000 56 61
67000 56 61
68000 57 60
69000 54 63
70000 57 60
71000 55 62
72000 56 61
73000 57 60
74000 57 60
75000 54 63
76000 56 61
77000 52 65
78000 55 62
79000 54 63
80000 54 63
81000 54 63
82000 55 62
83000 53 64
84000 51 66
85000 53 64
86000 55 62
87000 54 63
88000 57 60
89000 57 60
90000 54 63
91000 57 60
92000 56 61
93000 55 62
94000 54 63
95000 53 64
96000 55 62
97000 53 64
98000 51 66
99000 52 65
100000 52 65
101000 54 63
102000 50 67
103000 51 66
104000 53 64
105000 52 65
106000 52 65
107000 53 64
108000 53 64
109000 52 65
110000 54 63
111000 50 67
112000 50 67
113000 49 68
114000 47 70
115000 49 68
116000 49 68
117000 46 71
118000 45 72
119000 49 68
120000 49 68
121000 49 68
122000 49 68
123000 45 72
124000 45 72
125000 44 73
126000 47 70
127000 45 72
128000 45 72
129000 47 70
130000 47 70
131000 47 70
132000 50 67
133000 44 73
134000 46 71
135000 47 70
136000 46 71
137000 47 70
138000 47 70
139000 44 73
140000 45 72
141000 45 72
142000 43 74
143000 44 73
144000 45 72
145000 46 71
146000 46 71
147000 45 72
148000 48 69
149000 46 71
150000 47 70
151000 47 70
152000 44 73
153000 46 71
154000 45 72
155000 47 70
156000 47 70
157000 47 70
158000 47 70
159000 46 71
160000 48 69
161000 48 69
162000 48 69
163000 47 70
164000 44 73
165000 46 71
166000 45 72
167000 46 71
168000 45 72
169000 46 71
170000 45 72
171000 45 72
172000 43 74
173000 45 72
174000 46 71
175000 44 73
176000 44 73
177000 45 72
178000 46 71
179000 46 71
180000 45 72
181000 46 71
182000 42 75
183000 45 72
184000 44 73
185000 45 72
186000 44 73
187000 44 73
188000 43 74
189000 41 76
190000 44 73
191000 42 75
192000 42 75
193000 45 72
194000 44 73
195000 43 74
196000 44 73
197000 42 75
198000 41 76
199000 43 74
200000 43 74
201000 42 75
202000 42 75
203000 41 76
204000 43 74
205000 43 74
206000 44 73
207000 40 77
208000 41 76
209000 40 77
210000 44 73
211000 44 73
212000 42 75
213000 39 78
214000 43 74
215000 43 74
216000 42 75
217000 41 76
218000 39 78
219000 42 75
220000 38 79
221000 39 78
222000 37 80
223000 37 80
224000 38 79
225000 37 80
226000 37 80
227000 38 79
228000 39 78
229000 39 78
230000 38 79
231000 37 80
232000 38 79
233000 43 74
234000 41 76
235000 42 75
236000 40 77
237000 43 74
238000 45 72
239000 41 76
240000 42 75
241000 42 75
242000 42 75
243000 43 74
244000 42 75
245000 44 73
246000 43 74
247000 42 75
248000 42 75
249000 44 73
250000 44 73
251000 43 74
252000 45 72
253000 45 72
254000 44 73
255000 46 71
256000 44 73
257000 44 73
258000 46 71
259000 46 71
260000 44 73
261000 44 73
262000 43 74
263000 43 74
264000 42 75
265000 42 75
266000 42 75
267000 39 78
268000 41 76
269000 43 74
270000 44 73
271000 43 74
272000 44 73
273000 45 72
274000 44 73
275000 46 71
276000 44 73
277000 41 76
278000 44 73
279000 43 74
280000 39 78
281000 39 78
282000 40 77
283000 44 73
284000 40 77
285000 45 72
286000 40 77
287000 41 76
288000 39 78
289000 41 76
290000 41 76
291000 42 75
292000 42 75
293000 37 80
294000 39 78
295000 38 79
296000 40 77
297000 36 81
298000 37 80
299000 38 79
300000 37 80
301000 36 81
302000 37 80
303000 38 79
304000 35 82
305000 35 82
306000 35 82
307000 35 82
308000 35 82
309000 35 82
310000 33 84
311000 35 82
312000 34 83
313000 34 83
314000 36 81
315000 33 84
316000 37 80
317000 35 82
318000 39 78
319000 39 78
320000 39 78
321000 36 81
322000 39 78
323000 36 81
324000 38 79
325000 35 82
326000 36 81
327000 38 79
328000 35 82
329000 36 81
330000 38 79
331000 37 80
332000 36 81
333000 34 83
334000 37 80
335000 35 82
336000 34 83
337000 38 79
338000 36 81
339000 36 81
340000 36 81
341000 36 81
342000 37 80
343000 36 81
344000 35 82
345000 36 81
346000 33 84
347000 34 83
348000 36 81
349000 36 81
350000 35 82
351000 35 82
352000 34 83
353000 40 77
354000 38 79
355000 37 80
356000 39 78
357000 36 81
358000 38 79
359000 36 81
360000 35 82
361000 37 80
362000 35 82
363000 35 82
364000 33 84
365000 36 81
366000 36 81
367000 38 79
368000 37 80
369000 35 82
370000 34 83
371000 35 82
372000 35 82
373000 36 81
374000 38 79
375000 35 82
376000 36 81
377000 38 79
378000 36 81
379000 36 81
380000 35 82
381000 35 82
382000 36 81
383000 35 82
384000 37 80
385000 38 79
386000 36 81
387000 38 79
388000 37 80
389000 34 83
390000 35 82
391000 32 85
392000 32 85
393000 31 86
394000 32 85
395000 33 84
396000 32 85
397000 32 85
398000 32 85
399000 34 83
400000 32 85
401000 33 84
402000 34 83
403000 33 84
404000 31 86
405000 30 87
406000 33 84
407000 32 85
408000 33 84
409000 31 86
410000 32 85
411000 34 83
412000 33 84
413000 34 83
414000 34 83
415000 34 83
416000 33 84
417000 34 83
418000 32 85
419000 31 86
420000 32 85
421000 31 86
422000 31 86
423000 29 88
424000 31 86
425000 32 85
426000 34 83
427000 33 84
428000 33 84
429000 33 84
430000 34 83
431000 32 85
432000 31 86
433000 32 85
434000 32 85
435000 31 86
436000 29 88
437000 31 86
438000 31 86
439000 31 86
440000 33 84
441000 35 82
442000 33 84
443000 32 85
444000 33 84
445000 35 82
446000 34 83
447000 34 83
448000 32 85
449000 33 84
450000 33 84
451000 31 86
452000 31 86
453000 33 84
454000 33 84
455000 36 81
456000 35 82
457000 35 82
458000 35 82
459000 33 84
460000 33 84
461000 33 84
462000 31 86
463000 31 86
464000 33 84
465000 33 84
466000 34 83
467000 34 83
468000 34 83
469000 34 83
470000 32 85
471000 31 86
472000 31 86
473000 34 83
474000 34 83
475000 32 85
476000 35 82
477000 34 83
478000 32 85
479000 32 85
480000 31 86
481000 31 86
482000 31 86
483000 32 85
484000 29 88
485000 30 87
486000 28 89
487000 31 86
488000 32 85
489000 31 86
490000 32 85
491000 32 85
492000 31 86
493000 33 84
494000 31 86
495000 31 86
496000 33 84
497000 33 84
498000 33 84
499000 32 85
500000 31 86
501000 32 85
502000 35 82
503000 33 84
504000 35 82
505000 31 86
506000 31 86
507000 31 86
508000 31 86
509000 29 88
510000 30 87
511000 29 88
512000 28 89
513000 29 88
514000 32 85
515000 31 86
516000 28 89
517000 29 88
518000 29 88
519000 27 90
520000 31 86
521000 30 87
522000 29 88
523000 30 87
524000 29 88
525000 28 89
526000 30 87
527000 32 85
528000 32 85
529000 30 87
530000 30 87
531000 32 85
532000 32 85
533000 32 85
534000 33 84
535000 33 84
536000 32 85
537000 34 83
538000 33 84
539000 32 85
540000 33 84
